time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,贵港,138.37,1.42,62.06,45.37,158.45,101.74,32.15
2017-01-02,贵港,141.26,1.36,46.81,83.86,148.51,107.21,31.62
2017-01-03,贵港,159.62,1.33,40.08,72.17,150.07,120.86,21.52
2017-01-04,贵港,184.86,1.59,58.21,61.29,181.59,141.38,23.03
2017-01-05,贵港,118.89,1.2,50.74,41.83,133.05,87.49,20.22
2017-01-06,贵港,131.11,1.26,47.33,34.72,147.84,99.07,30.81
2017-01-07,贵港,128.23,1.16,39.99,37.48,137.56,96.5,26.68
2017-01-08,贵港,64.99,1.65,23.51,22.6,65.92,46.5,12.58
2017-01-09,贵港,65.84,1.34,25.0,35.86,64.57,46.38,14.41
2017-01-10,贵港,100.65,1.38,37.18,38.92,99.37,74.96,20.24
2017-01-11,贵港,32.23,1.27,19.07,27.19,26.31,21.84,7.15
2017-01-12,贵港,11.83,1.07,15.11,34.18,7.15,4.36,5.49
2017-01-13,贵港,34.85,0.88,14.25,50.65,25.64,21.1,6.45
2017-01-14,贵港,46.49,0.76,18.59,40.54,40.09,30.9,6.94
2017-01-15,贵港,55.96,0.86,18.47,43.42,47.63,40.01,7.7
2017-01-16,贵港,70.09,0.99,23.67,30.7,61.34,50.79,8.84
2017-01-17,贵港,39.51,1.04,22.18,26.31,29.24,27.42,6.39
2017-01-18,贵港,31.12,1.15,22.79,16.88,22.67,21.3,6.48
2017-01-19,贵港,29.41,0.99,17.48,21.23,26.08,19.84,6.1
2017-01-20,贵港,54.91,0.84,15.75,49.01,50.41,38.6,8.8
2017-01-21,贵港,97.16,0.92,20.14,57.01,88.12,72.41,10.02
2017-01-22,贵港,93.67,0.98,27.25,66.07,91.49,69.57,12.25
2017-01-23,贵港,97.27,1.09,38.73,65.27,102.37,72.27,15.72
2017-01-24,贵港,119.17,1.29,41.28,64.45,124.41,89.7,16.23
2017-01-25,贵港,128.74,1.22,32.88,82.33,127.29,97.07,14.33
2017-01-26,贵港,138.78,1.29,29.66,78.97,125.73,105.16,15.28
2017-01-27,贵港,139.34,1.27,22.84,93.61,128.47,105.8,18.86
2017-01-28,贵港,205.67,0.92,16.85,82.17,216.0,175.74,33.61
2017-01-29,贵港,79.75,0.81,15.58,73.75,72.55,58.19,14.98
2017-01-30,贵港,111.62,0.96,13.02,72.97,94.97,83.44,9.83
2017-01-31,贵港,93.18,1.08,15.4,70.11,83.08,69.24,10.71
2017-02-01,贵港,106.6,1.29,17.31,53.14,88.62,79.7,8.68
2017-02-02,贵港,95.99,1.32,18.76,49.22,87.73,71.47,9.46
2017-02-03,贵港,107.59,1.33,26.3,43.85,94.7,80.7,12.69
2017-02-04,贵港,83.32,1.34,20.8,29.99,69.9,61.33,7.71
2017-02-05,贵港,45.28,1.04,16.21,40.61,37.54,31.3,6.95
2017-02-06,贵港,50.94,0.97,19.97,49.74,44.73,35.69,10.44
2017-02-07,贵港,84.91,1.16,32.25,35.05,75.12,62.54,11.12
2017-02-08,贵港,44.07,1.07,17.22,34.66,36.7,29.94,7.14
2017-02-09,贵港,66.12,0.78,14.11,84.24,59.02,47.24,9.55
2017-02-10,贵港,94.93,0.91,18.49,81.43,80.04,70.63,14.28
2017-02-11,贵港,81.96,0.8,16.77,90.43,71.15,60.18,13.9
2017-02-12,贵港,76.57,0.81,22.78,94.31,71.19,54.98,14.13
2017-02-13,贵港,95.91,1.0,42.24,77.14,99.0,69.65,17.47
2017-02-14,贵港,113.5,1.13,49.69,98.0,120.59,83.03,22.52
2017-02-15,贵港,138.45,1.33,59.63,78.1,155.4,100.3,16.86
2017-02-16,贵港,74.44,0.82,34.43,60.12,83.56,51.15,10.48
2017-02-17,贵港,79.67,0.97,37.4,50.46,91.77,56.55,11.5
2017-02-18,贵港,94.32,1.08,47.8,54.56,119.43,68.17,13.14
2017-02-19,贵港,74.75,0.9,31.36,60.25,84.19,48.21,15.49
2017-02-20,贵港,70.66,0.86,26.54,51.17,74.82,48.89,14.16
2017-02-21,贵港,74.39,0.88,30.89,37.58,85.69,52.7,16.35
2017-02-22,贵港,62.25,0.83,27.7,25.17,69.96,38.6,12.83
2017-02-23,贵港,44.65,0.6,13.69,61.64,43.97,25.93,8.54
2017-02-24,贵港,44.71,0.68,14.79,65.57,41.03,29.67,7.77
2017-02-25,贵港,45.29,0.64,17.18,58.03,39.97,30.41,8.14
2017-02-26,贵港,60.69,0.7,20.91,62.51,57.41,42.77,12.49
2017-02-27,贵港,79.07,0.83,29.36,60.26,83.11,58.39,18.55
2017-02-28,贵港,105.73,0.9,27.59,58.48,100.62,79.15,13.47
2017-03-01,贵港,109.0,1.01,30.54,54.15,103.63,81.85,12.45
2017-03-02,贵港,100.22,1.01,40.15,63.37,121.68,71.12,21.45
2017-03-03,贵港,109.83,1.05,49.17,70.21,133.9,80.68,36.04
2017-03-04,贵港,116.6,1.11,40.52,49.58,133.91,87.74,21.81
2017-03-05,贵港,106.4,1.18,42.55,33.47,132.32,79.43,20.94
2017-03-06,贵港,43.8,0.88,18.6,44.62,46.42,24.96,10.39
2017-03-07,贵港,44.02,0.86,21.2,34.38,42.0,30.11,9.25
2017-03-08,贵港,38.14,0.81,16.49,50.3,33.71,25.69,7.4
2017-03-09,贵港,43.56,0.93,21.48,48.26,40.59,28.69,9.97
2017-03-10,贵港,39.4,1.15,29.21,22.46,36.17,26.34,8.72
2017-03-11,贵港,35.71,1.12,25.11,18.62,35.09,21.71,9.54
2017-03-12,贵港,41.48,1.18,28.39,12.85,42.17,25.75,12.48
2017-03-13,贵港,71.59,1.25,33.89,19.33,81.56,48.55,17.49
2017-03-14,贵港,42.47,0.92,17.54,38.03,45.51,24.48,9.23
2017-03-15,贵港,32.04,0.83,19.41,27.41,30.51,20.16,8.64
2017-03-16,贵港,19.47,0.88,18.45,17.84,18.87,10.2,7.42
2017-03-17,贵港,34.76,1.06,25.78,12.47,34.27,21.85,9.1
2017-03-18,贵港,24.14,1.09,22.98,11.52,22.75,14.23,7.14
2017-03-19,贵港,38.3,1.21,27.34,12.14,35.29,25.51,10.88
2017-03-20,贵港,60.34,1.27,28.47,21.28,65.58,39.92,17.93
2017-03-21,贵港,42.31,1.12,18.4,19.91,41.53,26.84,8.54
2017-03-22,贵港,43.16,1.14,26.82,25.85,40.64,28.68,10.4
2017-03-23,贵港,57.76,0.95,24.0,55.87,59.71,38.6,14.96
2017-03-24,贵港,55.78,0.84,19.12,47.56,56.56,36.01,11.46
2017-03-25,贵港,25.36,0.91,12.57,52.45,25.44,11.91,6.08
2017-03-26,贵港,51.3,0.61,12.36,86.96,57.3,26.17,7.86
2017-03-27,贵港,73.72,0.77,31.87,62.03,86.78,46.5,15.66
2017-03-28,贵港,78.99,1.11,42.06,35.07,84.54,56.99,11.69
2017-03-29,贵港,45.91,1.14,30.41,39.83,42.92,30.17,11.98
2017-03-30,贵港,75.56,1.41,37.87,25.12,89.05,52.66,17.18
2017-03-31,贵港,38.96,1.02,14.06,73.64,35.41,24.36,7.9
2017-04-01,贵港,61.09,0.88,18.78,92.99,54.83,42.58,13.16
2017-04-02,贵港,75.8,1.02,35.15,78.26,84.95,52.82,16.16
2017-04-03,贵港,84.28,0.85,21.57,120.2,83.19,60.0,16.36
2017-04-04,贵港,76.05,0.83,15.29,96.34,77.25,54.58,18.02
2017-04-05,贵港,70.87,0.87,21.33,63.95,77.87,47.58,12.15
2017-04-06,贵港,68.43,0.96,30.32,29.36,73.32,45.59,13.61
2017-04-07,贵港,62.27,1.02,25.27,28.36,64.7,40.7,13.84
2017-04-08,贵港,57.59,1.02,28.47,21.5,67.46,35.18,13.34
2017-04-09,贵港,52.41,0.88,23.09,41.2,56.51,31.99,10.63
2017-04-10,贵港,54.04,0.92,20.89,60.82,59.14,32.71,8.32
2017-04-11,贵港,48.67,0.97,15.92,48.4,49.1,30.75,9.65
2017-04-12,贵港,40.75,0.81,15.7,73.89,39.9,26.11,11.76
2017-04-13,贵港,65.08,1.12,27.82,82.66,69.72,44.35,21.03
2017-04-14,贵港,94.76,1.36,41.55,37.27,100.81,70.2,16.08
2017-04-15,贵港,93.99,1.43,40.86,20.69,110.82,69.29,12.06
2017-04-16,贵港,67.19,1.18,27.98,27.61,73.44,44.84,11.15
2017-04-17,贵港,41.83,0.84,18.35,41.52,43.3,22.86,7.23
2017-04-18,贵港,46.14,1.03,17.88,70.01,45.73,30.08,12.38
2017-04-19,贵港,63.95,1.18,31.83,37.16,66.13,44.26,11.16
2017-04-20,贵港,58.75,1.01,23.96,59.23,64.02,38.44,12.21
2017-04-21,贵港,42.61,0.81,17.92,68.61,43.81,23.67,7.81
2017-04-22,贵港,43.88,0.67,15.89,77.67,43.86,24.05,8.81
2017-04-23,贵港,56.84,0.88,25.51,57.53,62.39,34.66,14.84
2017-04-24,贵港,65.8,1.05,27.5,37.75,68.42,46.26,16.15
2017-04-25,贵港,69.93,1.19,25.44,44.08,68.11,50.45,11.15
2017-04-26,贵港,59.86,1.11,26.11,51.37,66.07,41.05,9.71
2017-04-27,贵港,28.47,0.78,14.88,80.26,24.25,13.34,6.2
2017-04-28,贵港,57.42,0.76,19.29,93.61,53.63,39.6,9.22
2017-04-29,贵港,91.16,1.18,45.68,82.6,102.14,64.36,16.26
2017-04-30,贵港,73.29,0.9,24.7,96.88,75.03,52.21,9.94
2017-05-01,贵港,63.57,1.02,23.84,60.74,64.2,44.95,11.91
2017-05-02,贵港,57.38,0.94,23.16,46.03,59.62,37.92,12.15
2017-05-03,贵港,55.15,0.92,26.37,34.54,57.69,35.77,9.52
2017-05-04,贵港,36.27,0.67,18.99,75.0,30.52,16.47,7.92
2017-05-05,贵港,45.99,0.88,25.97,88.18,44.07,25.92,15.56
2017-05-06,贵港,54.33,0.98,30.35,77.9,55.51,34.93,13.16
2017-05-07,贵港,58.49,0.98,27.54,46.53,56.38,38.44,10.4
2017-05-08,贵港,36.96,0.8,22.14,42.22,35.66,20.0,9.05
2017-05-09,贵港,40.01,0.89,20.01,62.31,39.77,22.64,12.31
2017-05-10,贵港,43.84,1.0,26.49,47.07,43.59,24.43,22.3
2017-05-11,贵港,43.52,0.92,25.6,40.12,43.08,25.23,17.58
2017-05-12,贵港,40.72,0.93,26.4,67.26,36.67,23.32,10.68
2017-05-13,贵港,63.48,1.07,29.75,80.32,65.58,42.93,11.27
2017-05-14,贵港,59.04,1.03,31.39,74.91,62.89,38.0,12.4
2017-05-15,贵港,35.16,0.88,23.45,73.1,27.73,14.57,6.8
2017-05-16,贵港,40.03,0.65,15.77,109.24,33.0,22.26,9.15
2017-05-17,贵港,68.67,0.89,30.8,93.96,70.85,48.99,13.96
2017-05-18,贵港,69.08,0.86,31.78,69.11,67.95,47.31,9.48
2017-05-19,贵港,47.89,0.8,21.0,85.04,46.35,29.69,11.46
2017-05-20,贵港,53.0,0.76,20.76,73.46,47.86,35.74,18.23
2017-05-21,贵港,56.2,0.9,23.15,65.43,56.04,37.07,13.26
2017-05-22,贵港,39.53,0.92,19.31,63.53,37.96,24.07,17.01
2017-05-23,贵港,39.7,0.93,18.38,66.05,38.24,23.59,8.93
2017-05-24,贵港,26.7,0.76,16.72,74.67,22.59,12.65,5.8
2017-05-25,贵港,39.43,0.64,20.21,95.88,36.68,23.9,9.21
2017-05-26,贵港,45.16,0.6,20.58,114.82,38.89,26.26,9.6
2017-05-27,贵港,68.43,0.9,35.59,114.16,67.39,42.09,12.91
2017-05-28,贵港,77.07,0.99,40.27,107.85,81.63,49.93,15.05
2017-05-29,贵港,107.43,1.16,43.46,124.49,107.78,72.38,12.28
2017-05-30,贵港,50.9,0.91,20.57,99.1,51.83,31.31,7.09
2017-05-31,贵港,39.88,0.76,19.48,58.32,38.52,21.91,4.7
2017-06-01,贵港,38.7,0.71,20.89,53.24,38.8,18.52,4.18
2017-06-02,贵港,37.54,0.77,18.73,91.54,33.74,17.59,6.3
2017-06-03,贵港,52.61,0.8,24.26,74.67,55.81,32.25,12.39
2017-06-04,贵港,40.39,0.74,19.52,67.47,40.73,21.74,8.81
2017-06-05,贵港,42.12,0.78,19.46,61.58,42.28,21.24,9.33
2017-06-06,贵港,34.4,0.83,19.6,48.91,35.33,17.8,10.49
2017-06-07,贵港,32.97,0.73,18.45,55.08,32.86,16.9,8.51
2017-06-08,贵港,33.02,0.66,21.32,41.09,33.2,17.52,12.79
2017-06-09,贵港,28.85,0.67,21.44,30.09,28.01,15.6,11.67
2017-06-10,贵港,36.52,0.77,21.84,37.2,36.56,19.97,13.17
2017-06-11,贵港,41.23,0.71,22.3,42.0,41.36,22.5,12.76
2017-06-12,贵港,44.36,0.84,22.06,53.23,45.23,25.38,14.47
2017-06-13,贵港,44.89,0.86,26.41,46.7,49.54,24.14,7.14
2017-06-14,贵港,41.34,0.87,24.03,38.19,40.43,24.81,9.86
2017-06-15,贵港,53.15,0.96,27.91,46.12,55.89,30.71,10.13
2017-06-16,贵港,38.76,0.87,24.38,27.58,46.28,21.95,8.26
2017-06-17,贵港,27.36,0.72,13.58,63.91,25.29,15.09,5.96
2017-06-18,贵港,38.71,0.74,18.26,60.78,38.31,19.16,11.6
2017-06-19,贵港,42.43,0.88,22.3,48.4,42.11,24.14,14.57
2017-06-20,贵港,43.14,0.95,25.01,28.91,44.63,23.27,10.25
2017-06-21,贵港,37.59,0.9,22.89,24.6,35.25,23.7,11.76
2017-06-22,贵港,43.16,0.85,20.86,34.27,42.17,27.09,8.8
2017-06-23,贵港,37.71,0.7,18.32,39.7,37.32,20.8,5.82
2017-06-24,贵港,37.11,0.65,17.1,43.67,35.8,20.22,7.17
2017-06-25,贵港,40.51,0.75,21.28,35.57,39.8,23.76,9.77
2017-06-26,贵港,40.97,0.81,21.22,36.7,41.11,25.23,14.57
2017-06-27,贵港,41.92,0.79,24.18,31.79,42.85,25.58,10.93
