time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,钦州,144.58,1.56,43.6,67.07,147.75,109.89,28.11
2017-01-02,钦州,148.92,1.67,46.12,66.98,151.67,112.97,24.68
2017-01-03,钦州,162.12,1.54,47.74,69.01,162.07,122.74,23.75
2017-01-04,钦州,86.48,0.96,37.68,78.93,90.69,61.14,19.61
2017-01-05,钦州,68.4,0.88,42.35,52.91,79.86,46.03,24.1
2017-01-06,钦州,73.12,0.85,36.97,51.0,76.64,51.78,20.4
2017-01-07,钦州,82.33,1.12,42.17,37.34,92.81,59.75,19.64
2017-01-08,钦州,81.58,1.2,28.25,39.62,84.31,59.88,14.31
2017-01-09,钦州,82.19,1.56,31.36,46.42,92.42,60.17,17.42
2017-01-10,钦州,101.67,1.29,38.81,40.58,107.32,75.99,15.62
2017-01-11,钦州,61.65,1.45,24.92,23.08,53.48,43.68,12.06
2017-01-12,钦州,15.58,1.24,16.24,38.71,8.72,6.43,10.93
2017-01-13,钦州,27.79,0.92,13.71,51.31,21.65,14.43,11.93
2017-01-14,钦州,52.21,0.96,16.65,41.03,49.43,35.99,14.44
2017-01-15,钦州,58.38,1.14,17.94,36.08,51.55,41.62,15.24
2017-01-16,钦州,77.17,1.33,21.38,28.08,60.34,56.73,15.11
2017-01-17,钦州,33.08,1.45,19.18,25.38,24.51,22.83,19.65
2017-01-18,钦州,36.48,1.77,21.44,17.32,25.94,25.16,18.43
2017-01-19,钦州,41.15,1.64,19.46,17.39,37.27,27.53,24.32
2017-01-20,钦州,53.71,1.33,16.04,47.29,50.46,37.6,32.18
2017-01-21,钦州,91.18,1.02,16.74,57.68,84.59,67.67,16.97
2017-01-22,钦州,99.86,1.03,22.19,75.67,98.14,74.32,18.64
2017-01-23,钦州,109.48,1.15,28.41,74.62,108.1,81.87,17.65
2017-01-24,钦州,138.0,1.33,31.46,70.82,130.64,104.22,16.9
2017-01-25,钦州,120.15,1.18,21.51,92.36,113.62,90.57,15.97
2017-01-26,钦州,139.12,1.24,21.57,90.14,128.94,105.43,17.88
2017-01-27,钦州,102.99,0.97,13.94,100.94,99.07,76.97,17.4
2017-01-28,钦州,202.73,1.01,15.38,69.21,252.18,175.73,33.66
2017-01-29,钦州,59.3,0.78,11.03,71.01,56.17,41.0,14.99
2017-01-30,钦州,99.56,0.98,13.54,61.71,95.76,74.31,14.31
2017-01-31,钦州,90.83,1.11,13.25,68.86,84.21,67.28,13.74
2017-02-01,钦州,93.61,1.34,14.61,40.85,79.31,69.47,12.71
2017-02-02,钦州,130.11,1.42,17.04,51.83,112.62,98.43,13.85
2017-02-03,钦州,100.13,1.2,19.72,49.67,93.29,74.77,19.04
2017-02-04,钦州,61.46,1.11,17.41,50.22,53.16,44.03,12.68
2017-02-05,钦州,54.54,1.17,17.57,47.25,46.45,38.24,13.1
