time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,防城港,117.04,1.58,27.84,57.92,112.78,88.24,23.45
2017-01-02,防城港,97.22,1.34,26.65,56.02,92.4,72.37,18.92
2017-01-03,防城港,123.46,1.49,36.71,72.44,119.2,93.14,20.89
2017-01-04,防城港,74.64,1.0,28.45,81.36,73.55,51.74,17.49
2017-01-05,防城港,51.24,0.88,22.66,55.97,53.68,32.66,16.76
2017-01-06,防城港,53.83,0.78,27.06,37.24,54.1,34.35,17.15
2017-01-07,防城港,65.78,0.74,23.5,39.34,61.11,47.9,15.97
2017-01-08,防城港,76.99,1.04,19.1,48.39,64.58,56.98,14.28
2017-01-09,防城港,78.95,1.54,22.86,51.94,85.41,57.67,14.91
2017-01-10,防城港,82.31,1.27,29.02,48.46,84.55,59.54,15.43
2017-01-11,防城港,39.86,1.15,16.67,34.58,36.73,25.72,10.42
2017-01-12,防城港,11.74,0.97,10.35,33.56,6.06,2.81,8.89
2017-01-13,防城港,22.71,0.76,9.62,40.32,19.57,11.65,8.9
2017-01-14,防城港,40.67,0.76,12.79,40.11,37.17,26.96,9.65
2017-01-15,防城港,39.0,0.84,12.57,36.57,34.21,26.75,9.24
2017-01-16,防城港,59.4,0.94,15.58,32.6,46.42,42.22,9.58
2017-01-17,防城港,21.87,1.04,14.45,25.66,18.13,14.54,8.51
2017-01-18,防城港,18.44,1.07,15.29,21.57,15.13,12.44,8.4
2017-01-19,防城港,31.04,1.07,14.83,15.9,24.19,20.75,8.5
2017-01-20,防城港,39.28,0.82,9.92,46.64,36.5,25.28,9.68
2017-01-21,防城港,75.44,0.77,11.4,57.54,69.52,54.79,10.39
2017-01-22,防城港,71.89,0.87,13.35,77.07,70.8,51.81,13.08
2017-01-23,防城港,89.67,0.92,25.01,76.4,89.62,66.24,14.9
2017-01-24,防城港,95.07,1.06,21.06,72.83,87.19,70.72,13.28
2017-01-25,防城港,95.17,0.92,14.44,93.15,85.21,70.85,11.99
2017-01-26,防城港,110.71,1.01,16.12,98.92,99.26,83.31,15.84
2017-01-27,防城港,80.76,0.77,12.39,93.92,77.71,58.5,16.82
2017-01-28,防城港,132.38,0.62,8.78,69.6,124.19,102.36,18.48
2017-01-29,防城港,56.94,0.52,10.17,61.19,48.95,38.39,13.16
2017-01-30,防城港,76.94,0.69,7.07,65.24,64.92,56.46,11.15
2017-01-31,防城港,83.68,0.97,11.69,69.14,77.03,61.62,14.65
2017-02-01,防城港,64.12,0.97,9.75,45.58,45.77,46.03,10.99
2017-02-02,防城港,109.83,1.2,12.14,53.9,91.16,82.56,11.56
2017-02-03,防城港,85.03,0.99,16.08,50.33,73.32,62.51,12.43
2017-02-04,防城港,43.14,0.79,10.25,54.42,33.58,29.49,10.7
2017-02-05,防城港,45.51,0.98,10.5,54.74,36.9,31.75,11.04
2017-02-06,防城港,54.0,0.79,11.47,59.24,47.61,36.89,14.64
2017-02-07,防城港,60.52,0.67,11.23,80.57,54.98,42.38,11.72
2017-02-08,防城港,44.71,0.85,9.12,55.17,39.62,28.03,10.2
2017-02-09,防城港,46.9,0.76,7.94,70.52,42.26,31.14,13.11
2017-02-10,防城港,88.79,0.89,14.26,84.36,73.53,65.71,18.51
2017-02-11,防城港,89.74,0.79,12.85,91.43,80.12,66.46,18.46
2017-02-12,防城港,71.03,0.58,15.68,92.51,64.23,51.54,17.11
2017-02-13,防城港,89.07,0.84,23.78,99.69,82.59,65.6,18.92
2017-02-14,防城港,74.69,0.75,23.49,95.32,69.33,51.14,18.22
2017-02-15,防城港,58.09,0.72,19.78,97.14,59.3,36.36,19.48
2017-02-16,防城港,58.21,0.56,14.42,84.27,55.48,38.64,13.9
2017-02-17,防城港,44.12,0.52,14.04,64.61,40.92,25.67,12.32
2017-02-18,防城港,48.79,0.69,21.03,48.54,48.04,26.72,16.68
2017-02-19,防城港,49.01,0.64,17.83,51.19,46.04,31.93,12.15
2017-02-20,防城港,47.11,0.63,21.83,49.67,45.9,28.67,12.28
2017-02-21,防城港,40.38,0.63,16.75,38.31,39.47,23.28,11.53
2017-02-22,防城港,44.03,0.7,16.96,33.25,37.38,27.94,10.32
2017-02-23,防城港,42.39,0.69,11.25,39.06,46.49,18.03,7.08
2017-02-24,防城港,40.56,0.6,9.44,58.71,38.86,26.49,7.26
2017-02-25,防城港,43.98,0.65,12.15,55.4,40.77,28.53,7.65
2017-02-26,防城港,57.38,0.7,12.67,58.79,53.02,39.75,8.96
2017-02-27,防城港,79.04,0.82,18.82,62.96,71.32,57.94,11.83
2017-02-28,防城港,95.14,0.76,19.94,47.33,80.95,70.81,8.58
2017-03-01,防城港,86.53,0.71,18.74,46.82,74.76,63.82,10.64
2017-03-02,防城港,85.14,0.83,25.89,66.64,88.74,61.57,21.97
2017-03-03,防城港,78.72,0.7,26.92,62.33,86.14,56.57,10.12
2017-03-04,防城港,68.97,0.63,21.58,65.85,76.33,46.71,9.74
2017-03-05,防城港,61.54,0.68,25.44,45.62,61.68,40.37,10.11
2017-03-06,防城港,50.27,0.71,15.42,49.37,50.82,28.37,7.35
2017-03-07,防城港,46.58,0.73,14.46,46.86,38.96,32.57,7.03
2017-03-08,防城港,30.36,0.69,12.41,45.95,26.42,19.89,5.85
2017-03-09,防城港,37.4,0.75,12.25,35.22,28.72,25.82,6.9
2017-03-10,防城港,37.75,1.08,11.79,18.41,36.32,24.62,7.83
2017-03-11,防城港,30.62,1.15,11.24,15.5,24.66,20.76,7.72
2017-03-12,防城港,56.1,0.93,19.01,24.26,50.56,37.32,11.14
2017-03-13,防城港,54.01,0.67,23.14,32.69,56.58,34.01,11.68
2017-03-14,防城港,40.49,0.64,14.17,40.5,36.0,23.94,8.32
