time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乌鲁木齐,174.61,2.2,65.55,21.38,197.24,137.84,18.37
2017-01-01,五家渠,137.58,1.55,30.21,32.58,154.63,104.0,20.53
2017-01-01,伊犁哈萨克州,89.65,2.15,50.09,30.61,85.74,65.72,36.78
2017-01-01,克州,110.53,1.41,24.58,39.95,168.05,63.58,3.32
2017-01-01,克拉玛依,125.32,1.51,34.78,40.48,142.33,93.6,15.12
2017-01-01,博州,89.16,1.64,26.82,41.29,114.13,65.55,18.26
2017-01-01,吐鲁番地区,155.76,3.48,62.38,9.62,176.05,119.62,25.27
2017-01-01,和田地区,147.47,0.98,28.03,40.03,210.66,76.89,85.45
2017-01-01,哈密地区,97.32,1.47,46.08,20.87,103.87,69.24,15.18
2017-01-01,喀什地区,238.46,3.9,56.0,13.14,313.3,187.26,16.09
2017-01-01,塔城地区,37.32,1.73,13.32,110.32,29.15,16.0,3.32
2017-01-01,库尔勒,96.67,1.39,26.46,30.26,116.87,65.68,7.19
2017-01-01,昌吉州,132.43,1.34,29.8,45.94,142.87,105.25,23.54
2017-01-01,石河子,201.39,2.22,44.89,36.97,204.55,155.29,24.32
2017-01-01,阿克苏地区,114.32,1.61,44.87,23.97,154.53,82.13,22.71
2017-01-01,阿勒泰地区,36.08,2.74,13.13,64.29,12.5,10.71,7.92
2017-01-02,乌鲁木齐,252.59,3.34,79.03,12.28,274.62,196.48,18.55
2017-01-02,五家渠,171.55,2.06,48.2,17.25,218.15,120.45,27.2
2017-01-02,伊犁哈萨克州,100.65,3.41,65.05,35.28,74.28,74.65,32.45
2017-01-02,克州,113.05,1.41,24.55,45.9,168.35,73.45,4.2
2017-01-02,克拉玛依,119.96,1.58,37.46,45.8,135.6,89.01,18.36
2017-01-02,博州,72.32,2.0,26.71,44.45,86.55,52.05,15.37
2017-01-02,吐鲁番地区,179.4,3.63,59.17,14.3,179.09,140.07,28.18
2017-01-02,和田地区,144.31,1.36,37.47,43.0,184.89,95.36,97.53
2017-01-02,哈密地区,61.45,0.68,34.45,38.95,61.88,35.48,8.68
2017-01-02,喀什地区,209.58,3.14,56.1,19.67,273.48,157.87,15.88
2017-01-02,塔城地区,39.0,1.88,10.35,120.25,26.11,13.3,2.95
2017-01-02,库尔勒,92.0,1.65,29.32,29.14,103.36,67.33,6.23
2017-01-02,昌吉州,170.67,1.83,39.22,40.4,193.93,134.4,13.22
2017-01-02,石河子,195.9,2.04,55.98,25.07,212.6,148.72,28.73
2017-01-02,阿克苏地区,135.7,1.77,42.85,28.5,181.72,99.92,18.48
2017-01-02,阿勒泰地区,38.08,2.9,21.38,59.92,13.24,10.4,29.15
2017-01-03,乌鲁木齐,305.8,3.55,78.38,14.89,387.57,245.63,20.5
2017-01-03,五家渠,207.08,2.17,53.04,17.21,232.5,159.42,54.12
2017-01-03,伊犁哈萨克州,89.03,3.5,67.36,28.5,80.94,64.36,38.8
2017-01-03,克州,106.54,1.98,28.54,35.75,159.29,61.21,1.79
2017-01-03,克拉玛依,121.73,1.73,50.15,31.04,140.59,91.23,18.14
2017-01-03,博州,88.58,1.76,39.51,33.12,111.77,64.28,27.58
2017-01-03,吐鲁番地区,162.26,3.52,56.2,18.46,159.24,124.35,31.0
2017-01-03,和田地区,131.77,1.16,32.1,45.44,173.25,89.1,95.58
2017-01-03,哈密地区,53.44,0.74,29.4,39.04,51.52,30.96,4.65
2017-01-03,喀什地区,218.06,3.03,51.92,11.54,274.72,161.29,11.65
2017-01-03,塔城地区,44.5,2.14,23.08,112.42,40.04,17.38,6.04
2017-01-03,库尔勒,105.67,2.12,29.72,23.39,107.8,78.93,9.14
2017-01-03,昌吉州,164.65,1.52,40.47,37.31,187.13,129.91,27.97
2017-01-03,石河子,171.17,1.91,54.77,40.71,172.79,131.23,26.29
2017-01-03,阿克苏地区,172.4,2.42,52.77,16.9,215.1,132.73,20.79
2017-01-03,阿勒泰地区,39.48,2.91,18.48,74.44,17.43,10.77,13.21
2017-01-04,乌鲁木齐,244.16,3.61,102.62,10.94,306.55,206.87,28.75
2017-01-04,五家渠,260.5,2.91,70.96,11.08,308.25,210.5,42.62
2017-01-04,伊犁哈萨克州,94.19,2.58,58.54,39.14,76.17,69.94,32.9
2017-01-04,克州,119.88,1.89,27.38,33.67,176.92,81.96,3.0
2017-01-04,克拉玛依,99.91,1.66,37.31,49.26,116.46,73.26,17.09
2017-01-04,博州,75.47,1.67,36.87,42.53,93.69,53.11,22.51
2017-01-04,吐鲁番地区,148.75,3.13,56.33,19.58,140.12,113.17,33.71
2017-01-04,和田地区,120.05,1.12,37.25,32.52,149.02,76.41,84.2
2017-01-04,哈密地区,79.19,1.13,39.12,20.83,88.08,47.08,7.42
2017-01-04,喀什地区,171.64,2.15,45.44,16.28,229.18,110.86,13.04
2017-01-04,塔城地区,44.67,1.35,11.88,114.08,42.9,21.0,5.5
2017-01-04,库尔勒,63.81,1.36,24.28,44.72,62.14,44.92,7.24
2017-01-04,昌吉州,196.11,2.02,53.61,38.92,217.97,156.51,27.06
2017-01-04,石河子,235.52,2.92,85.85,27.88,259.33,188.58,19.35
2017-01-04,阿克苏地区,155.98,1.65,37.31,21.04,196.52,118.85,17.35
2017-01-04,阿勒泰地区,49.98,3.5,56.59,35.15,39.88,18.26,105.72
2017-01-05,乌鲁木齐,307.69,4.05,104.0,8.77,377.84,261.89,27.44
2017-01-05,五家渠,324.25,3.33,78.04,8.38,386.42,274.62,37.33
2017-01-05,伊犁哈萨克州,170.51,5.38,82.0,16.5,146.94,130.72,37.26
2017-01-05,克州,84.17,1.1,17.96,45.12,115.79,52.58,1.96
2017-01-05,克拉玛依,121.32,1.59,44.32,41.68,151.23,89.7,26.95
2017-01-05,博州,109.48,2.27,41.33,41.38,150.69,80.67,28.52
2017-01-05,吐鲁番地区,139.21,2.98,56.77,16.02,139.34,105.96,26.77
2017-01-05,和田地区,87.42,0.75,29.73,36.94,117.6,47.1,49.06
2017-01-05,哈密地区,107.81,2.36,57.75,14.19,131.07,74.06,14.33
2017-01-05,喀什地区,151.53,1.86,37.18,15.28,196.4,113.56,8.75
2017-01-05,塔城地区,39.88,1.62,13.5,116.83,30.41,11.46,5.04
2017-01-05,库尔勒,93.89,2.27,52.58,28.78,95.96,69.62,12.25
2017-01-05,昌吉州,229.74,2.47,65.71,35.11,267.11,199.24,27.02
2017-01-05,石河子,280.54,2.86,87.06,16.0,352.44,221.96,16.67
2017-01-05,阿克苏地区,106.69,1.06,32.56,33.73,132.29,79.58,15.54
2017-01-05,阿勒泰地区,62.89,3.44,49.17,40.63,40.23,29.61,119.57
2017-01-06,乌鲁木齐,327.35,3.77,101.31,11.8,380.46,289.69,30.31
2017-01-06,五家渠,417.58,3.69,80.75,11.33,507.71,362.21,33.71
2017-01-06,伊犁哈萨克州,106.15,2.22,52.72,41.88,87.55,79.14,37.9
2017-01-06,克州,81.33,1.19,19.08,52.17,98.5,54.71,2.12
2017-01-06,克拉玛依,110.4,1.47,29.72,48.24,135.17,80.15,14.63
2017-01-06,博州,123.67,2.51,39.71,40.79,169.12,92.81,31.05
2017-01-06,吐鲁番地区,172.6,3.56,61.54,14.52,159.65,132.48,26.31
2017-01-06,和田地区,99.23,1.03,36.73,27.85,129.48,58.54,55.79
2017-01-06,哈密地区,96.15,2.31,54.62,19.42,107.74,66.75,19.04
2017-01-06,喀什地区,132.9,1.59,50.89,20.71,158.58,98.07,10.07
2017-01-06,塔城地区,72.88,1.57,18.79,99.21,77.23,51.83,4.42
2017-01-06,库尔勒,104.15,1.93,48.35,22.82,102.96,78.36,10.45
2017-01-06,昌吉州,240.14,2.62,65.94,38.35,319.74,199.65,27.61
2017-01-06,石河子,274.1,2.65,86.02,24.25,311.54,224.88,17.79
2017-01-06,阿克苏地区,209.29,2.71,59.88,19.52,266.67,154.12,29.0
2017-01-06,阿勒泰地区,54.55,3.42,52.36,39.8,44.6,22.79,100.82
2017-01-07,乌鲁木齐,327.25,3.45,76.5,14.94,382.31,282.86,19.16
2017-01-07,五家渠,287.78,2.59,51.39,23.96,340.3,237.26,33.39
2017-01-07,伊犁哈萨克州,152.04,4.65,79.57,25.65,134.91,116.68,36.2
2017-01-07,克州,67.04,1.3,15.87,70.87,69.48,45.3,1.7
2017-01-07,克拉玛依,94.33,1.29,27.6,50.69,104.86,68.0,15.58
2017-01-07,博州,91.87,1.11,29.02,49.48,119.87,67.24,33.47
2017-01-07,吐鲁番地区,164.33,3.8,60.85,14.04,164.54,126.17,28.67
2017-01-07,和田地区,77.93,0.86,25.54,31.33,90.46,47.26,28.12
2017-01-07,哈密地区,73.26,1.78,50.0,35.74,77.44,45.91,16.74
2017-01-07,喀什地区,89.5,1.34,38.73,31.79,75.16,65.76,6.8
2017-01-07,塔城地区,48.22,1.27,17.61,101.83,48.5,27.74,3.78
2017-01-07,库尔勒,71.8,2.05,55.03,33.28,74.53,51.33,9.36
2017-01-07,昌吉州,209.78,1.85,50.39,42.45,259.6,168.8,23.12
2017-01-07,石河子,289.61,2.93,88.59,24.22,347.74,234.67,36.98
2017-01-07,阿克苏地区,143.39,1.55,46.46,24.24,168.53,108.93,24.93
2017-01-07,阿勒泰地区,60.17,3.34,45.22,38.07,35.55,27.96,87.37
2017-01-08,乌鲁木齐,212.65,2.47,60.97,23.07,214.0,166.63,30.03
2017-01-08,五家渠,226.25,2.37,43.79,28.71,244.22,180.88,24.5
2017-01-08,伊犁哈萨克州,153.49,4.92,83.12,25.51,136.15,117.06,40.89
2017-01-08,克州,39.92,1.11,12.12,91.46,34.67,21.33,1.46
2017-01-08,克拉玛依,96.24,1.17,36.27,42.6,109.52,70.19,20.27
2017-01-08,博州,67.24,0.52,23.61,61.11,69.8,47.85,18.04
2017-01-08,吐鲁番地区,173.06,3.88,61.1,14.27,177.33,132.71,32.02
2017-01-08,和田地区,52.31,0.63,16.1,44.44,51.5,33.12,8.92
2017-01-08,哈密地区,87.31,2.35,64.17,25.56,102.64,53.23,11.54
2017-01-08,喀什地区,66.43,1.08,35.23,45.41,59.15,45.83,7.0
2017-01-08,塔城地区,60.79,1.07,13.29,108.92,31.94,42.78,4.62
2017-01-08,库尔勒,75.71,1.92,57.57,33.19,71.8,54.61,11.72
2017-01-08,昌吉州,115.5,1.9,37.0,49.94,127.25,88.03,26.72
2017-01-08,石河子,145.1,1.96,58.96,54.79,148.27,110.19,17.04
2017-01-08,阿克苏地区,117.52,1.53,41.52,36.33,127.49,88.52,19.56
2017-01-08,阿勒泰地区,46.44,3.13,16.08,66.83,15.12,15.83,20.35
2017-01-09,乌鲁木齐,286.79,3.44,88.57,6.21,275.92,238.0,24.14
2017-01-09,五家渠,317.26,2.9,61.78,10.17,412.83,250.39,6.83
2017-01-09,伊犁哈萨克州,205.04,5.89,96.93,17.25,193.7,159.41,48.8
2017-01-09,克州,35.65,0.97,5.83,105.17,28.15,11.57,1.52
2017-01-09,克拉玛依,106.21,1.35,28.89,51.07,119.71,78.46,14.7
2017-01-09,博州,70.11,0.87,30.37,56.03,82.68,48.05,19.26
2017-01-09,吐鲁番地区,183.67,3.95,67.67,12.57,186.54,141.74,35.89
2017-01-09,和田地区,52.8,0.57,22.35,51.48,44.74,35.26,10.8
2017-01-09,哈密地区,80.67,1.73,54.11,32.39,95.33,45.33,29.13
2017-01-09,喀什地区,98.03,1.65,58.15,40.91,86.95,72.58,7.82
2017-01-09,塔城地区,41.7,1.27,14.87,109.22,37.65,18.91,4.3
2017-01-09,库尔勒,61.68,1.73,37.93,39.61,63.67,37.97,7.39
2017-01-09,昌吉州,159.68,2.37,54.65,38.21,174.25,124.33,28.13
2017-01-09,石河子,201.98,2.83,81.74,28.83,217.61,156.0,23.78
2017-01-09,阿克苏地区,108.91,2.07,52.5,33.24,128.8,80.11,21.41
2017-01-09,阿勒泰地区,49.17,3.3,25.04,55.85,24.07,19.33,43.24
2017-01-10,乌鲁木齐,323.48,4.09,102.12,7.31,340.23,276.85,26.42
2017-01-10,五家渠,306.29,3.38,74.12,7.5,384.38,238.92,19.42
2017-01-10,伊犁哈萨克州,180.29,6.78,91.53,24.1,167.23,143.28,47.38
2017-01-10,克州,33.79,0.78,4.92,90.21,18.7,11.08,1.62
2017-01-10,克拉玛依,138.83,1.76,37.61,40.09,157.1,104.76,16.04
2017-01-10,博州,69.89,0.99,31.39,47.93,83.18,48.52,28.14
2017-01-10,吐鲁番地区,162.31,3.36,63.44,14.75,162.8,124.56,28.08
2017-01-10,和田地区,70.95,0.8,35.68,43.0,50.21,54.0,29.09
2017-01-10,哈密地区,72.29,1.57,49.04,34.83,80.7,39.15,34.38
2017-01-10,喀什地区,121.81,1.82,70.0,41.24,107.78,91.46,7.44
2017-01-10,塔城地区,44.46,1.25,14.54,109.75,42.25,23.29,5.04
2017-01-10,库尔勒,47.22,1.57,29.31,41.15,42.42,31.85,10.08
2017-01-10,昌吉州,166.01,2.6,55.19,40.96,160.3,129.06,36.51
2017-01-10,石河子,227.29,3.27,92.33,10.38,275.19,180.98,30.65
2017-01-10,阿克苏地区,112.71,1.98,45.19,36.79,123.76,83.58,19.17
2017-01-10,阿勒泰地区,45.74,3.39,19.15,68.76,16.41,16.22,13.89
2017-01-11,乌鲁木齐,294.19,3.33,87.95,12.98,309.2,246.53,35.21
2017-01-11,五家渠,249.75,3.01,75.79,13.12,259.54,199.75,45.67
2017-01-11,伊犁哈萨克州,118.67,4.34,75.36,27.78,105.28,87.68,49.5
2017-01-11,克州,32.12,0.59,6.79,73.62,28.89,15.74,2.12
2017-01-11,克拉玛依,119.33,1.72,45.69,31.75,138.54,87.61,12.9
2017-01-11,博州,84.17,1.51,31.36,48.43,103.26,59.9,30.71
2017-01-11,吐鲁番地区,175.69,3.38,62.6,18.08,157.5,135.38,39.27
2017-01-11,和田地区,123.07,1.19,42.26,37.71,120.2,88.43,33.38
2017-01-11,哈密地区,69.65,1.55,48.83,28.4,77.3,43.35,22.92
2017-01-11,喀什地区,126.28,1.88,74.73,39.38,119.0,95.93,7.3
2017-01-11,塔城地区,50.42,1.54,18.96,105.88,53.6,25.21,6.25
2017-01-11,库尔勒,73.22,1.34,18.71,47.69,99.59,29.0,8.0
2017-01-11,昌吉州,156.16,2.1,49.68,44.83,172.86,118.47,49.24
2017-01-11,石河子,260.46,2.95,81.46,23.83,282.85,210.46,29.96
2017-01-11,阿克苏地区,111.85,1.77,47.02,45.69,122.17,83.62,22.56
2017-01-11,阿勒泰地区,44.75,3.46,18.02,71.71,14.84,12.59,12.81
2017-01-12,乌鲁木齐,235.05,2.97,91.2,15.61,252.35,190.61,26.67
2017-01-12,五家渠,321.79,3.58,73.75,12.67,385.38,221.58,26.88
2017-01-12,伊犁哈萨克州,96.86,3.19,66.49,32.62,90.95,70.1,48.47
2017-01-12,克州,81.58,2.1,24.38,48.75,72.05,57.21,2.04
2017-01-12,克拉玛依,112.38,1.53,42.23,33.55,128.15,82.86,11.95
2017-01-12,博州,93.74,1.95,26.26,50.67,120.3,69.05,27.88
2017-01-12,吐鲁番地区,209.75,3.93,73.79,19.21,185.0,165.4,46.56
2017-01-12,和田地区,115.33,1.31,46.31,30.1,89.46,86.4,34.21
2017-01-12,哈密地区,59.62,1.5,49.23,29.31,67.26,32.81,13.96
2017-01-12,喀什地区,183.74,2.36,74.83,32.08,176.94,141.81,5.72
2017-01-12,塔城地区,53.88,2.22,23.79,101.0,58.88,30.5,6.08
2017-01-12,库尔勒,44.81,1.09,19.94,47.75,43.16,27.19,9.17
2017-01-12,昌吉州,185.84,2.91,68.69,30.9,214.19,142.95,54.62
2017-01-12,石河子,202.9,2.65,94.1,30.06,246.08,156.27,15.06
2017-01-12,阿克苏地区,144.71,2.64,50.18,31.31,160.82,110.02,18.51
2017-01-12,阿勒泰地区,42.96,3.66,20.18,65.79,22.4,12.76,16.61
2017-01-13,乌鲁木齐,351.04,4.52,113.21,9.25,377.78,313.72,37.19
2017-01-13,五家渠,410.07,4.32,72.67,11.73,500.47,380.8,19.8
2017-01-13,伊犁哈萨克州,84.15,2.56,55.67,37.56,77.7,60.57,45.01
2017-01-13,克州,90.83,1.63,18.75,56.96,82.87,64.38,2.04
2017-01-13,克拉玛依,154.13,1.67,48.25,35.03,179.6,116.25,22.3
2017-01-13,博州,136.55,3.82,40.8,32.07,188.5,103.43,31.89
2017-01-13,吐鲁番地区,166.25,2.97,63.48,19.4,157.16,127.98,29.58
2017-01-13,和田地区,56.94,0.73,30.08,38.12,51.71,39.25,15.27
2017-01-13,哈密地区,56.17,1.41,42.81,32.5,60.59,29.0,28.27
2017-01-13,喀什地区,181.06,1.9,53.58,42.97,162.53,139.33,5.82
2017-01-13,塔城地区,64.67,2.62,23.71,89.75,72.75,44.12,7.62
2017-01-13,库尔勒,50.96,1.07,17.49,49.76,56.62,30.61,8.44
2017-01-13,昌吉州,232.89,3.33,76.88,28.11,245.86,187.14,57.05
2017-01-13,石河子,280.19,3.48,100.04,19.12,323.46,230.23,29.38
2017-01-13,阿克苏地区,145.62,2.05,41.27,32.23,155.41,112.08,18.25
2017-01-13,阿勒泰地区,65.12,4.24,52.62,35.25,52.25,43.5,88.75
