time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乌鲁木齐,174.61,2.2,65.55,21.38,197.24,137.84,18.37
2017-01-02,乌鲁木齐,252.59,3.34,79.03,12.28,274.62,196.48,18.55
2017-01-03,乌鲁木齐,305.8,3.55,78.38,14.89,387.57,245.63,20.5
2017-01-04,乌鲁木齐,244.16,3.61,102.62,10.94,306.55,206.87,28.75
2017-01-05,乌鲁木齐,307.69,4.05,104.0,8.77,377.84,261.89,27.44
2017-01-06,乌鲁木齐,327.35,3.77,101.31,11.8,380.46,289.69,30.31
2017-01-07,乌鲁木齐,327.25,3.45,76.5,14.94,382.31,282.86,19.16
2017-01-08,乌鲁木齐,212.65,2.47,60.97,23.07,214.0,166.63,30.03
2017-01-09,乌鲁木齐,286.79,3.44,88.57,6.21,275.92,238.0,24.14
2017-01-10,乌鲁木齐,323.48,4.09,102.12,7.31,340.23,276.85,26.42
2017-01-11,乌鲁木齐,294.19,3.33,87.95,12.98,309.2,246.53,35.21
2017-01-12,乌鲁木齐,235.05,2.97,91.2,15.61,252.35,190.61,26.67
2017-01-13,乌鲁木齐,351.04,4.52,113.21,9.25,377.78,313.72,37.19
2017-01-14,乌鲁木齐,280.49,3.71,93.83,13.61,373.43,239.68,38.28
2017-01-15,乌鲁木齐,236.74,3.46,89.63,10.47,302.82,198.02,28.99
2017-01-16,乌鲁木齐,352.51,3.94,96.87,15.25,390.6,306.23,30.98
2017-01-17,乌鲁木齐,343.55,4.51,110.78,10.6,378.14,291.52,41.71
2017-01-18,乌鲁木齐,400.93,4.77,112.81,11.79,473.4,348.97,42.34
2017-01-19,乌鲁木齐,203.8,2.32,84.62,19.03,245.98,162.54,41.39
2017-01-20,乌鲁木齐,290.21,3.58,103.5,16.36,320.0,238.43,33.57
2017-01-21,乌鲁木齐,,,,,,,
2017-01-22,乌鲁木齐,228.5,3.0,43.54,56.71,287.5,279.0,37.83
2017-01-23,乌鲁木齐,,,,,,,
2017-01-24,乌鲁木齐,,,,,,,
2017-01-25,乌鲁木齐,187.94,1.83,56.72,40.61,278.67,146.39,29.06
2017-01-26,乌鲁木齐,99.72,1.72,70.17,17.44,,75.83,17.83
2017-01-27,乌鲁木齐,223.28,2.49,81.24,18.44,224.07,176.96,21.12
2017-01-28,乌鲁木齐,374.47,3.74,91.92,21.44,423.92,336.07,46.76
2017-01-29,乌鲁木齐,226.79,2.81,86.23,17.71,226.8,185.38,38.02
2017-01-30,乌鲁木齐,258.58,37.4,84.75,19.49,381.94,272.76,27.46
2017-01-31,乌鲁木齐,300.41,66.75,110.0,40.97,440.68,364.9,27.76
2017-02-01,乌鲁木齐,353.13,32.31,109.52,29.88,457.09,368.75,30.03
2017-02-02,乌鲁木齐,335.47,3.64,94.23,24.17,349.04,293.3,38.07
2017-02-03,乌鲁木齐,370.17,4.02,120.5,9.5,381.2,320.5,30.83
2017-02-04,乌鲁木齐,109.15,1.47,49.38,48.51,225.3,84.0,22.24
2017-02-05,乌鲁木齐,94.94,1.35,41.67,38.01,82.6,70.96,17.33
2017-02-06,乌鲁木齐,110.23,1.39,49.93,28.41,115.94,83.75,18.54
2017-02-07,乌鲁木齐,133.07,1.78,65.32,23.76,122.49,101.07,13.3
2017-02-08,乌鲁木齐,163.49,1.84,64.69,23.71,173.28,124.54,11.26
2017-02-09,乌鲁木齐,177.0,2.43,86.2,19.45,178.51,139.64,16.29
2017-02-10,乌鲁木齐,306.6,3.09,99.51,17.81,326.14,261.88,15.8
2017-02-11,乌鲁木齐,302.53,3.38,98.36,23.47,302.55,254.98,25.5
2017-02-12,乌鲁木齐,251.78,3.17,84.01,29.95,253.27,203.4,31.17
2017-02-13,乌鲁木齐,228.96,3.18,94.44,23.07,229.41,182.55,24.65
2017-02-14,乌鲁木齐,319.14,3.51,96.73,28.45,350.66,271.17,21.79
2017-02-15,乌鲁木齐,303.48,3.15,80.67,38.77,344.95,256.79,33.08
2017-02-16,乌鲁木齐,304.72,3.38,95.57,20.66,348.34,261.9,22.49
2017-02-17,乌鲁木齐,221.92,2.27,64.38,33.3,263.35,175.03,18.94
2017-02-18,乌鲁木齐,208.97,2.81,91.23,30.79,235.46,161.7,16.18
2017-02-19,乌鲁木齐,175.04,2.32,74.53,37.39,208.0,135.49,21.0
2017-02-20,乌鲁木齐,41.4,1.06,38.06,51.96,38.53,27.67,11.29
2017-02-21,乌鲁木齐,79.26,1.71,75.04,31.4,69.5,56.64,15.49
2017-02-22,乌鲁木齐,156.57,2.06,76.05,34.68,117.71,119.97,21.1
2017-02-23,乌鲁木齐,147.3,2.24,85.03,30.05,122.15,110.7,21.54
2017-02-24,乌鲁木齐,153.59,2.56,93.93,37.64,133.23,116.01,22.74
2017-02-25,乌鲁木齐,223.43,3.26,118.21,27.29,240.43,177.93,15.93
2017-02-26,乌鲁木齐,,,,,,,
2017-02-27,乌鲁木齐,273.89,3.49,120.0,44.67,384.17,241.22,42.44
2017-02-28,乌鲁木齐,118.88,1.97,58.96,78.08,123.48,93.4,20.69
2017-03-01,乌鲁木齐,227.33,1.98,61.3,69.76,212.04,187.09,22.97
2017-03-02,乌鲁木齐,161.4,2.73,86.85,43.47,167.81,131.33,19.68
2017-03-03,乌鲁木齐,109.69,1.39,39.86,58.73,93.08,81.92,15.27
