time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,五家渠,137.58,1.55,30.21,32.58,154.63,104.0,20.53
2017-01-02,五家渠,171.55,2.06,48.2,17.25,218.15,120.45,27.2
2017-01-03,五家渠,207.08,2.17,53.04,17.21,232.5,159.42,54.12
2017-01-04,五家渠,260.5,2.91,70.96,11.08,308.25,210.5,42.62
2017-01-05,五家渠,324.25,3.33,78.04,8.38,386.42,274.62,37.33
2017-01-06,五家渠,417.58,3.69,80.75,11.33,507.71,362.21,33.71
2017-01-07,五家渠,287.78,2.59,51.39,23.96,340.3,237.26,33.39
2017-01-08,五家渠,226.25,2.37,43.79,28.71,244.22,180.88,24.5
2017-01-09,五家渠,317.26,2.9,61.78,10.17,412.83,250.39,6.83
2017-01-10,五家渠,306.29,3.38,74.12,7.5,384.38,238.92,19.42
2017-01-11,五家渠,249.75,3.01,75.79,13.12,259.54,199.75,45.67
2017-01-12,五家渠,321.79,3.58,73.75,12.67,385.38,221.58,26.88
2017-01-13,五家渠,410.07,4.32,72.67,11.73,500.47,380.8,19.8
2017-01-14,五家渠,383.73,3.83,84.4,16.93,365.14,344.6,53.33
2017-01-15,五家渠,460.17,4.12,99.04,8.58,554.79,410.96,19.25
2017-01-16,五家渠,327.46,3.18,79.12,15.54,383.08,275.25,40.75
2017-01-17,五家渠,324.29,3.9,88.25,10.08,427.58,276.38,43.29
2017-01-18,五家渠,342.33,4.04,88.96,16.04,470.37,305.88,38.0
2017-01-19,五家渠,340.62,3.33,95.83,15.29,393.12,281.38,58.46
2017-01-20,五家渠,352.83,3.35,87.79,12.46,412.08,300.54,22.17
2017-01-21,五家渠,317.08,2.98,69.67,23.33,367.12,267.08,50.0
2017-01-22,五家渠,386.62,3.64,94.08,13.75,455.46,323.5,58.92
2017-01-23,五家渠,355.75,3.36,78.29,21.21,406.88,304.5,37.29
2017-01-24,五家渠,366.54,3.48,74.88,24.67,423.21,317.96,44.58
