time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,伊犁哈萨克州,89.65,2.15,50.09,30.61,85.74,65.72,36.78
2017-01-02,伊犁哈萨克州,100.65,3.41,65.05,35.28,74.28,74.65,32.45
2017-01-03,伊犁哈萨克州,89.03,3.5,67.36,28.5,80.94,64.36,38.8
2017-01-04,伊犁哈萨克州,94.19,2.58,58.54,39.14,76.17,69.94,32.9
2017-01-05,伊犁哈萨克州,170.51,5.38,82.0,16.5,146.94,130.72,37.26
2017-01-06,伊犁哈萨克州,106.15,2.22,52.72,41.88,87.55,79.14,37.9
2017-01-07,伊犁哈萨克州,152.04,4.65,79.57,25.65,134.91,116.68,36.2
2017-01-08,伊犁哈萨克州,153.49,4.92,83.12,25.51,136.15,117.06,40.89
2017-01-09,伊犁哈萨克州,205.04,5.89,96.93,17.25,193.7,159.41,48.8
2017-01-10,伊犁哈萨克州,180.29,6.78,91.53,24.1,167.23,143.28,47.38
2017-01-11,伊犁哈萨克州,118.67,4.34,75.36,27.78,105.28,87.68,49.5
2017-01-12,伊犁哈萨克州,96.86,3.19,66.49,32.62,90.95,70.1,48.47
2017-01-13,伊犁哈萨克州,84.15,2.56,55.67,37.56,77.7,60.57,45.01
2017-01-14,伊犁哈萨克州,80.17,1.92,37.54,40.69,82.09,59.51,29.88
2017-01-15,伊犁哈萨克州,159.11,4.12,59.81,40.65,149.65,121.76,37.56
2017-01-16,伊犁哈萨克州,310.73,7.36,96.8,27.15,311.51,270.8,59.57
2017-01-17,伊犁哈萨克州,287.51,7.39,98.44,32.15,285.69,240.42,54.96
2017-01-18,伊犁哈萨克州,274.91,6.63,99.54,22.26,250.96,229.17,65.61
2017-01-19,伊犁哈萨克州,218.12,6.83,98.24,20.32,183.49,175.47,62.51
2017-01-20,伊犁哈萨克州,124.15,3.7,67.69,34.74,85.56,93.79,41.21
2017-01-21,伊犁哈萨克州,116.6,5.19,81.32,25.44,103.49,86.07,47.39
2017-01-22,伊犁哈萨克州,109.21,3.56,71.94,28.83,89.6,81.46,50.42
2017-01-23,伊犁哈萨克州,126.29,3.34,75.0,31.06,116.88,94.99,57.19
2017-01-24,伊犁哈萨克州,81.56,1.65,41.03,42.32,74.26,58.68,49.64
2017-01-25,伊犁哈萨克州,44.97,1.97,41.6,38.68,35.81,30.79,29.96
2017-01-26,伊犁哈萨克州,114.06,5.22,73.16,14.62,99.58,85.54,53.35
2017-01-27,伊犁哈萨克州,173.47,5.08,77.67,27.1,158.36,133.14,74.65
