time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,克拉玛依,125.32,1.51,34.78,40.48,142.33,93.6,15.12
2017-01-02,克拉玛依,119.96,1.58,37.46,45.8,135.6,89.01,18.36
2017-01-03,克拉玛依,121.73,1.73,50.15,31.04,140.59,91.23,18.14
2017-01-04,克拉玛依,99.91,1.66,37.31,49.26,116.46,73.26,17.09
2017-01-05,克拉玛依,121.32,1.59,44.32,41.68,151.23,89.7,26.95
2017-01-06,克拉玛依,110.4,1.47,29.72,48.24,135.17,80.15,14.63
2017-01-07,克拉玛依,94.33,1.29,27.6,50.69,104.86,68.0,15.58
2017-01-08,克拉玛依,96.24,1.17,36.27,42.6,109.52,70.19,20.27
2017-01-09,克拉玛依,106.21,1.35,28.89,51.07,119.71,78.46,14.7
2017-01-10,克拉玛依,138.83,1.76,37.61,40.09,157.1,104.76,16.04
2017-01-11,克拉玛依,119.33,1.72,45.69,31.75,138.54,87.61,12.9
2017-01-12,克拉玛依,112.38,1.53,42.23,33.55,128.15,82.86,11.95
2017-01-13,克拉玛依,154.13,1.67,48.25,35.03,179.6,116.25,22.3
2017-01-14,克拉玛依,149.96,1.52,40.84,43.27,176.92,113.12,14.96
2017-01-15,克拉玛依,151.59,1.52,46.31,35.83,170.95,114.8,18.17
2017-01-16,克拉玛依,137.7,1.62,47.65,34.64,162.9,102.5,14.62
2017-01-17,克拉玛依,124.79,1.63,50.82,32.29,139.66,93.9,17.83
2017-01-18,克拉玛依,116.51,1.3,40.98,47.1,128.96,85.84,17.25
2017-01-19,克拉玛依,102.28,1.44,47.38,35.51,113.51,74.97,16.39
2017-01-20,克拉玛依,145.88,1.82,37.79,47.46,166.16,109.11,15.33
2017-01-21,克拉玛依,201.91,2.27,56.26,31.54,234.44,153.37,24.63
2017-01-22,克拉玛依,183.79,2.37,48.81,46.0,213.25,139.21,25.98
2017-01-23,克拉玛依,202.07,2.4,44.16,53.55,233.17,153.99,29.42
2017-01-24,克拉玛依,166.08,2.07,31.36,62.07,190.44,125.09,27.36
2017-01-25,克拉玛依,152.53,1.88,29.82,63.3,172.18,113.5,21.69
2017-01-26,克拉玛依,142.69,1.41,46.58,46.64,170.33,101.71,14.22
2017-01-27,克拉玛依,79.43,1.0,26.19,55.0,84.45,55.09,11.05
2017-01-28,克拉玛依,120.92,1.22,30.05,45.02,132.96,88.22,18.12
2017-01-29,克拉玛依,105.59,1.29,27.75,50.0,119.04,77.5,14.43
2017-01-30,克拉玛依,115.17,1.54,30.84,49.79,151.72,81.26,15.49
2017-01-31,克拉玛依,124.61,1.41,34.34,45.0,157.4,91.43,12.57
2017-02-01,克拉玛依,134.89,1.46,39.31,43.61,167.68,99.02,20.52
2017-02-02,克拉玛依,142.88,1.5,32.5,56.12,180.56,106.55,18.42
2017-02-03,克拉玛依,145.01,1.46,40.82,50.67,176.0,107.41,20.53
2017-02-04,克拉玛依,126.73,1.27,28.29,59.98,145.25,90.86,18.86
2017-02-05,克拉玛依,105.93,1.35,22.88,66.42,124.86,70.73,15.43
2017-02-06,克拉玛依,69.0,1.03,22.32,57.08,74.52,45.96,10.04
2017-02-07,克拉玛依,61.96,0.75,26.03,49.19,64.91,40.38,8.82
2017-02-08,克拉玛依,76.45,0.87,36.12,37.52,76.75,52.28,9.25
2017-02-09,克拉玛依,72.68,0.83,29.05,48.52,75.53,49.72,8.08
2017-02-10,克拉玛依,90.72,1.11,36.09,49.17,98.16,63.57,12.49
2017-02-11,克拉玛依,113.31,1.37,37.98,49.62,129.19,81.91,24.06
2017-02-12,克拉玛依,113.82,1.41,30.26,60.82,128.48,82.25,20.66
2017-02-13,克拉玛依,100.98,1.22,33.89,57.26,112.76,73.24,19.19
2017-02-14,克拉玛依,114.72,1.2,36.78,56.73,133.95,85.51,12.97
2017-02-15,克拉玛依,129.11,1.09,35.02,63.48,141.85,97.88,9.88
2017-02-16,克拉玛依,85.26,0.73,19.43,73.5,105.89,57.93,6.32
2017-02-17,克拉玛依,57.21,0.82,28.08,63.54,62.19,35.97,8.34
2017-02-18,克拉玛依,77.62,0.95,26.23,68.96,85.11,52.25,8.07
2017-02-19,克拉玛依,90.57,0.89,31.19,58.34,102.44,63.1,10.86
2017-02-20,克拉玛依,39.28,0.39,20.99,70.63,33.96,15.24,9.23
2017-02-21,克拉玛依,48.32,0.54,27.96,59.15,48.88,26.38,5.76
2017-02-22,克拉玛依,58.41,0.71,37.18,56.94,57.33,33.9,9.37
2017-02-23,克拉玛依,71.54,0.88,39.1,60.67,78.64,48.16,7.84
2017-02-24,克拉玛依,85.47,1.08,40.33,66.23,92.36,57.99,7.53
2017-02-25,克拉玛依,119.63,1.34,45.67,68.51,141.06,89.0,10.41
2017-02-26,克拉玛依,121.64,1.41,39.71,81.96,140.07,89.72,12.2
2017-02-27,克拉玛依,154.03,1.39,38.75,92.93,177.81,119.25,14.33
2017-02-28,克拉玛依,130.44,1.26,41.13,72.17,152.15,96.02,8.44
2017-03-01,克拉玛依,88.46,1.01,39.97,81.06,99.41,61.62,13.07
2017-03-02,克拉玛依,95.13,0.95,33.23,91.79,108.17,67.85,9.55
2017-03-03,克拉玛依,94.19,1.16,29.48,82.49,107.57,66.71,8.55
2017-03-04,克拉玛依,67.65,1.2,22.42,79.62,73.36,42.48,6.49
2017-03-05,克拉玛依,61.63,1.0,20.04,82.26,65.98,36.35,7.55
2017-03-06,克拉玛依,67.2,1.0,26.68,85.81,71.24,42.43,8.79
2017-03-07,克拉玛依,71.98,1.02,24.97,79.12,77.73,46.28,8.49
2017-03-08,克拉玛依,83.11,0.99,22.5,80.93,92.02,56.33,10.46
2017-03-09,克拉玛依,87.42,0.95,19.1,80.1,97.1,58.95,6.23
2017-03-10,克拉玛依,69.24,0.83,17.76,74.43,73.94,42.99,6.31
2017-03-11,克拉玛依,62.03,0.83,17.11,73.66,64.27,36.97,6.13
2017-03-12,克拉玛依,65.79,0.74,18.49,71.8,69.54,40.38,8.21
2017-03-13,克拉玛依,69.75,0.75,18.73,68.81,80.72,42.04,7.17
2017-03-14,克拉玛依,58.1,0.83,22.07,63.83,60.62,34.67,11.36
2017-03-15,克拉玛依,62.36,0.77,17.24,75.54,64.34,35.93,10.37
2017-03-16,克拉玛依,58.45,0.75,15.69,80.57,56.95,35.3,6.39
2017-03-17,克拉玛依,55.96,0.75,15.08,81.61,56.51,29.87,6.04
2017-03-18,克拉玛依,59.47,0.79,16.15,76.79,64.56,34.08,7.53
2017-03-19,克拉玛依,63.53,0.87,19.6,69.86,65.78,38.35,6.58
2017-03-20,克拉玛依,65.21,0.92,19.87,69.88,71.24,41.05,4.22
2017-03-21,克拉玛依,51.3,0.82,18.97,79.89,47.47,28.37,4.68
2017-03-22,克拉玛依,54.64,0.83,21.81,78.53,50.67,31.85,5.76
2017-03-23,克拉玛依,59.19,0.75,19.45,89.97,59.87,35.94,7.25
