time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,博州,89.16,1.64,26.82,41.29,114.13,65.55,18.26
2017-01-02,博州,72.32,2.0,26.71,44.45,86.55,52.05,15.37
2017-01-03,博州,88.58,1.76,39.51,33.12,111.77,64.28,27.58
2017-01-04,博州,75.47,1.67,36.87,42.53,93.69,53.11,22.51
2017-01-05,博州,109.48,2.27,41.33,41.38,150.69,80.67,28.52
2017-01-06,博州,123.67,2.51,39.71,40.79,169.12,92.81,31.05
2017-01-07,博州,91.87,1.11,29.02,49.48,119.87,67.24,33.47
2017-01-08,博州,67.24,0.52,23.61,61.11,69.8,47.85,18.04
2017-01-09,博州,70.11,0.87,30.37,56.03,82.68,48.05,19.26
2017-01-10,博州,69.89,0.99,31.39,47.93,83.18,48.52,28.14
2017-01-11,博州,84.17,1.51,31.36,48.43,103.26,59.9,30.71
2017-01-12,博州,93.74,1.95,26.26,50.67,120.3,69.05,27.88
2017-01-13,博州,136.55,3.82,40.8,32.07,188.5,103.43,31.89
2017-01-14,博州,129.53,2.77,40.85,38.38,176.28,97.0,33.08
2017-01-15,博州,97.34,1.43,30.11,51.11,125.7,72.17,29.45
2017-01-16,博州,93.02,1.84,30.67,54.23,113.95,67.72,32.4
2017-01-17,博州,92.98,1.74,30.84,56.2,111.05,68.24,32.84
2017-01-18,博州,117.59,2.19,34.38,52.95,154.72,88.05,37.79
2017-01-19,博州,106.54,2.42,45.23,41.04,131.35,79.12,29.38
2017-01-20,博州,118.1,1.34,32.95,52.23,155.79,88.33,31.49
2017-01-21,博州,112.85,1.95,47.07,38.44,146.44,83.83,66.17
2017-01-22,博州,98.32,1.75,37.84,51.34,125.3,72.14,41.73
2017-01-23,博州,123.75,1.88,41.73,48.89,166.68,93.52,55.75
2017-01-24,博州,104.2,1.62,38.57,44.89,135.11,77.66,35.77
2017-01-25,博州,95.38,2.03,31.58,48.33,120.08,70.25,25.23
2017-01-26,博州,106.38,2.33,18.68,76.62,139.59,79.35,17.97
2017-01-27,博州,51.94,2.42,20.44,71.56,57.63,34.6,16.0
2017-01-28,博州,100.78,2.66,28.65,65.78,127.89,74.65,45.83
2017-01-29,博州,84.2,2.22,30.67,59.57,103.41,60.72,36.35
2017-01-30,博州,68.34,0.95,26.95,65.43,82.34,46.8,34.86
2017-01-31,博州,74.09,1.21,26.41,66.0,95.09,46.32,24.89
2017-02-01,博州,101.48,1.65,29.05,58.52,146.89,72.68,34.64
2017-02-02,博州,89.93,1.34,31.53,53.67,123.78,62.44,25.07
2017-02-03,博州,108.13,1.05,31.71,59.6,152.89,79.2,24.67
2017-02-04,博州,86.65,0.97,26.0,66.87,115.22,60.07,24.43
2017-02-05,博州,36.6,1.35,18.29,64.27,33.14,22.79,11.65
2017-02-06,博州,41.98,0.65,15.95,73.91,39.8,26.95,11.2
