time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,和田地区,147.47,0.98,28.03,40.03,210.66,76.89,85.45
2017-01-02,和田地区,144.31,1.36,37.47,43.0,184.89,95.36,97.53
2017-01-03,和田地区,131.77,1.16,32.1,45.44,173.25,89.1,95.58
2017-01-04,和田地区,120.05,1.12,37.25,32.52,149.02,76.41,84.2
2017-01-05,和田地区,87.42,0.75,29.73,36.94,117.6,47.1,49.06
2017-01-06,和田地区,99.23,1.03,36.73,27.85,129.48,58.54,55.79
2017-01-07,和田地区,77.93,0.86,25.54,31.33,90.46,47.26,28.12
2017-01-08,和田地区,52.31,0.63,16.1,44.44,51.5,33.12,8.92
2017-01-09,和田地区,52.8,0.57,22.35,51.48,44.74,35.26,10.8
2017-01-10,和田地区,70.95,0.8,35.68,43.0,50.21,54.0,29.09
2017-01-11,和田地区,123.07,1.19,42.26,37.71,120.2,88.43,33.38
2017-01-12,和田地区,115.33,1.31,46.31,30.1,89.46,86.4,34.21
2017-01-13,和田地区,56.94,0.73,30.08,38.12,51.71,39.25,15.27
2017-01-14,和田地区,101.98,1.06,43.46,24.02,94.28,75.67,24.98
2017-01-15,和田地区,100.85,1.11,39.19,32.96,83.0,74.6,19.67
2017-01-16,和田地区,50.97,1.02,26.84,31.49,48.03,34.92,13.62
2017-01-17,和田地区,109.04,2.42,55.5,23.21,124.92,79.25,32.62
2017-01-18,和田地区,76.25,1.9,41.92,34.33,91.46,51.62,25.54
2017-01-19,和田地区,69.69,1.97,33.62,42.93,71.15,48.62,30.17
2017-01-20,和田地区,90.37,3.05,48.0,31.76,91.32,62.71,45.95
2017-01-21,和田地区,71.53,1.84,40.5,36.22,81.1,44.57,40.33
2017-01-22,和田地区,77.07,1.53,37.89,39.91,74.53,54.37,57.26
2017-01-23,和田地区,110.62,2.98,56.65,34.14,116.1,78.98,70.54
2017-01-24,和田地区,76.69,1.8,38.48,47.85,87.41,47.04,70.19
2017-01-25,和田地区,88.08,2.01,49.65,38.83,80.19,57.92,67.65
2017-01-26,和田地区,60.82,0.91,22.03,54.35,70.29,29.53,27.35
2017-01-27,和田地区,65.54,1.2,27.12,43.52,62.21,42.79,21.21
2017-01-28,和田地区,91.3,1.91,38.23,30.3,90.42,63.05,31.3
2017-01-29,和田地区,76.33,1.5,33.78,40.43,83.55,47.13,42.39
2017-01-30,和田地区,87.5,1.76,37.88,36.38,97.9,54.33,51.52
