time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,库尔勒,96.67,1.39,26.46,30.26,116.87,65.68,7.19
2017-01-02,库尔勒,92.0,1.65,29.32,29.14,103.36,67.33,6.23
2017-01-03,库尔勒,105.67,2.12,29.72,23.39,107.8,78.93,9.14
2017-01-04,库尔勒,63.81,1.36,24.28,44.72,62.14,44.92,7.24
2017-01-05,库尔勒,93.89,2.27,52.58,28.78,95.96,69.62,12.25
2017-01-06,库尔勒,104.15,1.93,48.35,22.82,102.96,78.36,10.45
2017-01-07,库尔勒,71.8,2.05,55.03,33.28,74.53,51.33,9.36
2017-01-08,库尔勒,75.71,1.92,57.57,33.19,71.8,54.61,11.72
2017-01-09,库尔勒,61.68,1.73,37.93,39.61,63.67,37.97,7.39
2017-01-10,库尔勒,47.22,1.57,29.31,41.15,42.42,31.85,10.08
2017-01-11,库尔勒,73.22,1.34,18.71,47.69,99.59,29.0,8.0
2017-01-12,库尔勒,44.81,1.09,19.94,47.75,43.16,27.19,9.17
2017-01-13,库尔勒,50.96,1.07,17.49,49.76,56.62,30.61,8.44
2017-01-14,库尔勒,61.25,1.43,40.56,34.64,68.99,39.43,7.75
2017-01-15,库尔勒,62.99,1.61,41.12,37.31,65.54,44.31,10.1
2017-01-16,库尔勒,85.35,1.85,47.85,34.97,91.33,57.56,11.51
2017-01-17,库尔勒,52.28,1.38,28.69,43.88,53.45,33.08,7.71
2017-01-18,库尔勒,61.53,1.59,43.74,36.61,63.37,44.12,9.46
2017-01-19,库尔勒,91.24,1.3,33.32,47.14,85.12,67.64,10.03
2017-01-20,库尔勒,49.53,0.97,25.49,50.67,51.66,33.24,13.36
2017-01-21,库尔勒,63.89,1.36,42.22,41.76,65.55,45.78,11.83
2017-01-22,库尔勒,96.24,1.64,41.19,41.5,91.1,71.31,11.38
2017-01-23,库尔勒,67.68,1.65,43.28,39.72,69.54,47.76,15.62
2017-01-24,库尔勒,85.24,1.65,31.89,49.76,83.87,62.65,12.74
2017-01-25,库尔勒,87.16,1.66,40.81,31.94,94.31,61.61,18.12
2017-01-26,库尔勒,151.67,2.15,45.8,29.98,210.16,55.71,19.63
2017-01-27,库尔勒,138.38,1.23,15.47,47.03,226.31,42.89,13.71
2017-01-28,库尔勒,94.43,1.51,20.19,46.13,138.22,43.21,12.41
2017-01-29,库尔勒,89.61,2.03,13.97,51.03,128.77,35.77,9.0
2017-01-30,库尔勒,102.32,2.1,24.54,41.43,154.15,35.64,8.24
2017-01-31,库尔勒,113.38,1.9,31.78,38.88,176.28,40.14,8.43
2017-02-01,库尔勒,113.4,1.9,30.58,32.99,176.38,43.99,12.46
2017-02-02,库尔勒,99.51,2.06,23.04,42.31,146.6,48.56,9.9
2017-02-03,库尔勒,92.79,1.83,31.15,42.14,131.39,61.03,9.71
2017-02-04,库尔勒,92.13,2.2,39.28,34.59,118.46,64.68,12.23
2017-02-05,库尔勒,77.85,1.67,27.4,52.63,103.51,43.02,10.15
2017-02-06,库尔勒,326.88,1.99,27.96,47.36,1103.14,126.33,12.88
2017-02-07,库尔勒,351.28,1.91,17.62,57.86,528.99,65.29,12.86
2017-02-08,库尔勒,127.22,2.09,41.93,44.81,203.53,47.53,15.56
2017-02-09,库尔勒,180.78,1.78,33.06,48.12,286.4,61.83,11.25
2017-02-10,库尔勒,169.56,1.68,36.71,45.29,258.36,59.06,12.74
2017-02-11,库尔勒,249.0,1.97,39.24,45.25,381.88,77.12,15.31
2017-02-12,库尔勒,372.54,2.36,36.49,43.68,527.11,81.65,12.82
2017-02-13,库尔勒,171.43,2.23,32.47,54.83,289.79,71.17,14.68
2017-02-14,库尔勒,172.67,2.11,32.54,46.28,274.4,57.93,11.97
2017-02-15,库尔勒,130.55,2.42,41.61,42.54,210.64,58.17,15.93
2017-02-16,库尔勒,137.44,1.9,35.09,55.32,224.26,59.97,14.86
2017-02-17,库尔勒,173.07,1.72,35.99,54.1,262.38,59.22,15.3
2017-02-18,库尔勒,127.51,1.84,47.11,47.51,203.62,63.22,21.89
2017-02-19,库尔勒,238.89,1.6,23.19,68.35,447.63,59.47,11.15
2017-02-20,库尔勒,82.81,1.62,19.39,67.32,261.35,21.85,6.6
2017-02-21,库尔勒,45.68,1.95,25.69,55.36,48.95,23.58,6.79
2017-02-22,库尔勒,60.76,2.11,31.15,58.02,65.17,36.67,7.44
2017-02-23,库尔勒,56.56,1.52,20.26,59.85,64.96,26.41,6.14
2017-02-24,库尔勒,75.81,1.71,23.99,50.6,101.87,30.7,6.6
2017-02-25,库尔勒,138.47,1.84,37.11,51.89,210.33,37.56,8.17
2017-02-26,库尔勒,116.89,1.75,38.29,48.14,183.25,39.74,9.43
2017-02-27,库尔勒,93.21,1.87,36.1,59.06,135.31,41.49,9.25
2017-02-28,库尔勒,59.85,1.84,37.43,60.78,68.57,28.57,10.53
2017-03-01,库尔勒,157.12,1.89,47.47,53.18,218.76,38.59,11.77
2017-03-02,库尔勒,150.04,1.51,47.97,58.65,248.52,53.29,11.94
2017-03-03,库尔勒,124.36,1.67,34.35,59.68,199.99,50.82,10.93
2017-03-04,库尔勒,60.9,1.37,26.99,75.38,71.54,27.65,8.97
2017-03-05,库尔勒,53.53,1.87,28.12,71.08,58.44,22.91,7.62
2017-03-06,库尔勒,116.81,1.99,31.97,65.22,174.11,44.12,10.44
2017-03-07,库尔勒,134.19,1.39,27.39,66.65,203.71,48.81,10.62
2017-03-08,库尔勒,115.75,1.61,30.07,63.55,179.72,50.04,11.06
2017-03-09,库尔勒,105.8,2.33,38.74,55.27,161.61,48.41,12.31
2017-03-10,库尔勒,57.45,1.83,25.67,72.1,68.31,24.3,5.12
2017-03-11,库尔勒,73.05,1.24,20.59,75.39,91.24,27.7,5.8
2017-03-12,库尔勒,51.86,1.28,16.1,82.02,58.44,20.16,4.65
2017-03-13,库尔勒,68.33,1.45,20.75,70.66,87.41,31.06,9.51
2017-03-14,库尔勒,90.57,1.52,30.71,63.24,126.38,42.71,8.0
2017-03-15,库尔勒,93.61,1.24,35.8,61.67,133.84,45.9,10.97
2017-03-16,库尔勒,92.78,1.38,25.38,71.9,135.06,42.42,7.74
2017-03-17,库尔勒,123.17,1.81,44.26,51.48,195.57,53.36,9.7
2017-03-18,库尔勒,123.97,1.71,36.19,56.43,195.31,54.49,7.32
2017-03-19,库尔勒,52.6,1.41,25.1,73.88,60.37,23.35,6.11
2017-03-20,库尔勒,83.56,1.39,31.24,64.18,112.03,29.88,8.54
2017-03-21,库尔勒,73.71,1.24,20.94,79.01,103.31,27.42,6.75
2017-03-22,库尔勒,126.48,1.27,16.62,84.09,193.97,35.68,5.59
2017-03-23,库尔勒,492.36,1.28,20.18,72.46,1549.14,335.32,7.53
2017-03-24,库尔勒,497.92,1.33,37.6,59.4,1162.54,272.86,8.46
