time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,昌吉州,132.43,1.34,29.8,45.94,142.87,105.25,23.54
2017-01-02,昌吉州,170.67,1.83,39.22,40.4,193.93,134.4,13.22
2017-01-03,昌吉州,164.65,1.52,40.47,37.31,187.13,129.91,27.97
2017-01-04,昌吉州,196.11,2.02,53.61,38.92,217.97,156.51,27.06
2017-01-05,昌吉州,229.74,2.47,65.71,35.11,267.11,199.24,27.02
2017-01-06,昌吉州,240.14,2.62,65.94,38.35,319.74,199.65,27.61
2017-01-07,昌吉州,209.78,1.85,50.39,42.45,259.6,168.8,23.12
2017-01-08,昌吉州,115.5,1.9,37.0,49.94,127.25,88.03,26.72
2017-01-09,昌吉州,159.68,2.37,54.65,38.21,174.25,124.33,28.13
2017-01-10,昌吉州,166.01,2.6,55.19,40.96,160.3,129.06,36.51
2017-01-11,昌吉州,156.16,2.1,49.68,44.83,172.86,118.47,49.24
2017-01-12,昌吉州,185.84,2.91,68.69,30.9,214.19,142.95,54.62
2017-01-13,昌吉州,232.89,3.33,76.88,28.11,245.86,187.14,57.05
2017-01-14,昌吉州,202.99,2.79,68.74,36.74,229.51,166.17,52.72
2017-01-15,昌吉州,171.03,2.46,60.43,40.81,200.88,138.56,44.62
2017-01-16,昌吉州,216.0,2.12,54.74,39.49,265.15,183.69,40.69
2017-01-17,昌吉州,181.89,2.64,42.36,41.53,235.98,142.87,43.86
2017-01-18,昌吉州,197.54,2.77,44.68,40.11,245.58,170.85,54.12
2017-01-19,昌吉州,144.44,2.63,42.99,38.89,184.67,112.87,42.83
2017-01-20,昌吉州,147.09,2.63,42.36,42.55,163.16,110.91,29.89
2017-01-21,昌吉州,202.39,2.42,43.9,43.22,249.47,163.0,52.38
2017-01-22,昌吉州,221.86,3.15,52.07,39.64,297.8,183.69,41.18
2017-01-23,昌吉州,196.56,2.89,50.99,43.75,232.51,156.76,47.58
2017-01-24,昌吉州,189.31,2.24,63.03,45.93,209.1,149.94,45.54
2017-01-25,昌吉州,161.89,2.29,50.0,52.39,192.25,123.65,39.12
2017-01-26,昌吉州,157.65,1.95,50.71,50.37,201.03,117.73,23.98
2017-01-27,昌吉州,154.44,2.18,50.53,45.5,187.64,116.46,37.64
2017-01-28,昌吉州,230.16,3.05,53.82,44.19,284.34,193.01,44.15
2017-01-29,昌吉州,164.07,2.26,52.0,53.22,210.19,118.1,56.9
2017-01-30,昌吉州,192.13,2.65,55.7,52.94,239.83,147.25,39.58
2017-01-31,昌吉州,201.22,2.11,61.21,47.01,250.48,160.32,34.85
2017-02-01,昌吉州,241.18,2.16,58.1,57.43,295.98,202.06,58.81
2017-02-02,昌吉州,209.38,1.77,49.51,63.75,244.0,168.81,49.89
2017-02-03,昌吉州,185.64,1.83,48.11,78.52,224.03,145.22,38.94
2017-02-04,昌吉州,150.55,1.57,53.28,59.68,164.45,118.33,34.91
2017-02-05,昌吉州,78.11,1.67,27.5,58.97,74.21,56.51,19.25
2017-02-06,昌吉州,74.36,1.44,27.39,58.94,78.36,54.06,19.97
2017-02-07,昌吉州,79.8,1.3,38.28,46.23,80.89,57.82,13.87
2017-02-08,昌吉州,86.49,1.21,35.68,46.32,82.75,63.09,12.65
2017-02-09,昌吉州,113.44,1.72,45.89,46.21,110.49,83.69,14.56
2017-02-10,昌吉州,202.07,2.08,55.54,42.4,216.39,165.07,13.29
2017-02-11,昌吉州,174.72,1.69,45.94,52.32,183.44,135.51,22.74
2017-02-12,昌吉州,149.81,1.98,50.68,50.56,148.89,111.24,29.83
2017-02-13,昌吉州,118.0,1.72,46.26,55.6,119.72,87.1,17.36
2017-02-14,昌吉州,224.0,1.89,53.89,57.57,240.38,183.01,28.94
2017-02-15,昌吉州,212.96,1.53,44.44,61.17,223.86,171.14,25.5
2017-02-16,昌吉州,158.14,1.76,40.67,50.17,165.82,121.42,27.47
2017-02-17,昌吉州,147.53,1.67,37.83,39.35,166.56,114.67,18.6
2017-02-18,昌吉州,121.07,1.66,48.18,43.37,122.17,89.67,18.88
2017-02-19,昌吉州,129.21,1.65,50.86,42.39,129.5,96.65,25.35
2017-02-20,昌吉州,24.39,1.05,23.78,55.8,16.7,11.18,11.57
2017-02-21,昌吉州,62.85,1.67,44.88,46.06,61.44,43.78,26.49
2017-02-22,昌吉州,84.28,1.16,37.72,68.77,84.79,60.94,18.6
2017-02-23,昌吉州,75.74,1.08,36.51,60.71,67.28,53.12,18.59
2017-02-24,昌吉州,110.32,1.69,57.24,51.93,97.48,80.29,29.4
2017-02-25,昌吉州,184.88,1.77,54.46,62.82,180.95,148.87,32.15
2017-02-26,昌吉州,192.81,2.46,61.88,72.57,191.58,156.13,36.33
2017-02-27,昌吉州,235.0,2.27,61.82,83.67,233.71,196.14,47.14
2017-02-28,昌吉州,215.96,2.55,65.04,80.44,232.57,176.94,32.85
2017-03-01,昌吉州,218.01,2.07,49.42,95.53,244.98,179.21,34.47
2017-03-02,昌吉州,154.38,2.17,56.35,78.88,176.97,115.1,22.43
2017-03-03,昌吉州,142.4,1.4,41.19,81.97,142.41,108.56,24.03
2017-03-04,昌吉州,106.94,1.57,28.36,88.35,98.07,79.28,23.04
2017-03-05,昌吉州,51.89,1.44,19.22,86.03,45.28,33.38,15.68
