time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,石河子,201.39,2.22,44.89,36.97,204.55,155.29,24.32
2017-01-02,石河子,195.9,2.04,55.98,25.07,212.6,148.72,28.73
2017-01-03,石河子,171.17,1.91,54.77,40.71,172.79,131.23,26.29
2017-01-04,石河子,235.52,2.92,85.85,27.88,259.33,188.58,19.35
2017-01-05,石河子,280.54,2.86,87.06,16.0,352.44,221.96,16.67
2017-01-06,石河子,274.1,2.65,86.02,24.25,311.54,224.88,17.79
2017-01-07,石河子,289.61,2.93,88.59,24.22,347.74,234.67,36.98
2017-01-08,石河子,145.1,1.96,58.96,54.79,148.27,110.19,17.04
2017-01-09,石河子,201.98,2.83,81.74,28.83,217.61,156.0,23.78
2017-01-10,石河子,227.29,3.27,92.33,10.38,275.19,180.98,30.65
2017-01-11,石河子,260.46,2.95,81.46,23.83,282.85,210.46,29.96
2017-01-12,石河子,202.9,2.65,94.1,30.06,246.08,156.27,15.06
2017-01-13,石河子,280.19,3.48,100.04,19.12,323.46,230.23,29.38
2017-01-14,石河子,311.62,3.68,118.71,14.85,354.42,261.62,40.04
2017-01-15,石河子,261.46,3.29,106.65,19.73,292.35,211.1,48.75
2017-01-16,石河子,267.27,3.48,91.21,34.88,297.35,214.21,34.58
2017-01-17,石河子,201.67,2.72,92.46,40.6,245.46,150.06,24.12
2017-01-18,石河子,266.67,2.88,93.73,33.21,308.21,216.67,21.51
2017-01-19,石河子,180.19,2.01,74.04,55.12,189.52,138.17,18.1
2017-01-20,石河子,282.88,3.69,105.1,12.85,364.19,222.19,28.33
2017-01-21,石河子,250.65,2.54,70.48,53.25,276.35,200.85,19.6
2017-01-22,石河子,296.46,3.24,98.69,26.54,347.83,246.02,12.46
2017-01-23,石河子,391.98,4.65,113.17,17.27,471.6,310.38,30.04
2017-01-24,石河子,385.77,4.26,123.35,11.21,457.83,318.6,26.04
2017-01-25,石河子,212.54,2.24,84.62,35.04,228.65,166.96,13.1
2017-01-26,石河子,173.47,1.76,49.41,103.65,182.26,132.82,24.5
2017-01-27,石河子,135.12,1.37,52.98,75.27,144.81,102.25,15.79
2017-01-28,石河子,247.49,2.16,75.56,37.72,309.37,184.12,45.65
2017-01-29,石河子,239.35,2.38,74.22,49.09,270.26,193.24,24.26
2017-01-30,石河子,294.77,3.48,89.12,35.4,362.9,228.73,22.94
2017-01-31,石河子,216.65,2.76,82.96,45.85,283.69,164.52,25.44
2017-02-01,石河子,276.73,3.2,88.1,39.23,335.58,225.25,38.71
2017-02-02,石河子,255.1,2.69,78.62,55.75,308.21,204.58,32.25
2017-02-03,石河子,317.6,2.75,83.73,54.85,375.83,252.04,24.08
2017-02-04,石河子,150.67,1.46,61.93,75.26,176.32,114.57,18.91
2017-02-05,石河子,45.48,0.76,40.02,77.75,42.16,27.85,8.85
2017-02-06,石河子,68.06,0.95,46.48,75.81,71.87,44.46,11.19
2017-02-07,石河子,103.5,1.39,66.61,40.74,119.33,74.52,19.22
2017-02-08,石河子,123.79,1.47,74.9,35.98,138.5,91.19,27.19
2017-02-09,石河子,142.73,1.77,77.3,41.13,148.55,108.65,20.94
2017-02-10,石河子,243.12,2.95,86.96,34.1,308.0,182.27,16.23
2017-02-11,石河子,262.4,2.9,82.21,40.35,324.15,207.33,28.54
2017-02-12,石河子,254.96,2.73,92.6,39.98,326.69,198.52,26.42
2017-02-13,石河子,215.9,2.21,73.73,67.33,273.19,169.33,19.77
2017-02-14,石河子,293.53,2.68,80.25,58.78,379.19,228.81,28.61
2017-02-15,石河子,304.29,2.64,79.35,63.38,378.48,240.92,41.29
2017-02-16,石河子,172.05,1.95,64.0,68.72,215.27,130.14,16.63
2017-02-17,石河子,87.88,1.0,43.11,87.43,100.54,59.96,13.81
2017-02-18,石河子,133.08,1.97,83.81,56.68,176.74,92.03,38.3
2017-02-19,石河子,175.85,1.8,73.21,57.98,219.04,132.08,40.38
2017-02-20,石河子,35.81,0.56,40.0,93.62,27.62,16.46,23.98
2017-02-21,石河子,125.15,1.57,65.08,61.48,143.52,90.33,25.71
2017-02-22,石河子,138.02,1.21,68.27,76.1,153.59,115.08,23.23
2017-02-23,石河子,114.25,1.38,84.9,55.75,130.6,106.58,28.4
2017-02-24,石河子,193.69,2.36,102.69,56.38,204.07,161.75,16.62
2017-02-25,石河子,303.19,2.32,96.38,80.85,304.81,253.6,22.71
2017-02-26,石河子,376.15,2.51,99.29,100.79,399.58,328.52,30.75
2017-02-27,石河子,392.94,2.94,93.54,111.73,416.52,349.67,44.9
2017-02-28,石河子,348.52,3.1,98.77,76.88,357.5,299.31,25.73
2017-03-01,石河子,340.23,2.3,79.88,113.35,361.79,292.06,11.44
2017-03-02,石河子,327.22,2.68,78.28,88.83,334.96,277.24,13.91
2017-03-03,石河子,143.06,1.29,50.88,88.73,139.87,109.69,9.92
2017-03-04,石河子,126.15,1.37,46.58,78.54,151.83,94.54,11.79
2017-03-05,石河子,70.17,0.92,32.5,114.42,64.96,50.58,16.5
2017-03-06,石河子,92.85,1.02,44.85,98.27,88.04,68.9,17.17
2017-03-07,石河子,140.42,1.33,54.08,83.31,148.51,105.19,15.1
2017-03-08,石河子,173.02,1.38,50.3,81.04,194.96,131.63,12.76
2017-03-09,石河子,190.04,1.55,54.29,60.44,223.31,144.21,14.15
2017-03-10,石河子,103.38,1.26,46.81,82.69,129.52,74.58,16.85
2017-03-11,石河子,112.0,1.53,54.38,54.17,129.17,84.25,18.19
2017-03-12,石河子,95.17,1.26,46.79,70.17,108.77,70.62,18.65
2017-03-13,石河子,85.19,1.09,41.42,87.62,101.62,58.65,9.02
2017-03-14,石河子,104.38,0.96,42.46,71.81,124.42,75.52,9.56
2017-03-15,石河子,91.43,1.27,61.0,63.37,110.65,65.17,12.87
2017-03-16,石河子,88.69,0.85,39.31,86.46,103.77,63.9,12.17
2017-03-17,石河子,54.46,0.63,34.8,101.85,54.55,35.15,11.15
2017-03-18,石河子,52.21,0.73,34.12,100.23,53.29,32.1,9.62
2017-03-19,石河子,71.25,0.97,40.17,83.38,74.15,49.25,11.88
2017-03-20,石河子,63.31,0.9,35.31,95.6,67.17,41.27,14.98
2017-03-21,石河子,66.1,0.96,41.38,76.62,68.31,45.27,11.68
2017-03-22,石河子,72.36,0.95,58.61,108.22,73.43,41.04,18.86
2017-03-23,石河子,96.19,1.53,61.96,73.79,119.33,64.77,18.83
2017-03-24,石河子,94.29,1.49,55.75,84.44,115.73,66.02,19.27
2017-03-25,石河子,70.19,0.94,36.17,105.67,77.22,48.15,12.96
2017-03-26,石河子,97.33,1.2,52.07,95.54,113.36,71.26,19.83
2017-03-27,石河子,94.54,0.96,41.08,101.54,110.38,66.35,19.78
2017-03-28,石河子,117.69,1.36,55.27,60.6,145.02,84.69,27.08
2017-03-29,石河子,101.83,1.4,56.75,61.77,125.98,72.98,22.15
