time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,阿克苏地区,114.32,1.61,44.87,23.97,154.53,82.13,22.71
2017-01-02,阿克苏地区,135.7,1.77,42.85,28.5,181.72,99.92,18.48
2017-01-03,阿克苏地区,172.4,2.42,52.77,16.9,215.1,132.73,20.79
2017-01-04,阿克苏地区,155.98,1.65,37.31,21.04,196.52,118.85,17.35
2017-01-05,阿克苏地区,106.69,1.06,32.56,33.73,132.29,79.58,15.54
2017-01-06,阿克苏地区,209.29,2.71,59.88,19.52,266.67,154.12,29.0
2017-01-07,阿克苏地区,143.39,1.55,46.46,24.24,168.53,108.93,24.93
2017-01-08,阿克苏地区,117.52,1.53,41.52,36.33,127.49,88.52,19.56
2017-01-09,阿克苏地区,108.91,2.07,52.5,33.24,128.8,80.11,21.41
2017-01-10,阿克苏地区,112.71,1.98,45.19,36.79,123.76,83.58,19.17
2017-01-11,阿克苏地区,111.85,1.77,47.02,45.69,122.17,83.62,22.56
2017-01-12,阿克苏地区,144.71,2.64,50.18,31.31,160.82,110.02,18.51
2017-01-13,阿克苏地区,145.62,2.05,41.27,32.23,155.41,112.08,18.25
2017-01-14,阿克苏地区,137.79,2.34,48.92,26.1,141.64,104.42,18.21
2017-01-15,阿克苏地区,148.04,2.43,54.08,23.85,155.22,112.46,21.6
2017-01-16,阿克苏地区,155.88,2.84,50.23,28.25,167.93,119.0,21.83
2017-01-17,阿克苏地区,162.89,3.2,45.83,34.33,175.78,128.24,20.13
2017-01-18,阿克苏地区,144.62,2.87,50.6,32.5,157.43,112.6,22.27
2017-01-19,阿克苏地区,161.83,3.08,54.08,30.25,176.04,125.17,27.98
2017-01-20,阿克苏地区,137.35,2.81,46.06,31.54,151.45,104.81,19.12
2017-01-21,阿克苏地区,140.33,2.86,51.13,32.72,152.63,108.91,22.74
2017-01-22,阿克苏地区,160.23,3.43,51.12,31.96,175.31,125.02,25.81
2017-01-23,阿克苏地区,149.23,2.35,49.79,35.19,164.02,116.98,25.52
2017-01-24,阿克苏地区,162.23,2.87,55.0,34.29,169.74,125.1,33.1
2017-01-25,阿克苏地区,168.33,2.14,54.23,29.35,184.65,129.65,35.42
2017-01-26,阿克苏地区,127.62,1.53,43.71,33.53,145.94,93.24,26.44
2017-01-27,阿克苏地区,165.27,3.46,56.65,28.71,205.12,126.81,37.81
2017-01-28,阿克苏地区,170.28,3.11,50.38,33.52,204.88,130.78,38.67
2017-01-29,阿克苏地区,163.85,4.08,53.15,32.39,192.39,127.22,34.26
2017-01-30,阿克苏地区,169.29,3.36,50.17,33.67,197.98,127.62,25.92
2017-01-31,阿克苏地区,129.94,2.66,43.62,33.62,193.17,89.21,24.79
2017-02-01,阿克苏地区,118.23,2.4,35.81,39.0,167.4,86.15,17.75
2017-02-02,阿克苏地区,134.06,2.45,45.6,37.06,196.46,96.94,22.81
2017-02-03,阿克苏地区,125.38,2.37,42.94,35.27,176.5,84.27,24.25
2017-02-04,阿克苏地区,139.48,2.7,49.5,30.13,194.78,101.85,24.8
2017-02-05,阿克苏地区,102.96,1.85,31.9,38.77,150.38,69.1,20.9
2017-02-06,阿克苏地区,82.82,1.51,23.87,48.39,109.74,55.95,17.66
2017-02-07,阿克苏地区,500.0,0.73,24.15,55.08,1847.73,274.85,11.0
2017-02-08,阿克苏地区,496.6,0.89,20.96,52.25,1056.08,189.35,11.75
2017-02-09,阿克苏地区,500.0,2.21,40.54,32.08,853.6,190.29,17.19
2017-02-10,阿克苏地区,409.08,1.3,27.15,48.71,548.42,122.77,16.75
2017-02-11,阿克苏地区,237.88,2.6,42.23,34.19,366.9,126.46,19.65
2017-02-12,阿克苏地区,202.4,2.86,49.71,33.38,309.1,131.1,24.19
2017-02-13,阿克苏地区,181.17,3.03,50.48,32.1,266.0,121.1,32.38
2017-02-14,阿克苏地区,149.19,2.24,44.88,34.19,210.1,105.83,21.85
2017-02-15,阿克苏地区,167.69,2.45,54.0,26.6,233.31,125.98,25.33
2017-02-16,阿克苏地区,164.04,1.6,39.83,41.83,241.94,82.38,18.13
2017-02-17,阿克苏地区,226.08,1.88,43.1,42.9,337.77,106.44,20.73
2017-02-18,阿克苏地区,277.73,1.74,44.94,39.85,405.67,105.56,23.23
2017-02-19,阿克苏地区,361.81,2.12,45.23,39.08,493.73,127.77,24.71
