time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南京,177.36,2.01,112.95,37.61,214.73,135.14,36.33
2017-01-01,南通,80.42,0.78,54.93,20.14,66.68,57.54,36.91
2017-01-01,句容,207.97,1.8,58.16,12.55,163.47,160.34,18.66
2017-01-01,吴江,82.61,0.9,72.42,17.18,103.19,55.84,18.26
2017-01-01,太仓,64.4,0.67,53.2,28.33,74.25,39.7,16.7
2017-01-01,宜兴,157.61,2.25,84.34,29.24,143.33,119.95,34.42
2017-01-01,宿迁,191.4,1.8,77.43,26.09,165.33,147.4,44.89
2017-01-01,常州,123.72,1.64,73.99,14.98,140.09,92.54,26.04
2017-01-01,常熟,68.4,0.85,57.44,17.05,77.42,46.08,19.69
2017-01-01,张家港,93.91,0.99,53.76,14.61,124.39,64.06,16.76
2017-01-01,徐州,228.2,1.99,89.29,11.91,253.38,178.31,38.56
2017-01-01,扬州,202.59,1.96,86.08,13.59,209.76,156.5,30.86
2017-01-01,无锡,123.25,1.33,92.02,15.34,136.78,92.61,21.37
2017-01-01,昆山,67.84,0.9,64.74,8.32,72.58,46.39,12.39
2017-01-01,江阴,146.4,1.58,79.63,13.14,156.65,111.84,20.11
2017-01-01,泰州,152.79,1.55,69.72,28.38,165.87,117.37,16.04
2017-01-01,海门,56.77,0.7,25.94,36.46,54.86,37.43,13.29
2017-01-01,淮安,173.25,1.72,64.22,21.13,196.9,131.97,32.27
2017-01-01,溧阳,185.41,1.51,86.76,26.5,187.32,141.38,18.35
2017-01-01,盐城,75.47,1.11,45.46,29.24,84.49,53.39,17.66
2017-01-01,苏州,91.06,1.23,82.64,18.74,88.4,65.99,18.55
2017-01-01,连云港,110.24,1.32,61.39,52.66,137.04,81.98,49.99
2017-01-01,金坛,198.42,2.24,82.08,13.87,203.39,155.0,20.53
2017-01-01,镇江,174.74,1.6,95.67,14.72,198.2,132.36,27.12
2017-01-02,南京,144.97,1.68,81.93,42.45,170.21,109.6,24.05
2017-01-02,南通,115.32,0.94,38.06,56.06,101.7,86.54,21.67
2017-01-02,句容,148.1,1.47,35.65,22.2,139.5,111.33,12.88
2017-01-02,吴江,148.53,1.51,86.87,12.15,174.38,112.22,28.18
2017-01-02,太仓,111.62,0.96,47.41,35.82,123.86,83.16,24.92
2017-01-02,宜兴,208.1,2.98,85.45,5.57,174.88,160.82,31.73
2017-01-02,宿迁,251.64,2.63,88.73,34.9,240.61,202.55,28.12
2017-01-02,常州,124.15,1.36,68.81,14.13,138.79,91.86,24.46
2017-01-02,常熟,119.02,1.19,54.77,30.12,137.49,95.8,29.97
2017-01-02,张家港,127.7,1.16,51.1,27.08,145.6,95.67,20.9
2017-01-02,徐州,289.86,2.84,89.51,28.96,321.8,235.34,88.35
2017-01-02,扬州,176.66,1.36,52.45,45.89,177.52,135.38,25.01
2017-01-02,无锡,153.89,1.62,88.87,14.69,169.45,115.94,29.51
2017-01-02,昆山,110.05,1.0,54.4,18.9,122.6,82.6,25.35
2017-01-02,江阴,156.28,1.21,62.08,26.02,159.37,118.12,21.0
2017-01-02,泰州,176.04,1.45,52.3,60.96,173.4,134.26,19.37
2017-01-02,海门,77.83,0.86,24.07,49.88,80.5,56.35,17.15
2017-01-02,淮安,196.89,1.7,45.64,62.35,212.66,152.27,25.87
2017-01-02,溧阳,126.65,1.78,65.92,26.6,122.05,95.92,23.48
2017-01-02,盐城,148.95,1.4,39.62,66.14,159.85,115.53,29.72
2017-01-02,苏州,137.94,1.65,83.47,20.29,134.02,104.45,28.54
2017-01-02,连云港,142.78,1.85,64.37,58.13,183.71,108.11,55.92
2017-01-02,金坛,134.1,1.92,65.03,11.28,143.93,101.35,20.77
2017-01-02,镇江,156.1,1.26,75.97,22.62,176.51,118.01,16.96
2017-01-03,南京,167.11,2.15,89.25,60.7,193.79,128.19,30.5
2017-01-03,南通,179.66,1.52,53.29,56.39,169.77,137.79,25.17
2017-01-03,句容,208.96,2.17,47.17,27.35,173.68,162.94,15.08
2017-01-03,吴江,169.36,1.48,77.39,31.48,189.75,128.04,20.06
2017-01-03,太仓,150.77,1.55,59.12,34.75,166.1,113.94,17.42
2017-01-03,宜兴,150.44,2.35,64.58,54.19,132.18,114.19,22.38
2017-01-03,宿迁,244.51,2.27,70.77,68.23,222.76,196.01,48.16
2017-01-03,常州,163.2,1.77,73.75,23.25,179.1,124.53,25.88
2017-01-03,常熟,152.26,1.5,60.5,36.98,194.36,123.4,20.93
2017-01-03,张家港,203.85,2.22,63.75,24.9,230.38,155.77,41.25
2017-01-03,徐州,251.09,4.04,90.61,19.4,288.82,199.14,37.46
2017-01-03,扬州,231.38,1.97,73.38,37.95,243.74,184.61,28.3
2017-01-03,无锡,197.04,1.69,92.09,29.68,209.12,150.82,23.48
2017-01-03,昆山,162.14,1.71,80.83,21.47,185.86,121.92,19.97
2017-01-03,江阴,251.36,2.27,86.38,24.47,266.44,201.39,20.01
2017-01-03,泰州,229.01,2.09,55.6,55.42,239.42,185.45,13.59
2017-01-03,海门,146.9,1.38,24.56,67.46,151.0,111.12,11.0
2017-01-03,淮安,257.36,2.15,60.8,51.82,287.14,209.38,36.55
2017-01-03,溧阳,149.73,1.69,60.06,36.54,153.92,112.75,12.54
2017-01-03,盐城,203.72,1.94,61.92,49.77,238.77,160.97,27.92
2017-01-03,苏州,182.97,1.73,87.47,26.26,154.52,139.67,21.61
2017-01-03,连云港,167.93,2.09,64.99,40.98,215.45,125.71,46.04
2017-01-03,金坛,159.3,2.18,75.48,20.7,182.86,120.95,17.52
2017-01-03,镇江,211.03,2.09,81.07,41.51,231.36,163.9,25.61
2017-01-04,南京,206.12,2.27,92.9,21.92,237.97,159.88,33.56
2017-01-04,南通,129.32,1.19,46.62,49.53,127.45,98.47,29.29
2017-01-04,句容,196.5,2.37,41.97,13.71,126.0,152.0,16.09
2017-01-04,吴江,105.85,1.15,88.62,10.86,138.42,76.26,18.07
2017-01-04,太仓,94.62,0.88,64.08,27.0,108.26,69.48,21.4
2017-01-04,宜兴,132.81,1.72,87.23,6.28,129.77,100.29,23.6
2017-01-04,宿迁,212.31,2.37,61.85,45.36,200.06,167.68,24.68
2017-01-04,常州,124.08,1.68,72.96,9.03,146.41,92.27,28.21
2017-01-04,常熟,96.35,1.15,63.89,29.98,123.44,73.06,23.74
2017-01-04,张家港,127.56,1.33,52.98,27.47,154.98,96.06,21.79
2017-01-04,徐州,314.48,2.85,75.51,23.9,344.88,262.11,37.03
2017-01-04,扬州,190.97,1.68,54.62,23.38,190.19,148.98,19.3
2017-01-04,无锡,146.79,1.38,95.65,11.31,161.4,111.28,23.22
2017-01-04,昆山,97.65,1.11,86.31,9.27,115.44,72.23,17.1
2017-01-04,江阴,185.29,1.76,69.6,20.47,193.68,143.38,21.39
2017-01-04,泰州,145.74,1.48,42.59,55.72,153.14,113.31,10.77
2017-01-04,海门,105.42,1.08,21.42,61.08,99.72,78.65,10.62
2017-01-04,淮安,189.61,1.78,42.97,44.12,209.6,146.45,26.23
2017-01-04,溧阳,179.4,1.59,76.85,19.56,178.19,136.15,13.46
2017-01-04,盐城,101.02,1.39,35.83,54.44,104.82,75.68,17.69
2017-01-04,苏州,103.82,1.42,94.5,12.88,109.09,76.78,20.59
2017-01-04,连云港,172.16,2.33,65.89,37.74,215.4,133.18,32.22
