time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南京,177.36,2.01,112.95,37.61,214.73,135.14,36.33
2017-01-02,南京,144.97,1.68,81.93,42.45,170.21,109.6,24.05
2017-01-03,南京,167.11,2.15,89.25,60.7,193.79,128.19,30.5
2017-01-04,南京,206.12,2.27,92.9,21.92,237.97,159.88,33.56
2017-01-05,南京,44.7,1.06,47.21,56.07,40.98,28.75,12.7
2017-01-06,南京,31.31,0.92,44.75,39.31,27.09,15.83,10.88
2017-01-07,南京,38.72,1.3,46.65,17.74,33.34,24.98,10.92
2017-01-08,南京,96.9,1.44,37.69,32.56,97.07,72.21,13.49
2017-01-09,南京,111.32,1.47,42.35,56.27,109.11,83.66,20.74
2017-01-10,南京,116.57,1.45,57.48,46.44,122.96,87.93,26.65
2017-01-11,南京,97.41,1.2,57.08,53.08,112.38,71.23,27.75
2017-01-12,南京,94.32,1.18,57.06,47.64,115.14,68.86,23.02
2017-01-13,南京,89.51,1.16,53.54,45.96,108.95,64.49,18.65
2017-01-14,南京,63.75,0.99,41.88,58.36,71.51,39.01,21.44
2017-01-15,南京,41.77,0.64,39.64,49.61,41.95,16.28,14.04
2017-01-16,南京,56.59,0.81,55.68,32.24,64.38,28.83,20.6
2017-01-17,南京,65.41,1.04,55.63,39.13,76.15,41.34,25.24
2017-01-18,南京,78.41,0.98,58.35,29.65,81.4,57.13,16.5
2017-01-19,南京,98.78,1.07,45.69,39.48,100.3,73.63,14.65
2017-01-20,南京,71.51,0.81,34.83,61.59,93.86,30.74,19.34
2017-01-21,南京,60.84,0.88,58.3,42.84,71.9,31.33,20.07
2017-01-22,南京,77.46,1.0,65.26,37.14,98.6,48.87,26.23
2017-01-23,南京,64.64,1.08,46.75,57.35,76.17,39.4,27.72
2017-01-24,南京,53.11,0.87,39.78,63.04,56.3,30.17,18.06
2017-01-25,南京,85.1,1.2,44.44,78.7,91.81,62.24,22.8
2017-01-26,南京,96.54,1.25,54.89,55.26,100.56,71.87,16.5
2017-01-27,南京,103.55,1.19,32.98,69.58,117.02,68.79,17.01
2017-01-28,南京,74.76,0.87,21.79,78.71,93.12,46.92,13.92
2017-01-29,南京,78.81,1.17,33.92,36.26,84.17,57.75,11.98
2017-01-30,南京,52.45,0.8,16.54,71.09,51.59,30.23,10.43
2017-01-31,南京,35.4,0.67,20.08,75.85,32.18,15.3,14.09
2017-02-01,南京,59.09,0.8,23.45,78.77,55.23,41.35,11.92
2017-02-02,南京,78.72,0.97,27.05,92.88,76.87,53.69,19.18
2017-02-03,南京,49.22,1.02,42.61,38.17,48.71,32.06,11.11
2017-02-04,南京,86.04,1.37,49.43,24.06,93.36,62.48,13.0
2017-02-05,南京,125.37,1.51,48.5,59.66,122.13,94.43,15.91
2017-02-06,南京,115.51,1.23,48.68,62.11,115.88,82.31,22.44
2017-02-07,南京,44.37,0.79,29.57,66.2,45.37,22.1,13.61
2017-02-08,南京,53.0,0.82,28.22,57.31,45.83,36.51,9.02
2017-02-09,南京,118.37,1.22,29.84,75.54,122.33,88.83,18.66
2017-02-10,南京,71.17,0.94,33.61,69.38,77.07,42.28,21.22
2017-02-11,南京,58.75,1.1,52.74,57.19,65.72,34.57,25.37
2017-02-12,南京,75.16,1.33,72.06,48.75,87.18,53.4,25.72
2017-02-13,南京,87.36,1.48,82.08,51.47,101.24,63.71,26.79
2017-02-14,南京,109.03,1.44,83.19,70.31,126.1,79.8,29.77
2017-02-15,南京,95.88,1.27,63.34,85.89,114.43,70.47,25.22
2017-02-16,南京,113.33,1.57,80.94,53.52,131.15,83.43,24.36
2017-02-17,南京,97.3,1.22,53.31,41.63,111.29,61.93,15.0
2017-02-18,南京,62.54,1.03,49.33,50.67,74.06,30.83,18.41
2017-02-19,南京,99.51,1.46,55.4,54.97,128.19,70.0,24.32
2017-02-20,南京,87.44,1.16,36.45,59.8,96.95,49.11,14.69
2017-02-21,南京,48.54,0.81,32.36,66.17,52.53,21.53,12.06
2017-02-22,南京,68.8,1.06,35.25,38.62,66.99,50.13,10.85
2017-02-23,南京,109.88,1.39,52.78,56.11,106.39,82.24,21.75
2017-02-24,南京,103.6,1.51,78.23,49.08,114.65,77.89,21.38
2017-02-25,南京,113.84,1.74,87.81,51.94,132.92,85.88,26.95
2017-02-26,南京,99.73,1.63,88.18,62.59,125.68,73.88,28.48
2017-02-27,南京,91.41,1.4,58.15,85.31,106.6,67.18,25.09
2017-02-28,南京,96.45,1.23,57.67,93.2,113.17,70.62,23.33
2017-03-01,南京,103.07,1.14,51.18,63.62,136.39,61.45,20.76
2017-03-02,南京,61.76,0.96,40.32,61.1,70.49,32.59,13.99
2017-03-03,南京,75.03,1.17,73.25,46.47,99.15,38.36,22.76
2017-03-04,南京,102.81,1.4,80.3,58.12,140.75,73.59,29.36
2017-03-05,南京,89.24,1.31,51.69,73.26,108.25,64.61,19.81
2017-03-06,南京,76.42,1.04,41.8,66.65,88.05,43.96,16.68
2017-03-07,南京,78.66,1.1,63.99,59.16,105.1,45.52,23.99
2017-03-08,南京,72.76,1.07,48.59,64.48,91.09,41.29,20.17
2017-03-09,南京,88.52,1.36,88.73,55.88,125.78,53.89,28.75
2017-03-10,南京,117.31,1.45,100.43,69.46,164.55,84.74,27.82
2017-03-11,南京,72.52,1.02,45.0,85.44,83.44,45.39,14.77
2017-03-12,南京,88.11,1.18,51.02,75.78,107.26,64.13,17.33
2017-03-13,南京,55.81,0.91,29.39,86.56,58.96,32.72,9.78
2017-03-14,南京,50.72,0.94,41.81,71.76,53.79,20.91,16.81
2017-03-15,南京,55.89,1.06,53.96,75.53,62.86,25.11,20.49
2017-03-16,南京,59.83,0.96,45.56,86.6,67.57,35.18,16.69
2017-03-17,南京,75.86,1.13,57.09,73.37,90.52,50.93,17.08
2017-03-18,南京,79.56,1.15,57.44,50.86,86.07,56.55,15.67
2017-03-19,南京,55.74,1.17,47.73,73.17,60.27,34.93,18.61
2017-03-20,南京,59.42,1.04,40.61,64.08,54.56,40.87,9.98
2017-03-21,南京,79.9,1.03,36.17,110.12,88.42,56.81,11.67
2017-03-22,南京,48.36,1.04,46.27,59.74,51.44,27.4,13.9
2017-03-23,南京,45.05,0.91,44.78,52.31,44.68,29.25,10.08
2017-03-24,南京,66.25,1.1,60.81,52.33,67.42,46.94,12.12
2017-03-25,南京,74.24,0.99,44.79,62.55,86.07,51.27,11.01
2017-03-26,南京,78.88,1.13,56.67,70.03,105.38,43.4,17.36
2017-03-27,南京,74.14,1.27,74.1,56.85,96.87,38.36,21.85
2017-03-28,南京,89.14,1.32,64.41,66.45,120.41,52.67,26.94
2017-03-29,南京,85.31,1.02,40.57,108.88,99.57,62.68,14.35
2017-03-30,南京,94.84,1.34,59.47,54.33,112.7,71.36,19.46
2017-03-31,南京,57.9,0.93,33.0,102.88,58.73,37.97,12.5
2017-04-01,南京,101.4,1.1,53.38,84.11,111.47,70.93,12.98
2017-04-02,南京,83.08,1.22,78.54,66.17,108.52,54.78,20.46
2017-04-03,南京,73.64,1.01,50.65,107.76,90.59,41.31,21.98
2017-04-04,南京,72.09,1.03,46.11,105.26,90.92,45.14,18.13
2017-04-05,南京,94.22,1.34,58.18,54.67,94.87,69.94,12.69
2017-04-06,南京,100.96,1.44,56.31,38.55,97.68,75.47,12.25
2017-04-07,南京,75.86,1.33,51.72,50.07,77.82,54.17,13.2
2017-04-08,南京,106.56,1.68,56.38,57.52,116.18,79.68,14.39
2017-04-09,南京,44.47,0.98,29.12,91.48,42.46,18.92,9.4
2017-04-10,南京,37.54,0.91,36.34,59.79,35.93,16.68,9.49
2017-04-11,南京,60.26,1.06,40.36,67.33,64.41,41.82,11.22
2017-04-12,南京,73.38,1.17,53.41,67.91,87.88,39.37,13.44
2017-04-13,南京,72.47,1.12,57.21,91.61,91.73,37.51,18.19
2017-04-14,南京,79.0,1.53,59.09,80.41,104.3,44.8,25.15
2017-04-15,南京,88.4,1.8,79.59,72.61,118.87,46.72,28.48
2017-04-16,南京,95.31,1.83,57.43,96.93,130.73,61.25,27.77
2017-04-17,南京,70.64,1.12,26.73,83.22,94.19,31.68,13.64
2017-04-18,南京,85.5,1.14,39.8,75.8,120.48,24.92,19.06
2017-04-19,南京,81.93,0.97,56.94,94.54,109.52,26.74,19.43
2017-04-20,南京,76.33,0.97,37.07,94.46,98.97,33.47,15.93
2017-04-21,南京,88.71,0.92,36.88,83.61,125.25,39.13,17.1
2017-04-22,南京,60.97,1.01,39.78,101.83,67.46,28.83,19.52
2017-04-23,南京,80.7,0.98,52.51,107.77,96.02,38.09,18.34
2017-04-24,南京,78.2,0.96,42.93,127.29,96.37,39.53,19.69
2017-04-25,南京,89.36,1.23,72.87,77.49,126.89,56.86,25.41
2017-04-26,南京,58.92,0.83,31.12,89.55,65.58,30.33,14.95
2017-04-27,南京,60.58,0.9,53.57,96.52,61.59,20.25,18.4
2017-04-28,南京,77.77,0.96,66.11,98.57,95.93,29.5,17.84
2017-04-29,南京,78.28,1.26,58.63,112.04,95.61,32.07,25.56
2017-04-30,南京,78.16,1.46,61.65,107.04,94.86,36.52,34.63
2017-05-01,南京,80.58,1.22,58.66,107.9,97.02,40.04,21.22
2017-05-02,南京,33.43,0.81,29.32,79.27,29.65,12.53,10.44
2017-05-03,南京,36.75,0.72,20.54,84.28,35.89,12.82,9.35
2017-05-04,南京,30.76,0.87,26.56,51.94,31.22,13.6,9.83
2017-05-05,南京,44.7,0.93,37.42,77.6,52.56,22.12,10.23
2017-05-06,南京,187.5,1.18,64.97,71.81,289.55,77.25,16.86
2017-05-07,南京,174.18,1.32,74.24,104.54,289.37,90.38,25.23
2017-05-08,南京,84.01,1.1,60.7,51.41,115.79,47.96,12.96
2017-05-09,南京,47.38,0.87,39.79,69.84,54.09,21.25,9.83
2017-05-10,南京,71.04,1.2,63.82,84.41,85.38,32.16,19.63
2017-05-11,南京,80.8,1.65,74.39,72.93,108.56,48.19,34.78
2017-05-12,南京,55.4,0.9,29.99,116.09,47.1,29.08,12.18
2017-05-13,南京,53.55,1.04,39.45,100.6,58.34,18.06,19.86
2017-05-14,南京,94.01,0.77,45.08,112.44,136.24,33.21,22.98
2017-05-15,南京,79.35,0.98,67.14,51.61,108.14,34.02,27.38
2017-05-16,南京,61.26,0.8,49.21,97.01,61.6,21.12,21.97
2017-05-17,南京,73.63,0.83,52.33,114.32,75.35,30.71,14.85
2017-05-18,南京,74.04,0.82,33.02,147.19,69.06,32.04,16.64
2017-05-19,南京,63.86,0.8,35.06,120.85,75.81,36.42,17.18
2017-05-20,南京,85.96,0.92,41.11,146.31,82.61,43.87,18.53
2017-05-21,南京,76.14,0.82,28.92,122.02,77.45,44.7,15.17
2017-05-22,南京,50.95,0.77,22.11,95.88,52.36,26.15,14.64
2017-05-23,南京,51.94,0.93,34.98,47.93,53.1,34.42,16.8
2017-05-24,南京,42.08,0.96,25.81,99.18,36.39,13.85,14.89
2017-05-25,南京,68.47,0.92,49.15,126.85,54.43,19.57,14.34
2017-05-26,南京,94.39,1.24,70.42,140.77,105.75,43.71,23.08
2017-05-27,南京,109.0,1.51,57.52,155.78,119.12,59.94,23.5
2017-05-28,南京,93.87,1.06,47.99,155.49,97.5,41.14,19.37
2017-05-29,南京,78.49,0.98,33.06,146.89,77.8,31.19,19.13
