time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南通,80.42,0.78,54.93,20.14,66.68,57.54,36.91
2017-01-02,南通,115.32,0.94,38.06,56.06,101.7,86.54,21.67
2017-01-03,南通,179.66,1.52,53.29,56.39,169.77,137.79,25.17
2017-01-04,南通,129.32,1.19,46.62,49.53,127.45,98.47,29.29
2017-01-05,南通,48.59,0.68,17.57,91.23,35.07,31.82,12.68
2017-01-06,南通,46.12,0.66,26.26,51.35,40.48,29.79,13.29
2017-01-07,南通,41.49,0.71,28.35,47.81,23.42,27.93,14.67
2017-01-08,南通,67.5,1.38,41.59,17.39,57.4,48.97,13.64
2017-01-09,南通,103.36,1.08,21.37,66.8,88.85,77.41,16.79
2017-01-10,南通,123.42,1.2,29.76,65.27,101.81,93.37,19.72
2017-01-11,南通,64.26,0.75,23.26,75.21,58.16,45.65,17.56
2017-01-12,南通,114.28,1.21,60.67,42.07,104.08,85.88,37.58
2017-01-13,南通,135.53,1.34,50.73,48.71,126.25,102.28,35.21
2017-01-14,南通,50.47,0.79,20.0,68.08,44.42,32.83,13.59
2017-01-15,南通,30.39,0.5,13.99,68.26,26.07,16.47,9.84
2017-01-16,南通,35.92,0.54,23.62,59.18,29.92,23.32,13.82
2017-01-17,南通,84.98,0.81,44.54,47.36,66.19,62.83,22.94
2017-01-18,南通,64.78,0.72,29.46,62.27,51.39,46.16,13.14
2017-01-19,南通,116.09,1.01,38.72,59.22,102.16,87.42,16.21
2017-01-20,南通,88.7,0.86,18.77,67.96,91.1,56.32,14.62
2017-01-21,南通,62.85,0.88,42.03,48.4,57.49,44.08,18.63
2017-01-22,南通,64.17,0.79,27.38,59.28,58.03,44.94,14.83
2017-01-23,南通,44.85,0.7,19.96,71.93,39.43,30.68,12.27
2017-01-24,南通,62.17,0.7,22.43,78.02,45.11,44.48,12.97
2017-01-25,南通,100.22,0.9,20.58,91.31,80.3,74.72,14.72
2017-01-26,南通,97.8,0.92,37.21,72.26,79.11,72.95,15.56
2017-01-27,南通,98.92,0.81,18.15,73.06,100.45,64.57,15.14
2017-01-28,南通,101.9,0.69,12.3,73.7,113.93,74.05,15.75
2017-01-29,南通,92.64,1.16,23.59,42.77,77.41,68.48,12.78
2017-01-30,南通,40.98,0.66,3.58,77.35,39.44,23.12,7.38
2017-01-31,南通,29.11,0.56,5.38,79.17,24.99,17.04,7.3
2017-02-01,南通,87.91,0.88,7.65,92.08,53.08,63.9,11.23
2017-02-02,南通,49.61,0.72,8.76,84.63,41.34,31.66,8.75
