time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,句容,207.97,1.8,58.16,12.55,163.47,160.34,18.66
2017-01-02,句容,148.1,1.47,35.65,22.2,139.5,111.33,12.88
2017-01-03,句容,208.96,2.17,47.17,27.35,173.68,162.94,15.08
2017-01-04,句容,196.5,2.37,41.97,13.71,126.0,152.0,16.09
2017-01-05,句容,66.25,0.95,19.17,59.46,,47.9,6.71
2017-01-06,句容,51.21,0.52,23.83,39.29,34.29,36.0,6.26
2017-01-07,句容,59.11,0.72,31.11,20.82,73.5,42.24,9.0
2017-01-08,句容,119.44,0.93,31.0,21.94,82.4,90.21,10.19
2017-01-09,句容,115.74,0.86,35.59,37.41,105.5,87.26,10.67
2017-01-10,句容,127.83,1.1,52.29,39.25,101.58,96.94,12.02
2017-01-11,句容,101.48,0.89,45.42,56.42,72.72,75.65,12.85
2017-01-12,句容,108.19,1.0,58.83,34.71,89.11,81.23,11.65
2017-01-13,句容,105.21,1.02,63.02,34.25,111.74,78.4,10.77
2017-01-14,句容,80.1,0.67,49.88,44.54,59.04,57.31,10.19
2017-01-15,句容,50.04,0.46,41.6,44.79,47.36,33.33,8.21
2017-01-16,句容,61.23,0.64,47.17,37.42,59.54,43.42,9.21
2017-01-17,句容,98.98,0.9,62.77,26.79,87.4,73.83,13.42
2017-01-18,句容,84.07,0.74,41.65,44.21,73.0,62.43,9.65
2017-01-19,句容,124.85,0.83,57.25,33.98,109.26,87.33,8.96
2017-01-20,句容,62.93,0.43,37.32,56.41,71.02,32.95,6.89
2017-01-21,句容,73.42,0.68,54.58,30.33,81.24,50.75,9.96
2017-01-22,句容,90.19,0.67,46.02,36.65,89.95,65.42,11.4
2017-01-23,句容,85.5,0.72,33.4,45.38,89.77,62.27,8.5
2017-01-24,句容,67.1,0.65,27.06,50.46,63.25,47.38,6.92
2017-01-25,句容,119.56,0.87,26.06,67.23,103.1,90.12,9.19
2017-01-26,句容,123.18,0.94,30.68,28.88,103.71,93.21,5.74
2017-01-27,句容,110.5,0.68,16.4,59.1,100.21,77.88,6.55
2017-01-28,句容,106.51,0.58,12.95,70.19,108.26,79.28,7.7
2017-01-29,句容,109.83,0.83,18.85,32.7,98.46,82.37,6.09
2017-01-30,句容,57.73,0.41,9.9,69.98,51.75,36.92,5.94
2017-01-31,句容,50.44,0.44,12.25,68.67,45.66,33.23,7.4
2017-02-01,句容,81.65,0.48,14.6,69.46,68.28,59.96,5.48
2017-02-02,句容,93.04,0.73,16.19,77.46,72.33,67.23,7.71
2017-02-03,句容,64.29,0.6,19.77,37.12,54.33,45.62,6.33
2017-02-04,句容,104.28,1.03,30.76,17.54,92.35,78.11,7.0
2017-02-05,句容,144.69,1.06,22.85,59.77,127.91,109.62,7.25
2017-02-06,句容,126.81,0.74,24.33,60.27,119.38,93.17,9.25
2017-02-07,句容,51.76,0.42,19.24,66.48,50.8,32.5,9.11
2017-02-08,句容,69.6,0.49,19.54,58.4,48.54,50.31,5.58
2017-02-09,句容,129.64,0.84,25.09,74.43,119.82,97.14,16.59
2017-02-10,句容,90.3,0.73,30.45,54.33,84.44,66.0,57.33
2017-02-11,句容,84.58,0.77,37.58,55.5,78.86,62.17,19.71
2017-02-12,句容,98.88,0.74,31.04,60.25,77.0,73.71,16.88
2017-02-13,句容,124.96,0.84,46.62,56.67,114.0,94.21,20.71
2017-02-14,句容,164.29,0.95,57.75,63.92,85.5,125.0,27.88
2017-02-15,句容,124.47,0.83,40.19,82.75,102.08,105.33,19.12
2017-02-16,句容,144.57,0.95,54.39,34.41,125.68,109.04,15.98
2017-02-17,句容,106.15,0.59,32.02,55.35,93.0,73.77,11.4
2017-02-18,句容,70.08,0.59,26.25,58.77,70.41,47.29,15.19
2017-02-19,句容,115.67,0.85,41.15,47.15,111.4,86.79,15.33
2017-02-20,句容,94.29,0.62,28.48,67.92,86.71,60.1,11.81
2017-02-21,句容,54.78,0.52,21.11,84.44,53.96,34.78,10.13
2017-02-22,句容,93.48,0.73,36.26,31.93,86.0,69.5,11.28
2017-02-23,句容,115.79,0.79,36.77,52.88,103.7,87.15,17.21
2017-02-24,句容,135.73,0.89,39.33,67.02,124.67,102.85,18.67
2017-02-25,句容,128.6,0.87,43.96,65.48,124.7,96.67,18.27
2017-02-26,句容,124.77,0.93,52.98,59.69,132.46,94.42,20.98
2017-02-27,句容,119.06,0.68,36.29,87.4,109.39,89.06,26.83
2017-02-28,句容,104.77,0.61,40.23,93.68,100.54,78.04,20.7
2017-03-01,句容,114.62,0.64,44.58,58.21,152.36,75.23,20.31
