time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,吴江,82.61,0.9,72.42,17.18,103.19,55.84,18.26
2017-01-02,吴江,148.53,1.51,86.87,12.15,174.38,112.22,28.18
2017-01-03,吴江,169.36,1.48,77.39,31.48,189.75,128.04,20.06
2017-01-04,吴江,105.85,1.15,88.62,10.86,138.42,76.26,18.07
2017-01-05,吴江,45.64,0.82,44.12,51.75,47.67,27.19,8.0
2017-01-06,吴江,47.49,0.91,52.21,28.31,51.35,26.39,7.52
2017-01-07,吴江,35.32,0.86,42.75,24.42,27.31,20.84,7.86
2017-01-08,吴江,110.99,1.6,43.5,14.43,119.42,83.07,10.22
2017-01-09,吴江,108.57,1.26,46.59,33.8,115.94,81.28,18.94
2017-01-10,吴江,123.0,1.2,57.64,38.8,136.67,93.12,19.69
2017-01-11,吴江,69.15,0.78,53.5,42.38,83.71,42.69,15.67
2017-01-12,吴江,64.25,0.83,51.96,20.14,67.97,44.83,14.66
2017-01-13,吴江,108.36,1.25,51.61,34.81,129.82,80.92,24.11
2017-01-14,吴江,69.79,0.9,38.72,47.68,83.49,38.01,14.03
2017-01-15,吴江,41.65,0.51,31.89,45.78,41.99,16.18,9.12
2017-01-16,吴江,50.46,0.56,45.03,35.28,53.84,27.45,10.19
2017-01-17,吴江,81.55,0.9,75.51,10.51,89.67,58.41,15.16
2017-01-18,吴江,66.99,0.82,52.7,21.03,64.83,47.57,10.26
2017-01-19,吴江,113.46,1.08,46.42,37.1,122.88,85.4,13.86
2017-01-20,吴江,90.53,0.83,31.79,47.25,116.56,44.38,15.81
2017-01-21,吴江,59.51,0.72,40.99,43.89,67.96,36.0,14.08
2017-01-22,吴江,86.88,1.11,54.79,32.36,109.49,58.44,21.18
2017-01-23,吴江,55.45,0.68,36.96,49.61,60.35,30.83,12.94
2017-01-24,吴江,47.64,0.62,30.42,53.55,47.59,27.74,12.97
2017-01-25,吴江,88.14,0.85,26.38,68.18,90.38,64.78,14.99
2017-01-26,吴江,87.63,0.88,23.41,61.86,89.31,64.63,12.86
2017-01-27,吴江,90.58,0.85,17.01,59.68,102.81,52.01,11.23
2017-01-28,吴江,72.57,0.69,14.43,68.66,92.33,38.46,10.6
2017-01-29,吴江,81.36,1.03,16.59,53.97,89.58,56.45,10.8
2017-01-30,吴江,51.39,0.83,11.53,54.78,56.69,26.92,6.71
2017-01-31,吴江,29.48,0.57,10.71,65.2,29.41,14.86,7.54
2017-02-01,吴江,61.42,0.76,14.45,60.86,48.15,43.65,9.12
2017-02-02,吴江,65.17,0.79,16.51,71.94,67.38,38.9,11.46
2017-02-03,吴江,41.29,0.73,25.25,32.47,39.45,24.89,8.47
2017-02-04,吴江,83.04,1.31,33.19,13.65,74.16,61.01,9.26
2017-02-05,吴江,128.26,1.54,25.24,37.69,125.85,96.93,12.61
2017-02-06,吴江,112.06,1.19,29.38,54.48,120.71,76.88,11.96
2017-02-07,吴江,42.52,0.67,20.07,58.72,42.81,15.75,9.29
2017-02-08,吴江,42.97,0.65,24.48,50.74,37.4,27.07,7.19
2017-02-09,吴江,108.46,0.96,25.72,65.94,113.02,81.0,14.56
2017-02-10,吴江,76.24,0.76,26.38,68.6,89.43,45.85,17.39
2017-02-11,吴江,65.86,0.81,36.79,59.47,72.24,43.92,20.22
2017-02-12,吴江,102.82,0.9,60.72,50.32,106.82,76.74,37.24
2017-02-13,吴江,98.44,0.9,60.06,58.79,109.2,73.33,23.22
2017-02-14,吴江,91.74,0.8,54.06,66.69,103.5,67.42,22.32
2017-02-15,吴江,92.99,0.74,41.99,85.0,100.32,68.54,18.29
2017-02-16,吴江,80.42,0.92,54.12,39.79,96.21,56.57,21.44
2017-02-17,吴江,100.03,0.97,41.81,40.5,112.99,63.69,18.18
2017-02-18,吴江,57.75,0.64,36.56,53.89,67.19,28.19,12.65
2017-02-19,吴江,77.69,0.88,37.88,54.5,94.22,54.57,15.17
