time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,常州,123.72,1.64,73.99,14.98,140.09,92.54,26.04
2017-01-02,常州,124.15,1.36,68.81,14.13,138.79,91.86,24.46
2017-01-03,常州,163.2,1.77,73.75,23.25,179.1,124.53,25.88
2017-01-04,常州,124.08,1.68,72.96,9.03,146.41,92.27,28.21
2017-01-05,常州,48.6,1.01,41.06,42.36,48.83,32.23,13.66
2017-01-06,常州,50.67,1.01,43.52,22.72,53.75,33.51,14.36
2017-01-07,常州,45.96,1.04,44.7,16.72,37.62,30.87,11.42
2017-01-08,常州,90.22,1.36,45.99,10.53,84.86,65.8,14.02
2017-01-09,常州,95.77,1.26,44.92,27.39,86.33,70.24,20.63
2017-01-10,常州,103.16,1.28,47.6,34.62,96.05,76.03,20.18
2017-01-11,常州,71.16,1.09,49.94,35.5,70.65,50.5,21.07
2017-01-12,常州,81.45,1.12,53.48,18.0,82.97,58.75,18.93
2017-01-13,常州,90.24,1.29,53.43,22.17,94.87,65.63,23.24
2017-01-14,常州,52.48,0.94,37.24,39.4,53.84,34.31,16.86
2017-01-15,常州,43.16,0.81,35.25,36.2,43.69,25.14,15.45
2017-01-16,常州,56.05,1.01,47.25,26.18,59.03,37.89,19.89
2017-01-17,常州,80.18,1.17,60.18,17.24,84.01,57.61,22.69
2017-01-18,常州,65.06,0.99,49.26,25.43,62.59,45.73,14.85
2017-01-19,常州,92.42,1.16,50.6,24.59,86.28,67.53,17.34
2017-01-20,常州,55.04,0.9,35.57,38.94,56.62,32.55,15.14
2017-01-21,常州,63.57,1.02,50.67,23.77,71.28,42.72,15.57
2017-01-22,常州,66.89,1.06,51.14,28.55,73.81,46.28,18.22
2017-01-23,常州,59.45,1.12,48.71,32.34,65.69,40.05,18.21
2017-01-24,常州,51.91,0.99,39.53,38.9,53.31,33.66,15.75
2017-01-25,常州,81.43,1.1,42.02,48.42,81.85,58.75,17.0
2017-01-26,常州,83.2,1.1,41.95,37.73,81.32,60.16,13.53
2017-01-27,常州,80.39,1.0,33.41,39.96,83.15,56.14,12.99
2017-01-28,常州,71.46,1.0,34.06,43.01,87.48,48.62,14.92
2017-01-29,常州,73.74,1.07,36.02,25.32,79.93,52.41,11.99
2017-01-30,常州,43.99,0.83,26.65,41.56,42.11,27.74,11.67
2017-01-31,常州,44.26,0.89,32.48,40.02,43.84,27.64,15.55
2017-02-01,常州,67.06,0.91,30.97,45.8,61.3,47.18,11.39
2017-02-02,常州,59.3,1.06,35.3,47.37,57.33,40.39,19.03
2017-02-03,常州,54.19,0.99,44.75,16.91,51.44,36.62,10.62
2017-02-04,常州,83.86,1.22,47.27,11.61,75.96,60.65,15.82
2017-02-05,常州,117.6,1.27,45.44,30.69,109.18,86.85,14.07
2017-02-06,常州,87.93,1.16,45.44,39.37,82.6,62.88,16.63
2017-02-07,常州,42.7,0.82,36.81,43.82,42.59,25.2,12.81
2017-02-08,常州,51.67,0.87,33.34,39.14,47.14,34.92,10.01
2017-02-09,常州,96.02,1.08,35.91,46.51,88.21,70.02,15.94
2017-02-10,常州,62.53,0.98,39.6,41.27,62.54,42.18,18.15
2017-02-11,常州,66.07,1.0,48.89,34.33,69.28,45.71,21.66
2017-02-12,常州,90.88,1.13,58.32,36.97,92.28,66.0,20.07
2017-02-13,常州,120.69,1.34,75.97,36.53,121.56,90.35,25.78
2017-02-14,常州,129.31,1.49,82.22,34.86,133.12,97.37,29.12
2017-02-15,常州,99.2,1.18,64.13,52.78,102.07,72.88,22.42
2017-02-16,常州,78.37,1.24,67.12,24.52,94.59,55.84,21.74
2017-02-17,常州,69.28,1.02,44.75,31.7,80.9,47.23,14.41
