time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,常熟,68.4,0.85,57.44,17.05,77.42,46.08,19.69
2017-01-02,常熟,119.02,1.19,54.77,30.12,137.49,95.8,29.97
2017-01-03,常熟,152.26,1.5,60.5,36.98,194.36,123.4,20.93
2017-01-04,常熟,96.35,1.15,63.89,29.98,123.44,73.06,23.74
2017-01-05,常熟,44.68,0.63,31.03,74.67,46.65,25.94,14.31
2017-01-06,常熟,48.99,0.75,41.08,37.65,46.41,33.85,16.67
2017-01-07,常熟,39.39,0.93,35.43,37.83,28.58,27.2,13.78
2017-01-08,常熟,89.42,1.49,47.78,13.19,102.39,69.77,17.88
2017-01-09,常熟,100.17,1.35,40.22,46.28,114.32,81.52,28.2
2017-01-10,常熟,111.54,1.24,44.25,48.06,128.57,91.02,26.17
2017-01-11,常熟,63.89,0.82,37.32,58.6,72.52,41.83,21.36
2017-01-12,常熟,82.5,1.05,61.83,24.38,99.79,60.85,19.56
2017-01-13,常熟,108.21,1.35,58.14,40.96,138.79,83.62,33.97
2017-01-14,常熟,56.93,0.86,30.29,54.92,64.6,33.1,20.1
2017-01-15,常熟,36.79,0.53,22.01,55.94,32.67,20.35,16.49
2017-01-16,常熟,41.97,0.62,32.61,46.31,38.59,26.38,18.11
2017-01-17,常熟,73.74,0.87,51.32,35.3,77.49,55.61,21.33
2017-01-18,常熟,61.67,0.82,43.46,41.4,59.45,44.87,14.21
2017-01-19,常熟,102.33,1.18,50.11,42.77,114.83,82.08,21.5
2017-01-20,常熟,91.24,0.72,30.11,52.91,107.28,65.12,20.97
2017-01-21,常熟,63.18,0.6,39.72,44.48,62.88,42.88,17.26
2017-01-22,常熟,86.69,1.04,47.12,37.42,91.48,65.38,22.03
2017-01-23,常熟,53.35,0.65,29.0,56.5,51.13,35.35,16.97
2017-01-24,常熟,57.24,0.57,24.88,62.0,44.76,44.0,16.97
2017-01-25,常熟,83.14,0.86,29.57,72.71,84.42,65.17,19.34
2017-01-26,常熟,93.39,0.86,38.12,55.41,96.09,76.24,16.06
2017-01-27,常熟,79.58,0.64,20.32,63.43,86.63,49.0,13.77
2017-01-28,常熟,82.66,0.67,21.28,60.17,105.27,56.02,15.95
2017-01-29,常熟,97.54,1.04,29.09,41.26,101.75,78.22,14.55
2017-01-30,常熟,47.79,0.67,14.07,59.75,48.88,28.69,13.42
2017-01-31,常熟,37.45,0.66,13.88,62.36,28.36,26.23,13.39
2017-02-01,常熟,71.82,0.81,18.68,66.19,63.98,57.04,14.14
2017-02-02,常熟,51.21,0.81,18.64,66.96,52.93,32.06,14.9
2017-02-03,常熟,44.97,0.91,42.1,22.77,40.6,30.06,12.88
2017-02-04,常熟,101.45,1.33,49.17,11.04,109.0,82.2,16.45
2017-02-05,常熟,146.92,1.35,42.94,36.29,162.03,125.08,14.96
2017-02-06,常熟,85.79,0.82,30.32,61.83,101.93,63.04,15.12
2017-02-07,常熟,40.28,0.52,18.61,71.93,33.21,24.91,13.58
2017-02-08,常熟,46.24,0.62,23.96,59.94,36.28,32.23,11.96
2017-02-09,常熟,114.03,1.01,28.1,66.66,116.46,97.56,22.03
2017-02-10,常熟,63.46,0.89,30.1,54.04,70.07,39.56,26.6
2017-02-11,常熟,76.67,1.03,42.49,55.69,80.74,54.85,26.11
2017-02-12,常熟,96.39,1.17,62.46,53.23,107.27,75.67,32.93
2017-02-13,常熟,100.38,1.08,78.22,53.4,114.14,78.1,22.67
2017-02-14,常熟,106.88,0.98,75.97,67.47,121.76,84.47,25.85
2017-02-15,常熟,97.93,0.74,66.4,90.33,113.01,76.35,25.76
2017-02-16,常熟,72.06,0.73,57.08,54.67,87.64,48.77,21.22
2017-02-17,常熟,84.42,0.72,35.04,51.6,95.77,57.25,21.58
2017-02-18,常熟,48.74,0.7,36.78,54.67,49.88,26.35,20.04
2017-02-19,常熟,74.96,0.89,38.28,65.1,89.15,50.69,20.4
2017-02-20,常熟,78.12,0.73,25.58,63.44,87.35,51.48,18.96
2017-02-21,常熟,52.61,0.66,24.11,69.9,51.76,29.4,17.33
2017-02-22,常熟,79.81,0.93,34.68,39.35,79.55,59.92,16.72
2017-02-23,常熟,109.96,1.12,39.22,44.46,125.53,89.98,22.06
2017-02-24,常熟,80.33,1.07,44.84,68.57,84.43,61.93,24.83
2017-02-25,常熟,124.1,1.28,74.26,56.97,143.57,100.75,29.81
2017-02-26,常熟,128.79,1.22,59.24,86.67,150.88,106.92,33.57
2017-02-27,常熟,60.01,0.82,49.7,53.46,59.68,40.26,23.26
2017-02-28,常熟,81.13,0.77,61.13,55.28,82.22,62.43,23.48
2017-03-01,常熟,77.54,0.73,49.43,52.35,95.76,49.31,23.4
2017-03-02,常熟,66.51,0.6,35.72,65.87,73.28,42.93,20.62
2017-03-03,常熟,80.01,0.77,63.01,57.67,97.71,58.94,22.17
2017-03-04,常熟,97.53,0.89,66.32,71.88,121.9,71.71,21.54
2017-03-05,常熟,91.51,0.93,55.22,63.27,110.87,65.81,19.89
2017-03-06,常熟,59.1,0.45,25.04,82.62,63.38,35.06,16.71
2017-03-07,常熟,69.11,0.63,41.93,82.39,76.5,48.44,18.81
2017-03-08,常熟,64.07,0.65,34.62,80.12,68.88,42.39,20.77
2017-03-09,常熟,88.28,0.96,60.24,58.83,111.24,65.12,24.36
2017-03-10,常熟,102.12,0.94,57.39,67.15,131.88,74.85,21.31
2017-03-11,常熟,71.11,0.67,35.67,83.4,82.34,47.25,18.03
2017-03-12,常熟,60.33,0.7,38.11,70.0,70.06,36.96,17.68
2017-03-13,常熟,58.11,0.54,21.78,85.73,57.03,39.02,15.56
2017-03-14,常熟,55.4,0.86,34.01,70.15,59.75,33.56,23.96
2017-03-15,常熟,61.81,0.79,40.58,70.28,69.32,38.02,26.96
2017-03-16,常熟,57.14,0.61,37.63,71.83,62.67,34.62,19.69
