time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,扬州,202.59,1.96,86.08,13.59,209.76,156.5,30.86
2017-01-02,扬州,176.66,1.36,52.45,45.89,177.52,135.38,25.01
2017-01-03,扬州,231.38,1.97,73.38,37.95,243.74,184.61,28.3
2017-01-04,扬州,190.97,1.68,54.62,23.38,190.19,148.98,19.3
2017-01-05,扬州,59.97,0.73,17.89,83.57,50.16,42.35,9.98
2017-01-06,扬州,43.09,0.65,27.28,44.89,39.97,27.82,11.26
2017-01-07,扬州,45.46,0.97,40.63,21.43,37.96,29.5,10.79
2017-01-08,扬州,75.24,1.43,45.52,15.22,67.37,54.68,10.99
2017-01-09,扬州,142.74,1.48,40.29,40.34,134.7,108.33,19.79
2017-01-10,扬州,152.9,1.36,47.34,47.07,146.1,116.04,18.9
2017-01-11,扬州,108.51,1.04,46.01,55.31,114.23,80.69,17.61
2017-01-12,扬州,134.61,1.37,73.49,37.22,151.12,102.26,22.77
2017-01-13,扬州,122.3,1.11,49.5,43.18,140.49,90.79,21.73
2017-01-14,扬州,65.96,0.74,28.04,58.34,69.51,43.17,13.14
2017-01-15,扬州,41.99,0.45,21.72,54.52,41.5,23.35,9.21
2017-01-16,扬州,57.1,0.56,29.44,47.2,59.15,36.45,11.66
2017-01-17,扬州,91.91,0.88,43.11,45.29,101.07,66.58,16.17
2017-01-18,扬州,96.84,0.89,35.64,44.86,90.0,71.8,10.84
2017-01-19,扬州,124.33,1.12,40.05,36.35,121.2,93.97,11.62
2017-01-20,扬州,69.25,0.55,19.52,65.07,85.6,33.67,12.59
2017-01-21,扬州,74.79,0.91,54.06,34.6,91.99,48.54,20.8
2017-01-22,扬州,74.91,0.75,37.83,49.06,87.29,47.77,15.78
2017-01-23,扬州,86.48,0.81,37.21,53.89,87.28,62.14,18.8
2017-01-24,扬州,73.88,0.98,34.28,53.59,75.74,47.51,18.54
2017-01-25,扬州,128.43,1.17,38.27,68.64,124.22,96.98,22.74
2017-01-26,扬州,151.15,1.44,45.91,40.81,148.65,115.16,19.44
2017-01-27,扬州,116.58,1.02,20.49,64.83,124.95,74.84,14.8
2017-01-28,扬州,116.41,0.96,23.5,59.17,132.03,88.59,19.34
2017-01-29,扬州,112.0,1.34,26.16,24.48,112.26,83.67,10.51
2017-01-30,扬州,51.62,0.56,7.15,71.44,52.9,28.94,6.51
2017-01-31,扬州,41.47,0.47,12.39,72.66,39.15,25.22,10.2
2017-02-01,扬州,94.88,0.77,14.07,79.7,90.58,69.79,8.93
2017-02-02,扬州,72.96,0.86,21.83,79.6,75.56,49.53,13.52
2017-02-03,扬州,83.4,0.85,37.46,23.05,75.61,61.4,9.58
2017-02-04,扬州,136.68,1.21,36.49,19.0,130.83,103.43,11.87
2017-02-05,扬州,175.21,1.34,30.55,64.71,165.81,132.91,12.74
2017-02-06,扬州,130.17,1.05,22.38,74.82,127.95,94.32,12.62
2017-02-07,扬州,48.85,0.51,15.55,68.73,49.57,23.92,8.61
2017-02-08,扬州,68.98,0.7,16.56,60.35,53.77,45.76,4.27
2017-02-09,扬州,129.06,1.05,21.92,67.73,132.03,97.0,13.07
2017-02-10,扬州,66.51,0.76,23.1,68.74,77.98,39.97,15.16
2017-02-11,扬州,83.82,0.9,37.31,63.9,93.28,60.27,21.55
2017-02-12,扬州,124.17,1.33,68.97,43.32,128.32,93.79,37.66
2017-02-13,扬州,158.76,1.46,89.62,44.21,161.93,119.95,38.62
2017-02-14,扬州,187.61,1.68,85.33,60.4,193.57,145.06,42.72
2017-02-15,扬州,164.15,1.36,70.62,74.35,171.26,124.61,33.69
2017-02-16,扬州,148.11,1.42,75.47,36.61,152.4,112.21,28.51
2017-02-17,扬州,106.35,0.85,29.64,56.73,110.35,65.14,12.01
2017-02-18,扬州,70.92,0.94,43.2,55.69,85.55,45.61,20.76
2017-02-19,扬州,129.83,1.22,56.21,47.16,139.53,97.71,23.9
2017-02-20,扬州,100.66,0.85,24.55,63.48,117.91,55.42,12.97
2017-02-21,扬州,57.26,0.64,25.99,62.84,65.74,32.61,10.86
2017-02-22,扬州,98.43,0.86,22.53,42.62,98.14,73.47,7.19
2017-02-23,扬州,132.86,1.06,38.36,61.16,126.09,100.15,14.73
2017-02-24,扬州,128.84,1.09,57.57,71.29,133.73,96.69,21.3
2017-02-25,扬州,172.95,1.31,82.87,61.38,184.34,131.51,27.18
2017-02-26,扬州,160.09,1.22,81.34,59.9,178.16,119.18,27.06
2017-02-27,扬州,96.57,0.88,53.26,63.73,105.42,70.52,22.48
2017-02-28,扬州,110.7,0.91,61.62,92.4,127.35,83.01,26.99
2017-03-01,扬州,123.96,0.96,55.82,66.15,151.93,83.86,19.79
2017-03-02,扬州,64.34,0.72,41.49,71.33,75.8,34.79,15.34
2017-03-03,扬州,101.7,1.08,91.35,54.3,126.55,74.21,29.03
2017-03-04,扬州,162.19,1.29,116.48,64.04,185.16,122.92,41.47
2017-03-05,扬州,131.83,0.9,45.94,93.72,141.03,98.27,18.43
2017-03-06,扬州,82.16,0.66,32.88,77.25,91.25,49.17,12.22
2017-03-07,扬州,101.42,0.89,57.63,64.37,126.84,74.04,24.94
2017-03-08,扬州,79.74,0.8,38.18,64.07,94.76,51.11,14.72
2017-03-09,扬州,114.54,1.15,78.03,48.69,149.98,83.88,33.69
2017-03-10,扬州,157.18,1.44,94.0,62.29,193.78,118.71,36.03
2017-03-11,扬州,97.91,0.98,52.86,75.85,114.24,68.72,21.49
2017-03-12,扬州,119.38,1.05,45.38,67.01,129.73,84.49,18.51
2017-03-13,扬州,66.55,0.63,19.53,91.9,69.69,38.32,7.79
