time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,无锡,123.25,1.33,92.02,15.34,136.78,92.61,21.37
2017-01-02,无锡,153.89,1.62,88.87,14.69,169.45,115.94,29.51
2017-01-03,无锡,197.04,1.69,92.09,29.68,209.12,150.82,23.48
2017-01-04,无锡,146.79,1.38,95.65,11.31,161.4,111.28,23.22
2017-01-05,无锡,53.15,0.84,42.68,63.22,49.48,36.92,10.4
2017-01-06,无锡,54.11,1.0,53.25,28.9,55.32,36.65,10.81
2017-01-07,无锡,37.47,1.09,53.04,20.34,29.98,22.85,11.55
2017-01-08,无锡,108.29,1.7,50.62,14.75,108.8,81.29,13.91
2017-01-09,无锡,121.15,1.48,51.55,37.58,116.98,91.47,26.41
2017-01-10,无锡,134.34,1.64,60.84,41.61,135.11,102.05,29.42
2017-01-11,无锡,77.18,1.16,52.05,52.27,85.96,55.12,21.53
2017-01-12,无锡,86.53,1.12,57.52,31.2,95.61,63.58,19.31
2017-01-13,无锡,116.4,1.58,68.74,31.34,134.07,87.33,30.78
2017-01-14,无锡,71.62,1.03,43.77,51.13,76.97,46.81,20.33
2017-01-15,无锡,41.48,0.85,36.71,48.23,40.97,20.9,15.21
2017-01-16,无锡,52.27,0.96,51.93,37.51,53.9,32.51,18.79
2017-01-17,无锡,74.55,1.13,73.2,22.83,81.19,52.98,19.73
2017-01-18,无锡,65.77,0.99,54.66,34.34,61.29,47.01,12.36
2017-01-19,无锡,116.18,1.39,70.16,27.66,119.65,87.63,20.26
2017-01-20,无锡,81.86,0.8,35.52,55.83,99.83,44.98,18.82
2017-01-21,无锡,61.66,0.9,55.38,37.55,68.38,40.2,16.7
2017-01-22,无锡,82.5,1.17,61.44,32.73,97.98,57.56,25.46
2017-01-23,无锡,58.23,0.98,47.0,49.48,62.99,37.1,19.14
2017-01-24,无锡,47.01,0.78,37.25,56.64,47.62,27.14,16.29
2017-01-25,无锡,82.85,0.94,38.59,69.57,85.01,60.86,17.1
2017-01-26,无锡,93.1,0.99,45.38,51.49,92.35,69.18,14.01
2017-01-27,无锡,95.66,0.86,24.99,61.02,104.09,63.55,12.93
2017-01-28,无锡,74.2,0.63,20.99,72.82,94.19,43.65,12.87
2017-01-29,无锡,84.6,1.0,26.37,43.43,87.64,61.08,12.04
2017-01-30,无锡,47.73,0.7,11.36,64.51,48.46,29.27,8.89
2017-01-31,无锡,33.47,0.68,16.85,67.85,32.36,18.59,10.96
2017-02-01,无锡,57.04,0.87,19.06,66.34,52.93,40.12,11.76
2017-02-02,无锡,64.22,1.0,26.5,71.76,62.55,42.99,14.69
2017-02-03,无锡,44.41,0.91,44.89,23.71,40.96,28.55,9.44
2017-02-04,无锡,90.59,1.33,44.79,14.53,84.02,66.89,11.51
2017-02-05,无锡,140.89,1.56,45.08,35.97,135.47,106.38,14.12
2017-02-06,无锡,108.57,1.21,39.97,58.47,108.53,78.39,14.61
2017-02-07,无锡,41.2,0.64,26.78,66.72,41.27,20.64,9.78
2017-02-08,无锡,45.91,0.8,29.07,52.89,39.17,30.55,8.03
2017-02-09,无锡,108.92,1.25,31.96,66.0,107.4,81.6,19.12
2017-02-10,无锡,81.69,1.12,36.98,61.6,87.68,53.99,23.55
2017-02-11,无锡,76.12,1.21,49.72,51.03,83.4,53.33,29.14
2017-02-12,无锡,80.84,1.16,53.23,56.99,82.65,58.72,20.07
2017-02-13,无锡,103.49,1.42,81.68,52.22,111.84,76.82,23.48
2017-02-14,无锡,118.8,1.38,91.44,52.32,130.98,88.89,25.15
2017-02-15,无锡,99.35,0.92,69.56,79.08,107.82,73.58,20.55
2017-02-16,无锡,84.83,0.98,77.05,38.47,94.13,62.16,18.26
2017-02-17,无锡,94.39,1.0,45.45,41.43,104.05,61.16,12.73
2017-02-18,无锡,56.77,0.74,44.57,53.84,63.94,29.89,15.03
2017-02-19,无锡,75.97,0.9,41.96,62.23,85.29,53.15,14.05
2017-02-20,无锡,82.91,0.96,30.72,61.17,89.43,48.73,10.87
2017-02-21,无锡,50.79,0.79,33.67,66.83,55.09,24.8,12.04
2017-02-22,无锡,71.54,1.14,41.46,30.57,66.3,51.07,10.76
