time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,昆山,67.84,0.9,64.74,8.32,72.58,46.39,12.39
2017-01-02,昆山,110.05,1.0,54.4,18.9,122.6,82.6,25.35
2017-01-03,昆山,162.14,1.71,80.83,21.47,185.86,121.92,19.97
2017-01-04,昆山,97.65,1.11,86.31,9.27,115.44,72.23,17.1
2017-01-05,昆山,45.73,0.77,46.73,54.65,44.72,31.0,8.88
2017-01-06,昆山,43.02,0.78,47.23,29.94,41.87,24.96,9.1
2017-01-07,昆山,30.26,0.8,46.63,22.91,23.37,16.22,7.7
2017-01-08,昆山,100.46,1.62,46.77,6.1,108.53,75.04,12.4
2017-01-09,昆山,100.41,1.19,34.35,50.85,98.91,75.02,18.33
2017-01-10,昆山,112.54,1.22,41.98,51.1,116.54,84.77,17.46
2017-01-11,昆山,55.04,0.77,37.56,54.15,56.81,36.46,18.21
2017-01-12,昆山,71.1,0.9,60.33,15.08,77.12,51.08,14.9
2017-01-13,昆山,117.44,1.35,60.19,30.23,132.23,88.52,28.25
2017-01-14,昆山,49.71,0.76,32.0,51.58,51.79,32.48,11.12
2017-01-15,昆山,25.92,0.54,23.23,52.46,23.39,13.67,7.5
2017-01-16,昆山,35.79,0.58,33.83,42.38,30.81,22.44,9.6
2017-01-17,昆山,66.08,0.84,61.88,19.85,72.67,47.6,11.62
2017-01-18,昆山,56.79,0.74,42.1,40.85,56.58,39.58,7.71
2017-01-19,昆山,105.08,0.91,49.46,41.31,123.31,78.75,13.81
2017-01-20,昆山,83.08,0.8,25.19,55.04,102.06,54.04,14.1
2017-01-21,昆山,48.83,0.72,46.54,40.67,48.65,32.27,11.21
2017-01-22,昆山,66.33,1.0,48.62,33.92,72.52,46.15,16.1
2017-01-23,昆山,41.04,0.67,29.48,55.1,38.38,25.38,9.77
2017-01-24,昆山,43.56,0.79,41.65,45.02,40.77,29.15,13.25
2017-01-25,昆山,77.79,0.92,43.6,58.29,82.83,56.33,14.12
2017-01-26,昆山,78.44,0.85,47.71,48.5,87.88,56.65,10.5
2017-01-27,昆山,76.73,0.75,21.65,56.04,87.08,45.71,7.88
2017-01-28,昆山,62.07,0.64,22.14,63.64,73.5,34.98,8.24
2017-01-29,昆山,85.26,0.92,26.74,45.52,101.48,59.78,9.89
2017-01-30,昆山,37.6,0.59,8.46,61.06,36.69,21.77,4.85
2017-01-31,昆山,24.42,0.64,13.58,64.92,18.85,13.29,6.33
2017-02-01,昆山,48.77,0.7,13.06,68.27,49.96,34.4,6.94
2017-02-02,昆山,44.65,0.84,22.83,62.98,42.27,28.44,8.04
2017-02-03,昆山,32.88,0.86,47.42,20.29,30.31,20.85,6.15
2017-02-04,昆山,93.26,1.44,48.26,5.48,86.95,69.22,9.22
2017-02-05,昆山,153.86,1.91,46.05,28.59,174.3,116.11,10.7
2017-02-06,昆山,96.19,1.03,31.85,57.31,107.79,68.19,9.81
2017-02-07,昆山,29.09,0.57,22.91,65.76,28.15,14.13,6.63
2017-02-08,昆山,31.67,0.55,21.1,59.73,26.36,20.94,5.19
2017-02-09,昆山,98.74,1.06,25.77,65.17,103.29,73.68,15.38
2017-02-10,昆山,59.4,0.84,30.25,61.42,63.77,39.33,18.19
2017-02-11,昆山,61.52,1.18,52.65,41.23,60.83,43.08,21.21
2017-02-12,昆山,100.21,1.29,77.81,34.71,102.5,74.85,24.71
