time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,江阴,146.4,1.58,79.63,13.14,156.65,111.84,20.11
2017-01-02,江阴,156.28,1.21,62.08,26.02,159.37,118.12,21.0
2017-01-03,江阴,251.36,2.27,86.38,24.47,266.44,201.39,20.01
2017-01-04,江阴,185.29,1.76,69.6,20.47,193.68,143.38,21.39
2017-01-05,江阴,65.33,0.89,32.51,64.33,59.21,46.9,8.5
2017-01-06,江阴,60.49,0.9,37.22,34.56,62.65,42.44,7.5
2017-01-07,江阴,40.35,0.81,32.69,32.05,35.32,26.49,8.23
2017-01-08,江阴,87.88,1.37,41.17,15.46,85.42,65.0,11.54
2017-01-09,江阴,126.61,1.16,34.32,41.42,116.03,95.58,14.59
2017-01-10,江阴,140.18,1.16,43.6,47.24,132.72,106.49,17.28
2017-01-11,江阴,88.38,0.84,46.36,51.75,94.62,64.92,14.51
2017-01-12,江阴,121.94,1.17,59.89,25.94,134.21,92.26,21.54
2017-01-13,江阴,132.0,1.24,52.0,36.22,144.14,99.82,32.69
2017-01-14,江阴,70.42,0.68,28.51,57.43,73.4,47.0,15.78
2017-01-15,江阴,39.06,0.54,24.85,57.18,38.49,22.06,13.4
2017-01-16,江阴,54.35,0.75,40.77,43.2,55.58,35.12,17.71
2017-01-17,江阴,87.57,1.05,53.99,34.92,92.96,63.9,17.69
2017-01-18,江阴,77.5,1.07,47.77,38.09,70.86,56.62,7.4
2017-01-19,江阴,122.79,1.04,56.56,30.86,119.79,92.86,11.71
2017-01-20,江阴,83.53,0.56,22.24,60.0,104.07,47.68,10.97
2017-01-21,江阴,68.62,0.82,50.56,37.14,78.72,48.19,15.18
2017-01-22,江阴,78.65,0.7,41.53,46.04,89.92,53.96,20.43
2017-01-23,江阴,64.1,0.78,38.49,54.53,70.22,44.04,16.32
2017-01-24,江阴,51.82,0.67,30.89,62.5,51.93,33.39,11.79
2017-01-25,江阴,95.11,0.89,42.39,74.82,96.6,70.79,16.15
2017-01-26,江阴,105.27,0.95,42.82,55.84,105.04,81.43,13.2
2017-01-27,江阴,98.99,0.86,26.61,63.35,113.29,67.15,26.62
2017-01-28,江阴,91.67,0.7,24.28,71.72,113.34,63.22,28.11
2017-01-29,江阴,99.32,0.97,28.15,36.83,102.06,78.12,13.86
2017-01-30,江阴,45.94,0.42,11.08,66.21,46.27,26.72,6.71
2017-01-31,江阴,40.25,0.56,22.51,61.86,38.62,24.32,8.09
2017-02-01,江阴,73.75,0.63,18.52,75.39,68.56,53.12,8.52
2017-02-02,江阴,69.68,0.78,25.39,72.89,66.53,48.18,10.94
2017-02-03,江阴,46.49,0.7,43.21,27.72,40.22,31.71,8.25
2017-02-04,江阴,125.2,1.14,48.8,13.45,117.11,93.96,12.76
2017-02-05,江阴,149.15,1.15,41.85,40.04,151.1,120.69,13.75
2017-02-06,江阴,108.88,0.97,34.56,62.88,109.51,78.24,18.01
2017-02-07,江阴,43.97,0.74,24.75,68.26,45.04,22.74,14.55
2017-02-08,江阴,45.0,0.53,22.57,59.12,37.84,30.54,9.75
2017-02-09,江阴,114.65,0.98,27.33,65.51,115.78,86.22,16.67
2017-02-10,江阴,69.15,0.71,31.9,62.82,78.68,45.65,20.42
2017-02-11,江阴,87.17,0.88,44.12,51.06,97.62,62.75,22.43
2017-02-12,江阴,132.19,1.27,65.03,44.63,136.89,100.14,29.1
2017-02-13,江阴,134.47,1.36,78.68,44.01,138.35,101.74,30.54
2017-02-14,江阴,149.96,1.6,82.01,54.01,161.22,113.39,36.36
2017-02-15,江阴,124.17,1.0,56.26,80.32,127.85,93.9,27.1
2017-02-16,江阴,110.32,1.11,64.03,34.86,116.04,82.92,24.78
2017-02-17,江阴,102.72,1.04,37.99,45.11,109.79,68.25,13.65
2017-02-18,江阴,59.4,0.75,44.88,46.06,69.58,35.81,20.81
2017-02-19,江阴,88.43,0.9,41.22,50.78,99.78,64.57,19.97
2017-02-20,江阴,97.03,1.06,29.54,53.58,102.68,60.15,16.26
2017-02-21,江阴,52.74,0.6,26.9,64.42,57.67,28.92,14.19
2017-02-22,江阴,81.57,0.81,32.89,32.61,74.19,59.74,13.46
2017-02-23,江阴,136.74,0.87,34.92,51.35,126.22,103.64,17.62
2017-02-24,江阴,103.17,1.02,56.12,59.96,105.79,76.53,24.89
2017-02-25,江阴,184.46,1.64,82.88,47.0,191.14,141.81,32.33
2017-02-26,江阴,178.5,1.48,69.93,59.33,181.4,136.5,33.81
2017-02-27,江阴,77.92,0.74,43.21,60.03,83.01,56.82,25.39
2017-02-28,江阴,85.26,0.78,46.76,74.07,93.46,62.88,25.29
2017-03-01,江阴,107.91,0.9,48.42,45.52,142.01,68.38,26.51
2017-03-02,江阴,65.16,0.65,33.96,57.41,73.58,42.71,15.61
2017-03-03,江阴,103.1,0.92,66.2,53.62,123.32,77.0,24.01
2017-03-04,江阴,142.32,1.67,83.64,50.43,164.5,107.68,39.12
2017-03-05,江阴,126.71,1.24,67.57,52.89,137.49,95.68,28.31
2017-03-06,江阴,71.33,0.57,30.66,72.33,75.58,47.06,10.21
2017-03-07,江阴,79.71,0.87,48.06,59.24,97.33,57.47,21.5
2017-03-08,江阴,74.04,0.72,48.15,49.48,88.36,51.16,22.22
2017-03-09,江阴,115.65,1.2,84.06,43.61,137.67,87.11,30.34
2017-03-10,江阴,142.81,1.14,89.83,68.23,162.58,107.9,34.18
2017-03-11,江阴,81.04,0.69,39.61,98.03,88.43,59.04,15.99
2017-03-12,江阴,81.89,0.89,47.3,78.24,88.83,59.67,15.01
2017-03-13,江阴,64.01,0.86,31.41,80.04,65.96,43.67,8.03
2017-03-14,江阴,53.56,0.48,33.35,72.04,58.11,32.1,15.04
2017-03-15,江阴,86.26,1.1,56.9,58.26,100.1,62.61,24.77
2017-03-16,江阴,87.31,1.03,55.83,65.42,97.12,64.56,21.79
2017-03-17,江阴,84.28,0.79,50.88,72.19,86.24,61.36,19.57
2017-03-18,江阴,82.81,0.86,49.85,57.49,79.31,60.65,16.21
2017-03-19,江阴,82.07,0.87,49.51,72.62,84.44,60.08,16.12
2017-03-20,江阴,79.38,0.86,46.54,57.9,70.06,58.21,12.04
2017-03-21,江阴,96.36,0.76,31.35,102.99,96.79,71.35,10.26
2017-03-22,江阴,47.26,0.66,38.32,66.31,46.72,28.36,11.81
2017-03-23,江阴,52.02,0.69,39.74,65.53,49.65,35.8,9.8
2017-03-24,江阴,75.82,0.87,50.08,69.03,75.38,54.85,15.01
2017-03-25,江阴,111.78,0.9,61.42,41.15,121.99,84.11,23.56
2017-03-26,江阴,112.47,0.92,66.03,51.26,147.32,79.83,30.65
2017-03-27,江阴,107.35,1.03,70.59,55.61,127.88,79.09,33.65
