time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,泰州,152.79,1.55,69.72,28.38,165.87,117.37,16.04
2017-01-02,泰州,176.04,1.45,52.3,60.96,173.4,134.26,19.37
2017-01-03,泰州,229.01,2.09,55.6,55.42,239.42,185.45,13.59
2017-01-04,泰州,145.74,1.48,42.59,55.72,153.14,113.31,10.77
2017-01-05,泰州,56.07,0.85,17.18,98.96,50.68,38.29,8.25
2017-01-06,泰州,40.49,0.77,25.22,63.16,37.59,23.07,7.92
2017-01-07,泰州,37.26,1.01,31.3,50.34,33.45,22.83,11.89
2017-01-08,泰州,51.52,1.48,43.39,34.49,49.33,36.04,9.78
2017-01-09,泰州,125.0,1.56,35.67,70.55,117.51,94.26,20.92
2017-01-10,泰州,141.23,1.63,48.16,68.06,148.12,107.43,24.59
2017-01-11,泰州,103.65,1.26,47.01,78.28,114.38,77.22,23.28
2017-01-12,泰州,137.42,1.41,63.33,64.86,149.78,104.03,22.91
2017-01-13,泰州,138.87,1.45,62.99,55.01,153.04,105.36,30.58
2017-01-14,泰州,65.93,1.1,29.27,65.89,68.35,42.92,15.35
2017-01-15,泰州,38.58,0.75,21.66,64.02,37.34,20.12,10.96
2017-01-16,泰州,51.86,0.78,28.32,59.04,50.3,32.97,11.24
2017-01-17,泰州,89.52,0.95,34.41,56.67,92.3,66.54,13.39
2017-01-18,泰州,87.72,0.97,29.42,58.79,83.75,64.82,10.04
2017-01-19,泰州,128.71,1.18,40.41,49.55,124.99,97.47,15.15
2017-01-20,泰州,72.38,0.76,23.02,66.55,92.11,39.04,14.45
2017-01-21,泰州,87.06,1.05,50.71,42.44,93.53,62.17,18.89
2017-01-22,泰州,84.15,0.85,36.47,54.25,89.33,58.18,18.86
2017-01-23,泰州,69.0,0.79,29.27,59.64,73.1,46.97,14.21
2017-01-24,泰州,58.06,0.67,21.07,69.6,57.91,37.77,12.44
2017-01-25,泰州,119.06,1.09,34.73,80.38,118.18,90.23,14.36
2017-01-26,泰州,126.74,1.18,42.03,59.34,124.28,96.0,15.28
2017-01-27,泰州,115.48,0.86,23.09,72.11,119.7,78.82,14.17
2017-01-28,泰州,110.88,1.04,26.33,62.48,132.18,80.51,13.66
2017-01-29,泰州,104.04,1.27,28.12,34.54,105.25,77.35,9.73
2017-01-30,泰州,47.95,0.64,10.23,74.56,47.8,27.06,9.92
2017-01-31,泰州,42.35,0.64,12.47,78.35,38.17,24.47,10.2
2017-02-01,泰州,89.22,0.97,16.13,86.87,85.22,64.82,13.48
2017-02-02,泰州,68.9,0.87,18.12,85.44,66.99,45.57,14.7
2017-02-03,泰州,60.96,0.86,31.81,42.33,55.28,41.82,9.15
2017-02-04,泰州,130.35,1.19,38.63,32.61,120.24,98.77,10.76
2017-02-05,泰州,163.33,1.32,34.43,67.82,155.53,124.5,12.79
2017-02-06,泰州,126.44,1.13,25.65,81.73,117.88,93.09,12.66
2017-02-07,泰州,42.39,0.66,16.03,80.87,41.6,21.89,9.38
2017-02-08,泰州,52.99,0.8,17.82,69.56,42.91,34.23,8.71
2017-02-09,泰州,119.02,1.24,30.1,59.45,116.74,89.17,15.29
2017-02-10,泰州,66.19,1.0,37.52,53.69,70.79,41.72,19.62
2017-02-11,泰州,86.22,1.06,50.6,53.96,90.27,60.26,22.54
2017-02-12,泰州,137.2,1.27,80.42,50.7,143.24,103.84,42.27
2017-02-13,泰州,159.12,1.53,85.8,57.14,161.02,120.76,30.19
2017-02-14,泰州,166.96,1.48,70.71,74.51,162.6,126.91,32.41
2017-02-15,泰州,167.43,1.23,67.09,74.69,170.07,126.69,25.15
2017-02-16,泰州,131.33,1.4,88.9,33.71,134.36,99.78,24.01
2017-02-17,泰州,93.83,0.93,39.69,57.0,99.52,61.14,14.93
2017-02-18,泰州,65.41,1.1,45.66,62.43,76.04,40.08,18.01
2017-02-19,泰州,103.35,1.44,68.67,47.04,120.27,76.79,22.51
2017-02-20,泰州,106.79,0.99,35.94,57.65,112.82,65.83,13.66
2017-02-21,泰州,50.99,0.84,22.03,66.19,53.84,24.76,10.1
2017-02-22,泰州,93.91,1.1,30.34,40.79,83.59,69.39,9.22
2017-02-23,泰州,136.79,1.42,38.81,62.28,124.92,103.31,14.99
2017-02-24,泰州,100.99,1.32,49.33,75.67,100.87,73.91,19.56
2017-02-25,泰州,180.06,1.63,83.28,62.46,180.91,138.51,31.27
2017-02-26,泰州,163.23,1.44,77.78,61.43,168.1,124.15,30.59
2017-02-27,泰州,77.15,1.08,40.89,73.69,81.14,55.42,21.17
2017-02-28,泰州,101.93,1.1,58.81,74.54,110.34,76.06,25.68
2017-03-01,泰州,101.99,1.08,57.58,52.14,116.27,71.77,21.79
2017-03-02,泰州,60.13,0.8,35.57,63.91,64.85,36.6,15.46
2017-03-03,泰州,104.39,1.23,79.47,51.16,121.77,77.74,25.32
2017-03-04,泰州,140.24,1.48,68.89,65.41,153.18,106.31,21.32
2017-03-05,泰州,115.81,0.92,38.49,90.89,127.55,86.94,15.58
2017-03-06,泰州,72.72,0.68,26.32,89.17,79.24,44.4,12.57
2017-03-07,泰州,81.01,0.94,41.26,79.88,97.33,57.19,18.33
2017-03-08,泰州,61.88,0.82,38.15,76.18,67.29,37.99,15.4
2017-03-09,泰州,111.86,1.19,89.71,53.08,136.92,82.5,33.51
2017-03-10,泰州,156.58,1.45,92.72,63.47,175.17,119.0,35.38
2017-03-11,泰州,94.99,0.92,45.01,82.62,107.91,67.4,17.94
2017-03-12,泰州,93.74,0.92,33.88,78.47,103.32,69.17,16.68
2017-03-13,泰州,63.99,0.74,20.77,89.91,65.34,42.2,10.95
2017-03-14,泰州,52.21,0.8,32.64,74.26,53.01,30.3,16.85
2017-03-15,泰州,68.37,0.98,50.93,73.68,71.71,46.08,19.75
2017-03-16,泰州,66.27,0.85,28.19,99.18,65.92,46.38,16.0
2017-03-17,泰州,68.12,1.01,32.65,94.23,66.27,47.9,16.84
2017-03-18,泰州,66.51,0.81,24.58,94.89,60.14,46.89,11.43
2017-03-19,泰州,70.1,0.83,25.45,100.41,65.83,50.13,12.56
2017-03-20,泰州,61.47,0.87,22.86,100.91,54.77,43.41,9.16
2017-03-21,泰州,100.64,1.01,24.32,103.81,92.64,74.6,12.49
2017-03-22,泰州,38.9,0.76,22.2,82.52,37.71,22.15,10.86
2017-03-23,泰州,39.92,0.82,19.65,92.42,37.2,23.33,8.08
2017-03-24,泰州,71.59,0.9,34.73,76.13,68.18,51.5,12.74
2017-03-25,泰州,90.7,0.83,40.18,67.07,90.09,66.88,14.55
2017-03-26,泰州,107.29,0.91,49.09,74.73,119.26,78.34,20.86
2017-03-27,泰州,91.79,0.89,56.25,70.39,97.26,65.73,31.02
2017-03-28,泰州,110.77,1.17,62.14,68.35,125.5,79.98,29.9
2017-03-29,泰州,76.96,0.64,18.34,114.95,73.1,55.8,10.71
2017-03-30,泰州,66.47,0.64,20.21,97.36,60.76,47.14,11.18
2017-03-31,泰州,68.24,0.71,22.53,105.08,67.01,48.13,12.79
2017-04-01,泰州,124.29,0.99,61.01,75.18,117.09,93.07,22.26
2017-04-02,泰州,100.86,1.01,61.66,86.29,109.03,74.27,27.92
2017-04-03,泰州,102.46,1.17,49.57,103.34,106.89,72.36,25.21
2017-04-04,泰州,85.1,1.23,49.64,95.02,95.08,61.1,24.08
2017-04-05,泰州,116.74,1.22,43.6,70.68,109.25,88.0,16.68
2017-04-06,泰州,122.8,0.98,26.15,74.84,109.19,92.53,10.07
2017-04-07,泰州,60.65,0.59,18.98,97.0,54.19,42.83,9.01
2017-04-08,泰州,104.29,0.96,25.23,77.92,96.4,77.85,10.96
2017-04-09,泰州,51.09,0.66,18.03,104.97,48.58,28.64,9.76
2017-04-10,泰州,45.38,0.7,23.59,83.14,44.06,25.72,12.28
2017-04-11,泰州,84.06,1.05,31.62,89.44,79.83,61.8,13.2
2017-04-12,泰州,99.33,0.99,42.77,103.7,106.7,66.26,21.8
2017-04-13,泰州,80.05,0.87,57.25,109.83,87.79,49.62,25.25
2017-04-14,泰州,73.97,1.13,49.84,99.67,83.23,48.31,30.11
2017-04-15,泰州,113.83,1.4,59.39,124.57,120.25,78.79,35.35
2017-04-16,泰州,108.48,1.21,31.66,120.53,108.51,76.92,22.81
2017-04-17,泰州,73.96,1.1,29.81,85.61,79.83,47.28,14.15
2017-04-18,泰州,82.3,0.94,36.44,88.91,107.35,40.02,23.4
2017-04-19,泰州,82.57,1.14,54.86,89.95,97.63,50.91,21.3
2017-04-20,泰州,72.04,0.95,36.76,93.04,74.63,45.36,17.75
2017-04-21,泰州,66.65,0.72,22.71,106.5,70.36,43.52,17.74
2017-04-22,泰州,64.32,0.8,23.33,120.65,62.35,42.96,16.33
2017-04-23,泰州,92.1,1.03,36.08,132.82,80.3,56.28,20.06
2017-04-24,泰州,90.07,1.11,36.39,137.42,86.76,56.24,20.64
2017-04-25,泰州,98.75,1.34,47.56,77.57,110.47,71.38,23.11
2017-04-26,泰州,64.71,0.68,19.29,106.4,68.08,38.24,12.72
2017-04-27,泰州,56.77,0.72,37.98,94.9,57.93,27.15,15.79
2017-04-28,泰州,88.44,1.07,62.33,113.82,110.81,47.45,30.49
2017-04-29,泰州,89.18,1.2,56.36,118.39,111.17,50.11,32.33
2017-04-30,泰州,84.59,1.24,51.14,118.62,95.36,48.89,34.02
2017-05-01,泰州,91.08,1.09,41.23,107.22,101.66,57.36,20.33
2017-05-02,泰州,46.2,0.76,22.01,75.84,48.16,26.07,10.0
2017-05-03,泰州,43.44,0.69,18.07,93.44,44.65,18.28,11.44
2017-05-04,泰州,39.53,0.85,22.88,61.78,39.62,22.28,9.83
2017-05-05,泰州,41.34,0.74,18.85,69.3,41.13,24.41,9.8
2017-05-06,泰州,143.95,0.77,24.76,90.92,234.51,61.27,12.97
2017-05-07,泰州,155.46,1.21,38.05,116.78,257.35,87.48,21.43
2017-05-08,泰州,84.67,1.06,44.19,51.77,115.69,47.29,15.74
2017-05-09,泰州,66.33,0.88,25.92,67.01,80.11,42.26,11.39
2017-05-10,泰州,91.12,1.11,44.56,94.46,102.74,57.64,23.34
2017-05-11,泰州,97.89,1.52,65.75,76.78,129.12,70.14,34.41
2017-05-12,泰州,71.69,0.93,28.99,116.2,72.79,46.59,15.51
2017-05-13,泰州,72.45,0.91,26.59,117.61,80.1,36.74,21.94
2017-05-14,泰州,79.97,0.68,18.92,124.51,109.41,29.48,15.31
2017-05-15,泰州,62.07,0.74,25.81,89.61,73.57,28.35,16.45
2017-05-16,泰州,62.85,0.79,24.21,109.87,66.59,33.67,18.47
2017-05-17,泰州,98.26,1.09,45.18,123.42,100.11,59.47,28.65
2017-05-18,泰州,87.03,1.03,35.5,128.26,88.88,46.58,21.11
2017-05-19,泰州,83.84,1.17,39.28,100.03,99.56,57.42,19.35
2017-05-20,泰州,83.7,1.01,27.56,104.86,90.87,56.05,11.48
2017-05-21,泰州,77.51,1.15,31.11,102.59,80.27,46.74,12.94
2017-05-22,泰州,68.79,0.92,26.84,77.69,71.42,41.58,11.46
2017-05-23,泰州,53.52,0.75,23.38,64.36,60.73,33.31,10.93
2017-05-24,泰州,43.21,0.63,19.7,106.05,42.12,23.11,9.73
2017-05-25,泰州,89.78,0.87,39.91,118.66,80.53,49.1,19.41
