time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,淮安,173.25,1.72,64.22,21.13,196.9,131.97,32.27
2017-01-02,淮安,196.89,1.7,45.64,62.35,212.66,152.27,25.87
2017-01-03,淮安,257.36,2.15,60.8,51.82,287.14,209.38,36.55
2017-01-04,淮安,189.61,1.78,42.97,44.12,209.6,146.45,26.23
2017-01-05,淮安,60.66,0.76,15.13,81.15,63.8,37.77,9.72
2017-01-06,淮安,37.5,0.56,19.98,46.83,37.54,16.42,10.58
2017-01-07,淮安,24.05,0.67,24.13,38.83,21.81,11.1,9.22
2017-01-08,淮安,53.99,0.91,25.73,35.54,50.54,37.12,9.32
2017-01-09,淮安,139.66,1.62,42.22,36.92,153.97,105.97,23.85
2017-01-10,淮安,162.97,1.71,50.4,37.32,189.55,122.41,29.72
2017-01-11,淮安,97.01,1.07,42.35,49.98,124.48,66.53,31.64
2017-01-12,淮安,136.29,1.29,46.72,50.56,164.33,102.72,24.17
2017-01-13,淮安,159.28,1.51,47.77,32.46,201.05,121.19,34.9
2017-01-14,淮安,62.52,0.99,34.67,45.22,74.16,24.71,21.18
2017-01-15,淮安,56.27,0.61,26.46,47.36,61.34,29.01,15.47
2017-01-16,淮安,60.17,0.61,24.91,50.37,65.26,36.13,13.75
2017-01-17,淮安,93.36,0.81,36.06,48.69,99.74,67.52,23.05
2017-01-18,淮安,111.62,0.93,30.35,57.16,124.73,83.87,19.42
2017-01-19,淮安,116.39,0.96,33.41,51.12,141.48,83.5,17.86
2017-01-20,淮安,69.52,0.47,20.73,59.89,89.3,15.69,12.41
2017-01-21,淮安,79.22,0.75,37.89,39.95,100.22,48.27,25.27
2017-01-22,淮安,84.42,0.88,37.4,39.33,107.8,51.98,22.06
2017-01-23,淮安,69.94,0.73,25.7,56.7,83.82,45.27,15.84
2017-01-24,淮安,62.08,0.63,19.98,59.42,61.56,37.74,8.3
2017-01-25,淮安,96.84,0.91,29.01,68.03,107.42,71.48,12.89
2017-01-26,淮安,135.08,1.29,35.62,46.19,144.81,102.06,16.05
2017-01-27,淮安,135.03,1.14,17.43,67.51,164.31,88.11,14.76
2017-01-28,淮安,71.28,0.57,11.53,53.47,87.77,38.07,11.14
2017-01-29,淮安,61.15,0.84,14.39,32.72,57.07,42.63,6.03
2017-01-30,淮安,51.7,0.55,7.29,65.12,56.27,23.96,6.38
2017-01-31,淮安,45.22,0.53,12.57,60.64,46.35,24.49,9.84
2017-02-01,淮安,99.09,0.92,15.94,75.19,107.28,73.66,15.8
2017-02-02,淮安,65.11,0.76,21.57,67.54,76.13,40.76,14.72
2017-02-03,淮安,56.22,0.68,21.13,35.77,56.6,34.63,5.98
2017-02-04,淮安,97.87,0.87,22.11,30.89,107.25,72.5,5.97
2017-02-05,淮安,165.88,1.44,33.03,59.26,177.32,126.72,13.73
2017-02-06,淮安,125.79,1.26,25.31,73.64,143.78,89.4,17.51
2017-02-07,淮安,57.45,0.58,18.7,59.03,62.45,29.85,10.15
2017-02-08,淮安,80.41,0.79,20.88,48.57,76.66,58.53,6.25
2017-02-09,淮安,94.66,0.91,26.11,49.17,99.26,58.61,16.1
2017-02-10,淮安,68.74,0.84,29.56,53.59,86.02,37.24,30.02
2017-02-11,淮安,83.5,0.89,36.95,56.63,102.42,54.54,29.77
2017-02-12,淮安,100.62,1.03,42.45,72.67,111.71,74.53,25.88
2017-02-13,淮安,147.99,1.53,71.01,51.94,172.53,109.98,39.2
2017-02-14,淮安,173.99,1.41,63.97,68.27,199.5,132.99,31.31
2017-02-15,淮安,153.22,1.28,45.13,87.86,196.41,110.15,22.4
2017-02-16,淮安,123.79,1.5,64.11,40.06,170.61,86.34,24.64
2017-02-17,淮安,78.51,0.62,21.02,63.58,101.74,32.92,10.39
2017-02-18,淮安,56.51,0.58,30.93,60.14,62.87,24.15,15.5
2017-02-19,淮安,130.03,1.46,59.48,36.94,166.5,92.03,27.36
2017-02-20,淮安,104.47,0.73,21.2,68.86,133.51,45.57,12.58
2017-02-21,淮安,48.47,0.46,17.23,66.86,51.63,19.63,7.1
2017-02-22,淮安,104.86,0.85,27.41,42.92,108.71,78.2,11.8
2017-02-23,淮安,147.57,1.17,36.1,62.44,158.7,110.34,26.34
2017-02-24,淮安,95.52,0.92,40.41,75.82,115.46,65.0,20.39
2017-02-25,淮安,114.74,1.01,53.18,78.18,141.0,79.1,27.52
2017-02-26,淮安,123.72,0.96,51.83,62.77,154.63,82.98,30.94
2017-02-27,淮安,74.58,0.77,40.73,70.38,88.49,43.62,24.54
2017-02-28,淮安,107.32,0.89,48.22,89.9,136.64,71.79,23.07
2017-03-01,淮安,106.45,0.92,32.87,74.63,129.81,68.48,24.03
2017-03-02,淮安,67.24,0.69,35.87,54.92,82.15,34.87,18.98
2017-03-03,淮安,89.4,0.87,53.53,59.39,118.97,55.98,22.43
2017-03-04,淮安,150.68,1.25,70.39,62.16,192.93,107.39,31.92
2017-03-05,淮安,135.82,1.01,47.44,85.99,171.68,89.79,22.41
2017-03-06,淮安,58.83,0.66,31.45,74.74,69.25,22.21,16.53
2017-03-07,淮安,80.53,0.74,38.39,64.81,99.87,48.86,20.17
2017-03-08,淮安,76.83,0.72,38.86,55.97,98.17,38.72,18.95
2017-03-09,淮安,91.23,0.93,55.59,60.48,122.18,55.57,22.44
2017-03-10,淮安,149.88,1.23,68.78,75.38,196.43,110.42,35.24
2017-03-11,淮安,109.21,0.96,47.96,74.15,135.04,70.96,20.46
2017-03-12,淮安,131.89,0.97,30.8,107.58,160.7,87.28,22.01
2017-03-13,淮安,64.94,0.54,23.92,73.79,78.11,23.09,12.22
2017-03-14,淮安,60.93,0.63,34.42,68.36,70.73,26.37,16.97
2017-03-15,淮安,68.52,0.66,36.21,76.25,80.83,39.44,21.76
