time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,苏州,91.06,1.23,82.64,18.74,88.4,65.99,18.55
2017-01-02,苏州,137.94,1.65,83.47,20.29,134.02,104.45,28.54
2017-01-03,苏州,182.97,1.73,87.47,26.26,154.52,139.67,21.61
2017-01-04,苏州,103.82,1.42,94.5,12.88,109.09,76.78,20.59
2017-01-05,苏州,39.12,0.88,48.9,57.52,27.76,26.06,10.85
2017-01-06,苏州,42.03,0.9,50.84,33.89,41.02,26.11,11.72
2017-01-07,苏州,36.17,0.99,42.5,33.63,18.32,21.49,11.87
2017-01-08,苏州,116.02,1.67,43.43,19.96,97.36,87.52,14.76
2017-01-09,苏州,125.92,1.28,43.15,43.98,114.51,95.08,25.45
2017-01-10,苏州,139.89,1.35,51.49,49.93,110.34,106.35,26.57
2017-01-11,苏州,68.14,0.84,44.41,56.41,56.99,48.95,19.16
2017-01-12,苏州,83.3,0.96,54.65,28.42,77.07,61.31,19.86
2017-01-13,苏州,127.83,1.23,61.37,39.1,120.75,96.58,31.81
2017-01-14,苏州,67.31,0.91,38.33,59.73,48.32,46.48,20.42
2017-01-15,苏州,32.64,0.5,29.77,61.11,29.66,19.28,13.64
2017-01-16,苏州,41.1,0.56,41.14,49.73,34.83,27.94,13.37
2017-01-17,苏州,78.17,0.88,72.09,24.66,69.39,57.55,17.14
2017-01-18,苏州,62.69,0.76,59.3,33.76,46.09,45.09,12.39
2017-01-19,苏州,122.16,1.04,60.6,40.31,107.1,92.36,18.62
2017-01-20,苏州,83.84,0.68,35.2,60.28,92.64,46.99,20.01
2017-01-21,苏州,58.22,0.71,47.33,52.78,54.0,41.44,17.46
2017-01-22,苏州,90.16,1.02,57.03,41.98,83.13,66.42,25.11
2017-01-23,苏州,48.61,0.64,42.65,58.2,44.19,33.34,16.65
2017-01-24,苏州,49.7,0.61,45.97,53.54,38.87,34.93,17.42
2017-01-25,苏州,102.65,0.85,50.61,64.76,75.16,76.81,18.48
2017-01-26,苏州,105.68,0.9,41.24,61.13,78.67,79.24,14.4
2017-01-27,苏州,90.63,0.75,28.22,60.95,82.92,55.28,12.85
2017-01-28,苏州,68.88,0.69,21.32,75.5,84.7,36.15,13.27
2017-01-29,苏州,86.0,0.99,29.16,52.54,79.68,62.79,13.51
2017-01-30,苏州,48.49,0.59,12.55,67.28,48.18,30.72,10.23
2017-01-31,苏州,29.74,0.51,17.84,71.34,25.08,18.06,12.42
2017-02-01,苏州,62.41,0.72,19.62,68.02,37.92,45.08,12.08
2017-02-02,苏州,60.47,0.71,22.39,79.52,38.49,41.93,14.16
2017-02-03,苏州,36.57,0.72,40.78,34.66,27.75,24.75,11.62
2017-02-04,苏州,79.58,1.34,50.01,15.38,68.94,58.37,10.76
2017-02-05,苏州,139.43,1.4,42.41,37.68,121.36,105.08,13.65
2017-02-06,苏州,101.55,0.91,38.63,64.26,49.8,72.96,12.09
2017-02-07,苏州,33.18,0.51,26.56,71.8,31.54,18.48,10.36
2017-02-08,苏州,44.53,0.57,27.55,60.28,28.58,31.32,8.9
2017-02-09,苏州,119.38,1.04,32.54,67.3,95.65,89.88,18.36
2017-02-10,苏州,73.2,0.87,36.53,65.96,60.91,48.27,25.73
2017-02-11,苏州,66.06,0.99,47.49,55.72,62.03,47.35,24.6
2017-02-12,苏州,104.51,1.15,67.49,49.09,99.3,78.27,29.61
