time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,连云港,110.24,1.32,61.39,52.66,137.04,81.98,49.99
2017-01-02,连云港,142.78,1.85,64.37,58.13,183.71,108.11,55.92
2017-01-03,连云港,167.93,2.09,64.99,40.98,215.45,125.71,46.04
2017-01-04,连云港,172.16,2.33,65.89,37.74,215.4,133.18,32.22
2017-01-05,连云港,53.57,1.01,26.8,74.05,59.58,33.62,17.53
2017-01-06,连云港,44.1,0.95,39.12,43.12,45.8,26.88,17.64
2017-01-07,连云港,25.79,0.8,28.89,54.82,18.65,13.53,13.17
2017-01-08,连云港,46.47,1.25,34.12,40.98,42.25,32.1,17.09
2017-01-09,连云港,106.9,1.93,58.86,34.21,119.83,80.13,37.77
2017-01-10,连云港,107.57,1.92,58.99,37.31,143.3,79.03,33.64
2017-01-11,连云港,64.45,1.12,48.23,43.07,76.23,42.08,32.55
2017-01-12,连云港,138.71,1.56,57.03,43.25,165.23,104.53,38.05
2017-01-13,连云港,124.64,1.59,53.27,38.22,150.09,92.92,34.4
2017-01-14,连云港,42.27,0.93,34.86,52.58,43.66,19.88,29.52
2017-01-15,连云港,34.98,0.55,27.49,54.0,34.67,18.5,21.32
2017-01-16,连云港,53.84,0.85,47.02,39.59,59.1,34.78,34.48
2017-01-17,连云港,59.17,0.88,47.16,48.71,61.87,40.1,38.1
2017-01-18,连云港,87.92,1.15,51.62,44.73,92.06,64.71,30.21
2017-01-19,连云港,122.05,1.28,51.01,44.72,133.53,91.65,29.91
2017-01-20,连云港,46.6,0.51,25.81,61.98,52.88,17.25,22.63
2017-01-21,连云港,58.2,0.73,37.73,50.27,66.33,38.62,34.2
2017-01-22,连云港,44.09,0.71,34.06,51.62,45.68,24.29,29.02
2017-01-23,连云港,45.67,0.8,36.92,50.53,47.12,28.74,30.3
2017-01-24,连云港,36.54,0.56,28.57,65.08,35.36,21.68,25.19
2017-01-25,连云港,59.82,0.75,31.86,76.42,59.93,41.98,31.35
2017-01-26,连云港,91.13,0.92,25.85,70.09,88.11,67.51,26.41
2017-01-27,连云港,89.59,1.02,22.62,68.93,92.84,55.98,21.41
2017-01-28,连云港,39.51,0.47,18.96,65.16,41.0,17.25,21.19
2017-01-29,连云港,39.89,0.84,22.16,49.97,36.99,25.93,13.55
