time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,金坛,198.42,2.24,82.08,13.87,203.39,155.0,20.53
2017-01-02,金坛,134.1,1.92,65.03,11.28,143.93,101.35,20.77
2017-01-03,金坛,159.3,2.18,75.48,20.7,182.86,120.95,17.52
2017-01-04,金坛,162.9,1.97,76.29,10.98,190.92,124.6,17.62
2017-01-05,金坛,54.6,0.91,40.19,36.62,55.29,39.0,5.62
2017-01-06,金坛,46.77,0.78,36.48,26.33,43.84,32.6,5.15
2017-01-07,金坛,42.39,0.92,40.11,18.5,28.81,29.52,5.65
2017-01-08,金坛,110.56,1.41,37.77,18.96,101.14,83.08,8.79
2017-01-09,金坛,111.67,1.27,34.5,30.72,98.78,84.09,15.26
2017-01-10,金坛,128.17,1.29,32.83,35.27,120.04,97.19,12.52
2017-01-11,金坛,82.27,1.08,28.25,38.9,90.12,60.29,12.29
2017-01-12,金坛,77.02,1.07,22.56,37.27,72.37,56.31,15.98
2017-01-13,金坛,96.85,1.32,28.04,34.44,100.75,71.6,16.1
2017-01-14,金坛,66.6,1.04,22.73,37.79,71.58,43.92,10.56
2017-01-15,金坛,46.5,0.85,21.12,35.4,47.23,25.98,8.17
2017-01-16,金坛,62.92,1.13,27.79,26.91,63.02,44.31,13.36
2017-01-17,金坛,97.71,1.48,33.82,17.93,88.44,72.51,15.41
2017-01-18,金坛,79.98,1.34,32.62,24.46,70.04,58.71,8.79
2017-01-19,金坛,108.02,1.52,38.88,30.85,96.33,81.12,13.17
2017-01-20,金坛,65.15,0.99,24.54,49.85,79.11,29.75,13.1
2017-01-21,金坛,72.77,1.09,52.0,31.83,79.29,49.79,16.83
2017-01-22,金坛,87.35,1.11,51.5,29.6,97.33,63.62,15.79
2017-01-23,金坛,76.73,1.46,58.12,29.15,83.65,55.02,16.31
2017-01-24,金坛,52.96,1.04,43.9,36.17,51.49,35.02,12.44
2017-01-25,金坛,102.21,2.29,40.48,50.04,94.27,76.31,15.62
2017-01-26,金坛,107.03,2.39,35.88,42.82,91.19,80.09,12.82
2017-01-27,金坛,129.17,2.18,31.5,37.25,134.33,88.96,13.9
2017-01-28,金坛,112.98,0.93,22.79,49.67,127.45,84.3,15.72
2017-01-29,金坛,98.11,1.5,24.02,34.46,89.33,73.17,14.54
2017-01-30,金坛,53.38,1.56,15.5,45.98,52.93,32.38,11.94
2017-01-31,金坛,42.6,1.42,22.85,43.6,38.62,28.08,15.83
2017-02-01,金坛,101.35,1.43,21.77,47.73,81.05,74.65,14.44
2017-02-02,金坛,92.87,1.69,28.19,50.32,74.86,67.06,17.72
2017-02-03,金坛,59.08,1.71,32.77,27.52,43.97,42.06,15.12
2017-02-04,金坛,89.85,1.94,37.26,18.96,76.45,66.43,21.24
2017-02-05,金坛,148.02,2.16,36.33,37.62,131.5,112.56,22.46
2017-02-06,金坛,121.88,1.71,44.42,37.98,115.04,87.35,29.46
2017-02-07,金坛,45.43,0.61,30.24,40.02,46.07,24.11,12.22
2017-02-08,金坛,59.65,0.64,23.52,42.04,33.08,43.25,9.88
2017-02-09,金坛,113.48,0.9,23.29,64.31,106.19,85.1,19.29
