time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,镇江,174.74,1.6,95.67,14.72,198.2,132.36,27.12
2017-01-02,镇江,156.1,1.26,75.97,22.62,176.51,118.01,16.96
2017-01-03,镇江,211.03,2.09,81.07,41.51,231.36,163.9,25.61
2017-01-04,镇江,175.51,1.73,73.47,19.18,209.29,135.38,19.62
2017-01-05,镇江,52.39,0.81,31.95,74.54,60.95,32.38,7.01
2017-01-06,镇江,40.61,0.7,37.09,43.71,39.14,24.5,6.64
2017-01-07,镇江,54.15,1.05,52.11,21.37,45.65,35.26,11.82
2017-01-08,镇江,92.15,1.24,52.2,14.94,92.04,67.67,12.2
2017-01-09,镇江,118.72,1.23,48.89,39.11,116.23,89.67,19.67
2017-01-10,镇江,125.7,1.18,46.89,55.67,120.06,94.98,18.45
2017-01-11,镇江,88.89,0.95,55.11,54.26,105.92,63.83,18.46
2017-01-12,镇江,117.02,1.25,74.77,33.03,134.06,87.77,25.22
2017-01-13,镇江,114.36,1.23,65.67,36.09,139.13,84.71,27.2
2017-01-14,镇江,63.36,0.74,30.75,58.12,72.02,37.27,11.65
2017-01-15,镇江,43.58,0.59,25.02,54.66,43.47,22.44,7.91
2017-01-16,镇江,55.15,0.69,37.51,44.15,56.03,34.64,10.35
2017-01-17,镇江,95.05,0.98,53.07,36.85,98.0,70.14,18.57
2017-01-18,镇江,84.73,0.8,38.84,47.34,78.76,62.47,8.48
2017-01-19,镇江,125.64,1.0,52.09,27.77,115.45,94.94,11.77
2017-01-20,镇江,71.38,0.66,27.25,59.03,92.74,26.8,10.93
2017-01-21,镇江,72.24,1.05,53.19,31.57,83.13,48.98,17.1
2017-01-22,镇江,78.74,0.9,45.54,41.36,93.76,53.17,14.57
2017-01-23,镇江,75.12,0.87,37.35,54.42,86.82,51.85,19.78
2017-01-24,镇江,66.69,0.85,36.69,52.98,67.17,45.05,22.19
2017-01-25,镇江,118.42,1.04,45.26,58.74,114.65,89.31,18.06
2017-01-26,镇江,123.66,1.06,37.68,50.57,122.83,93.28,11.41
2017-01-27,镇江,107.85,0.88,23.91,62.02,117.04,64.99,9.72
2017-01-28,镇江,116.62,0.9,24.25,64.01,135.66,83.99,15.01
2017-01-29,镇江,93.33,1.09,28.75,32.14,96.46,68.34,5.77
2017-01-30,镇江,54.04,0.69,12.76,64.7,56.03,28.59,3.72
2017-01-31,镇江,45.16,0.63,18.03,64.35,41.49,27.82,8.35
2017-02-01,镇江,89.96,0.8,17.75,71.92,66.42,65.66,7.85
2017-02-02,镇江,73.0,0.92,26.07,70.64,75.14,50.06,15.03
2017-02-03,镇江,70.45,0.92,40.29,25.82,60.5,50.64,13.05
2017-02-04,镇江,130.62,1.29,55.52,11.27,138.81,98.16,12.78
2017-02-05,镇江,160.62,1.23,42.05,50.52,160.57,121.17,10.09
2017-02-06,镇江,125.48,1.0,36.47,61.57,128.46,90.2,14.52
2017-02-07,镇江,45.66,0.61,21.97,67.88,46.26,25.34,8.17
2017-02-08,镇江,68.99,0.73,25.5,53.01,48.47,49.56,3.91
2017-02-09,镇江,140.27,0.99,31.35,65.64,127.15,104.64,13.04
2017-02-10,镇江,70.12,0.75,33.27,62.95,83.11,41.06,16.47
2017-02-11,镇江,72.44,0.84,47.51,57.79,75.88,49.94,20.33
2017-02-12,镇江,112.81,1.09,58.07,58.91,112.95,84.58,27.72
2017-02-13,镇江,149.77,1.27,85.26,54.84,149.95,112.88,32.98
2017-02-14,镇江,187.35,1.6,99.75,53.91,190.12,144.21,42.6
2017-02-15,镇江,160.83,1.26,72.52,80.15,166.43,120.8,32.68
2017-02-16,镇江,143.84,1.26,74.1,39.58,157.99,103.62,21.2
2017-02-17,镇江,114.05,0.79,40.97,49.41,133.39,63.15,10.59
2017-02-18,镇江,73.31,0.84,37.91,63.08,77.26,46.26,16.83
2017-02-19,镇江,122.32,1.05,51.24,54.17,129.1,91.84,17.83
2017-02-20,镇江,92.97,0.8,29.88,65.51,117.75,47.73,11.74
2017-02-21,镇江,57.19,0.73,32.79,64.68,64.99,31.74,12.41
2017-02-22,镇江,95.42,0.83,36.43,35.1,81.94,70.44,5.81
2017-02-23,镇江,119.15,0.98,42.81,58.08,110.55,89.24,14.32
2017-02-24,镇江,140.76,1.01,53.11,74.3,121.94,105.33,24.56
2017-02-25,镇江,158.75,1.18,70.17,66.54,153.49,120.1,29.2
2017-02-26,镇江,154.62,1.11,75.01,63.11,161.17,115.03,30.67
2017-02-27,镇江,105.29,0.91,53.09,65.74,105.49,76.24,23.99
2017-02-28,镇江,107.02,0.85,43.82,92.93,115.6,79.62,20.52
2017-03-01,镇江,119.24,0.89,49.98,61.36,139.62,84.0,20.41
2017-03-02,镇江,64.45,0.69,40.22,62.66,75.21,37.0,14.99
2017-03-03,镇江,101.41,0.85,62.1,61.36,113.46,74.61,21.66
2017-03-04,镇江,160.84,1.15,88.27,63.08,179.2,121.71,35.29
2017-03-05,镇江,111.82,0.74,54.46,77.07,133.6,79.74,19.73
2017-03-06,镇江,79.68,0.55,34.83,74.66,82.92,46.28,14.74
2017-03-07,镇江,102.62,0.8,55.59,60.58,116.66,75.43,24.58
2017-03-08,镇江,78.64,0.69,42.66,65.23,87.83,50.72,17.72
2017-03-09,镇江,117.07,0.89,64.96,61.67,128.98,87.16,31.97
2017-03-10,镇江,158.99,1.12,85.23,73.45,182.83,117.09,36.21
2017-03-11,镇江,85.33,0.77,47.96,80.6,98.35,59.15,17.93
2017-03-12,镇江,102.47,0.87,52.69,70.41,118.24,72.72,24.95
2017-03-13,镇江,67.34,0.54,25.56,88.65,71.41,39.83,7.55
2017-03-14,镇江,52.79,0.5,39.85,73.93,55.9,27.32,13.6
2017-03-15,镇江,71.73,0.75,50.45,72.17,77.13,48.92,20.36
2017-03-16,镇江,98.31,0.85,52.51,66.73,106.65,71.79,20.96
2017-03-17,镇江,97.98,0.92,59.78,67.9,105.53,71.7,26.32
2017-03-18,镇江,87.77,0.78,47.27,62.73,85.39,63.8,11.77
2017-03-19,镇江,78.34,0.79,49.03,75.49,79.27,56.88,16.24
2017-03-20,镇江,69.21,0.75,43.0,69.02,63.57,48.84,8.29
2017-03-21,镇江,99.23,0.67,34.64,100.88,96.78,69.84,10.17
2017-03-22,镇江,55.43,0.68,44.11,62.42,60.15,30.19,14.53
2017-03-23,镇江,46.84,0.54,30.39,80.2,45.23,29.28,6.98
