time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,上饶,137.57,1.87,61.22,35.36,182.36,99.35,77.34
2017-01-01,九江,133.67,1.28,56.97,35.92,139.5,100.04,26.36
2017-01-01,南昌,130.64,2.05,81.13,31.81,184.73,95.72,29.78
2017-01-01,吉安,133.67,0.82,66.34,35.69,148.36,100.13,55.16
2017-01-01,宜春,134.17,1.39,43.2,56.7,148.76,101.94,69.89
2017-01-01,抚州,142.64,1.45,45.85,35.44,149.07,108.18,34.81
2017-01-01,新余,144.2,1.51,52.29,37.16,167.63,111.88,48.03
2017-01-01,景德镇,95.84,0.99,39.19,16.75,124.21,69.16,14.02
2017-01-01,萍乡,140.38,1.84,39.04,32.41,170.4,111.2,53.67
2017-01-01,赣州,127.57,1.98,60.27,57.33,154.46,93.01,56.43
2017-01-01,鹰潭,130.81,0.87,50.38,35.2,136.49,98.78,39.69
2017-01-02,上饶,148.26,1.33,72.06,37.52,199.24,112.25,129.56
2017-01-02,九江,152.69,1.1,52.21,61.42,142.17,115.53,37.29
2017-01-02,南昌,123.43,1.54,47.21,54.6,143.11,93.55,28.98
2017-01-02,吉安,151.57,0.82,47.69,68.15,158.96,115.27,76.87
2017-01-02,宜春,164.96,2.24,59.11,36.14,184.83,125.32,50.81
2017-01-02,抚州,154.92,1.3,30.76,64.52,157.71,110.36,21.98
2017-01-02,新余,148.72,1.72,56.64,36.59,169.51,112.89,50.76
2017-01-02,景德镇,105.55,1.14,47.0,25.58,129.4,77.53,20.87
2017-01-02,萍乡,197.54,1.77,43.38,20.19,225.7,153.2,39.43
2017-01-02,赣州,137.16,1.86,36.89,68.01,156.66,103.03,59.02
2017-01-02,鹰潭,140.04,0.96,51.09,45.03,138.83,105.69,30.79
2017-01-03,上饶,153.82,1.49,64.75,54.02,197.58,112.91,67.45
2017-01-03,九江,229.69,1.29,49.19,58.01,159.0,183.74,25.33
2017-01-03,南昌,179.22,1.85,51.1,60.04,198.36,137.41,32.09
2017-01-03,吉安,129.02,0.85,41.1,98.43,139.18,97.83,49.78
2017-01-03,宜春,224.77,2.45,67.71,33.33,249.31,174.77,59.83
2017-01-03,抚州,192.47,1.58,30.09,78.4,187.25,147.8,19.62
2017-01-03,新余,147.31,1.36,46.63,55.28,161.26,111.67,49.39
2017-01-03,景德镇,136.76,1.27,44.3,26.9,159.8,103.23,17.16
2017-01-03,萍乡,263.95,2.37,50.08,21.87,315.17,214.68,45.59
2017-01-03,赣州,149.5,2.25,48.43,64.88,172.97,113.78,64.95
2017-01-03,鹰潭,182.62,1.16,55.24,47.34,174.43,139.6,39.11
2017-01-04,上饶,197.1,1.51,78.04,45.72,258.16,147.0,83.64
2017-01-04,九江,,,,,,,
2017-01-04,南昌,215.75,2.02,61.39,26.41,253.14,167.59,31.04
2017-01-04,吉安,181.0,1.19,68.29,72.06,197.81,138.41,67.79
2017-01-04,宜春,207.56,1.92,54.46,53.23,227.84,159.17,57.52
2017-01-04,抚州,215.45,1.77,38.67,63.29,216.65,166.1,30.48
2017-01-04,新余,212.65,1.77,55.1,53.15,227.59,164.78,56.85
2017-01-04,景德镇,139.66,1.29,42.19,18.53,155.43,105.95,12.03
2017-01-04,萍乡,251.53,2.72,48.43,28.6,295.82,202.4,40.67
2017-01-04,赣州,180.0,2.69,72.77,55.3,221.06,133.84,70.72
2017-01-04,鹰潭,233.34,1.46,69.96,54.9,225.98,183.38,53.27
2017-01-05,上饶,174.59,1.35,70.71,41.19,227.83,131.71,67.71
2017-01-05,九江,115.61,1.56,52.93,26.24,52.94,86.56,12.44
2017-01-05,南昌,171.22,2.19,62.35,12.19,211.96,131.53,21.04
2017-01-05,吉安,221.21,1.29,67.91,55.98,253.84,171.33,58.61
2017-01-05,宜春,227.97,2.16,57.98,23.3,249.7,178.07,44.61
2017-01-05,抚州,195.68,1.9,54.28,17.6,197.59,153.78,21.85
2017-01-05,新余,216.18,1.91,59.57,17.01,244.8,167.92,53.39
2017-01-05,景德镇,133.37,1.51,38.56,5.53,136.36,100.98,10.98
2017-01-05,萍乡,234.5,2.72,45.87,8.95,266.32,190.29,43.28
2017-01-05,赣州,166.51,2.53,62.42,38.54,208.38,125.49,51.31
2017-01-05,鹰潭,208.95,1.38,62.73,21.61,200.53,162.09,41.97
2017-01-06,上饶,65.77,0.98,46.52,18.14,75.45,41.86,26.1
2017-01-06,九江,29.91,0.89,22.48,36.3,21.83,20.02,10.31
2017-01-06,南昌,27.89,1.14,29.62,16.68,28.63,14.59,8.53
2017-01-06,吉安,96.25,1.23,56.59,15.27,102.13,70.6,20.6
2017-01-06,宜春,93.67,2.7,37.92,11.23,92.03,69.17,17.07
2017-01-06,抚州,51.56,1.13,33.97,11.96,44.08,35.99,5.91
2017-01-06,新余,57.16,1.73,46.16,6.59,58.67,38.61,18.0
2017-01-06,景德镇,37.04,1.26,25.18,5.62,33.73,22.64,4.47
2017-01-06,萍乡,57.85,2.36,26.67,1.92,59.76,39.83,21.09
2017-01-06,赣州,138.6,2.25,40.82,27.55,144.03,104.94,36.75
2017-01-06,鹰潭,44.37,1.01,48.72,5.03,38.16,30.2,12.84
2017-01-07,上饶,40.66,1.05,38.92,9.98,41.74,25.36,33.79
