time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,九江,133.67,1.28,56.97,35.92,139.5,100.04,26.36
2017-01-02,九江,152.69,1.1,52.21,61.42,142.17,115.53,37.29
2017-01-03,九江,229.69,1.29,49.19,58.01,159.0,183.74,25.33
2017-01-04,九江,,,,,,,
2017-01-05,九江,115.61,1.56,52.93,26.24,52.94,86.56,12.44
2017-01-06,九江,29.91,0.89,22.48,36.3,21.83,20.02,10.31
2017-01-07,九江,31.39,1.14,31.02,18.64,35.38,19.75,13.08
2017-01-08,九江,58.88,1.17,29.81,38.3,57.97,40.28,21.84
2017-01-09,九江,103.65,1.31,22.36,68.48,90.02,77.62,24.7
2017-01-10,九江,122.66,1.29,30.28,47.38,98.02,92.81,26.36
2017-01-11,九江,109.34,1.2,30.84,41.98,75.94,82.3,23.29
2017-01-12,九江,94.68,1.23,35.02,37.24,71.32,70.55,19.77
2017-01-13,九江,111.77,1.18,36.38,54.27,104.06,84.02,25.12
2017-01-14,九江,105.07,0.99,31.86,60.54,91.53,78.62,20.05
2017-01-15,九江,62.47,0.71,25.3,59.21,55.45,44.41,15.61
2017-01-16,九江,64.04,0.7,30.9,50.2,62.37,45.27,15.64
2017-01-17,九江,82.23,0.85,38.68,38.09,74.56,60.52,19.31
2017-01-18,九江,96.38,0.84,46.7,19.79,80.2,71.85,17.19
2017-01-19,九江,109.72,0.97,43.43,19.19,99.29,82.31,18.39
2017-01-20,九江,101.17,0.74,22.18,64.2,101.86,72.14,17.11
2017-01-21,九江,75.53,0.8,34.15,59.2,92.58,49.92,21.23
2017-01-22,九江,96.82,0.86,38.79,63.44,103.49,71.94,18.85
2017-01-23,九江,97.28,0.82,36.32,63.28,94.3,72.14,25.25
2017-01-24,九江,88.0,0.83,32.35,64.58,82.94,64.0,21.49
2017-01-25,九江,77.71,0.78,30.86,56.43,73.48,56.35,18.01
2017-01-26,九江,83.15,0.93,24.6,52.57,70.81,60.1,10.91
2017-01-27,九江,130.74,0.99,20.25,68.14,152.86,99.01,19.82
2017-01-28,九江,181.13,0.91,21.66,62.97,180.31,141.83,30.92
2017-01-29,九江,145.68,0.89,22.91,41.98,135.66,110.22,13.07
2017-01-30,九江,85.18,0.75,9.47,68.23,83.6,62.9,13.02
