time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南昌,130.64,2.05,81.13,31.81,184.73,95.72,29.78
2017-01-02,南昌,123.43,1.54,47.21,54.6,143.11,93.55,28.98
2017-01-03,南昌,179.22,1.85,51.1,60.04,198.36,137.41,32.09
2017-01-04,南昌,215.75,2.02,61.39,26.41,253.14,167.59,31.04
2017-01-05,南昌,171.22,2.19,62.35,12.19,211.96,131.53,21.04
2017-01-06,南昌,27.89,1.14,29.62,16.68,28.63,14.59,8.53
2017-01-07,南昌,17.77,1.11,25.28,11.38,17.25,8.87,5.68
2017-01-08,南昌,30.05,1.15,21.74,37.61,30.43,15.02,6.35
2017-01-09,南昌,82.87,1.6,28.16,58.73,86.35,59.52,19.5
2017-01-10,南昌,112.41,1.55,32.32,43.77,112.46,84.75,21.07
2017-01-11,南昌,102.63,1.48,36.02,25.89,105.36,76.64,16.14
2017-01-12,南昌,63.29,1.39,32.75,33.62,61.39,44.06,10.17
2017-01-13,南昌,67.38,1.13,37.72,41.79,77.49,45.18,13.45
2017-01-14,南昌,95.9,1.08,37.45,56.79,111.71,69.28,23.92
2017-01-15,南昌,71.99,0.89,38.77,43.39,85.23,49.1,18.81
2017-01-16,南昌,70.5,0.97,37.31,47.69,85.24,47.66,19.29
2017-01-17,南昌,74.51,0.87,37.46,35.33,80.68,53.24,13.83
2017-01-18,南昌,89.45,1.11,51.14,12.53,98.02,65.85,16.01
2017-01-19,南昌,100.28,1.05,40.23,15.94,104.98,74.68,11.0
2017-01-20,南昌,114.44,0.98,28.23,61.08,132.89,84.19,16.48
2017-01-21,南昌,77.75,0.92,45.06,36.75,103.26,42.05,21.92
2017-01-22,南昌,95.94,0.99,43.53,53.32,120.31,67.65,16.44
2017-01-23,南昌,77.68,0.98,34.74,63.35,92.94,52.2,20.3
2017-01-24,南昌,77.29,1.02,30.69,61.37,89.75,54.18,14.79
2017-01-25,南昌,73.93,1.05,31.85,41.8,86.49,51.51,13.97
2017-01-26,南昌,97.16,1.32,38.76,23.4,113.14,68.77,8.25
2017-01-27,南昌,98.97,1.15,20.93,56.6,119.79,69.28,10.41
2017-01-28,南昌,225.07,1.64,28.3,50.16,256.72,177.85,37.03
2017-01-29,南昌,134.43,1.39,21.76,44.65,143.96,101.42,10.05
2017-01-30,南昌,89.65,1.23,11.41,60.72,105.76,63.68,9.16
2017-01-31,南昌,66.34,0.96,16.56,53.79,72.06,45.3,12.46
2017-02-01,南昌,77.03,1.03,17.23,47.38,79.69,55.43,10.08
