time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,吉安,133.67,0.82,66.34,35.69,148.36,100.13,55.16
2017-01-02,吉安,151.57,0.82,47.69,68.15,158.96,115.27,76.87
2017-01-03,吉安,129.02,0.85,41.1,98.43,139.18,97.83,49.78
2017-01-04,吉安,181.0,1.19,68.29,72.06,197.81,138.41,67.79
2017-01-05,吉安,221.21,1.29,67.91,55.98,253.84,171.33,58.61
2017-01-06,吉安,96.25,1.23,56.59,15.27,102.13,70.6,20.6
2017-01-07,吉安,49.15,1.62,38.91,10.79,48.1,32.14,17.75
2017-01-08,吉安,47.33,1.13,32.84,21.89,45.75,29.8,16.77
2017-01-09,吉安,67.72,0.78,23.2,72.32,67.41,48.29,22.07
2017-01-10,吉安,114.0,0.96,29.62,64.52,113.35,85.88,32.09
2017-01-11,吉安,101.76,1.04,35.41,29.06,97.89,76.08,18.45
2017-01-12,吉安,56.97,1.11,30.21,39.85,50.44,39.75,12.92
2017-01-13,吉安,65.09,0.88,23.35,63.88,63.4,46.2,18.06
2017-01-14,吉安,94.98,0.73,31.73,62.92,99.65,70.7,32.01
2017-01-15,吉安,89.25,0.7,35.19,56.54,104.46,65.9,33.21
2017-01-16,吉安,100.1,0.73,43.27,48.66,116.21,74.71,31.99
2017-01-17,吉安,89.48,0.51,32.92,46.2,96.69,64.47,21.24
2017-01-18,吉安,64.18,0.64,38.88,23.83,60.22,45.87,12.39
2017-01-19,吉安,68.05,0.7,42.83,19.8,62.52,48.73,16.55
2017-01-20,吉安,101.43,0.72,28.3,82.14,111.07,74.3,23.48
2017-01-21,吉安,98.06,0.55,29.83,82.43,124.04,72.53,29.51
2017-01-22,吉安,95.62,0.69,31.33,79.21,113.45,71.02,21.47
2017-01-23,吉安,95.38,0.6,28.1,88.88,110.53,71.01,24.57
2017-01-24,吉安,92.29,0.53,27.12,80.18,105.2,68.49,24.98
2017-01-25,吉安,93.44,0.65,22.41,89.43,101.35,69.09,20.33
2017-01-26,吉安,78.97,0.57,20.4,62.15,86.34,57.31,12.4
2017-01-27,吉安,94.61,0.58,13.74,78.14,92.35,70.37,15.11
2017-01-28,吉安,244.22,0.58,14.41,72.34,286.12,216.75,88.98
2017-01-29,吉安,111.17,0.6,9.52,68.18,107.03,83.26,21.32
2017-01-30,吉安,120.34,0.94,9.88,60.17,118.27,90.19,10.52
2017-01-31,吉安,92.41,0.7,9.11,87.52,102.13,68.62,16.25
2017-02-01,吉安,88.93,0.65,10.62,77.55,95.51,65.84,13.83
2017-02-02,吉安,89.65,0.55,11.02,55.74,89.8,66.44,9.33
2017-02-03,吉安,92.33,0.56,10.64,48.92,91.15,68.51,10.01
2017-02-04,吉安,127.33,0.98,23.14,25.67,120.32,96.38,18.03
2017-02-05,吉安,77.59,0.99,20.24,23.12,73.29,56.17,13.28
2017-02-06,吉安,59.75,0.78,13.79,38.62,60.62,39.53,11.64
2017-02-07,吉安,80.41,1.09,21.64,38.4,78.41,58.93,12.65
2017-02-08,吉安,40.42,0.67,14.06,44.18,35.7,26.95,7.03
2017-02-09,吉安,73.68,0.64,12.4,80.11,68.09,53.18,12.68
2017-02-10,吉安,106.97,0.67,19.85,88.23,100.7,80.3,22.12
2017-02-11,吉安,92.47,0.52,18.55,109.51,92.35,68.54,31.38
2017-02-12,吉安,123.12,0.81,31.74,80.0,126.01,92.77,25.67
2017-02-13,吉安,86.96,0.66,33.92,76.47,91.83,64.13,23.04
2017-02-14,吉安,90.13,0.64,38.31,88.36,98.26,66.29,30.57
2017-02-15,吉安,90.04,0.8,43.85,72.01,103.81,65.44,33.08
2017-02-16,吉安,95.43,0.62,28.25,124.26,101.73,65.61,29.26
2017-02-17,吉安,94.1,0.91,43.05,102.71,113.95,67.47,36.36
2017-02-18,吉安,143.53,0.92,26.52,82.14,162.13,108.83,22.38
2017-02-19,吉安,125.6,0.69,21.48,109.41,137.68,93.88,31.73
2017-02-20,吉安,68.85,0.46,15.91,115.81,71.56,49.48,23.52
2017-02-21,吉安,85.49,0.63,21.64,69.7,116.48,59.39,22.58
2017-02-22,吉安,50.4,0.56,20.12,31.99,59.81,33.08,15.54
2017-02-23,吉安,61.1,0.48,12.84,77.8,61.67,41.86,15.06
2017-02-24,吉安,58.94,0.45,10.83,96.41,54.53,41.25,13.1
2017-02-25,吉安,66.92,0.51,14.12,95.85,59.84,48.19,14.98
2017-02-26,吉安,86.68,0.62,19.07,98.05,83.01,63.72,33.09
2017-02-27,吉安,96.96,0.6,27.47,123.01,99.53,69.11,42.61
2017-02-28,吉安,90.33,0.6,29.88,84.5,97.31,66.97,45.74
2017-03-01,吉安,91.14,0.63,29.69,73.48,100.98,66.26,45.68
2017-03-02,吉安,71.43,0.49,14.99,111.27,90.21,33.58,23.61
2017-03-03,吉安,73.36,0.6,32.2,79.06,95.73,46.27,40.89
2017-03-04,吉安,86.77,0.62,37.83,39.12,100.3,63.57,47.97
2017-03-05,吉安,72.23,0.78,28.24,48.64,66.36,52.31,19.0
2017-03-06,吉安,71.49,0.88,27.71,76.08,70.63,51.7,22.15
2017-03-07,吉安,109.89,0.98,27.0,69.73,103.46,82.62,20.84
2017-03-08,吉安,116.42,0.92,30.28,83.02,115.77,87.68,35.85
2017-03-09,吉安,121.65,0.92,41.71,73.26,131.7,91.94,34.43
2017-03-10,吉安,72.18,0.8,20.46,87.83,63.7,52.24,16.75
2017-03-11,吉安,68.15,0.82,22.0,42.44,67.45,47.68,20.03
2017-03-12,吉安,63.72,0.81,30.59,17.96,58.33,45.64,21.12
2017-03-13,吉安,33.25,0.79,22.16,54.43,30.02,20.44,13.52
2017-03-14,吉安,51.0,0.55,17.17,77.88,50.09,34.34,14.88
2017-03-15,吉安,68.59,0.55,26.48,49.49,69.68,49.36,27.26
2017-03-16,吉安,50.45,0.59,25.04,49.44,46.17,34.72,18.42
2017-03-17,吉安,58.61,0.61,22.46,61.74,52.22,41.14,12.8
2017-03-18,吉安,41.66,0.76,26.92,28.04,36.04,28.02,15.01
