time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,宜春,134.17,1.39,43.2,56.7,148.76,101.94,69.89
2017-01-02,宜春,164.96,2.24,59.11,36.14,184.83,125.32,50.81
2017-01-03,宜春,224.77,2.45,67.71,33.33,249.31,174.77,59.83
2017-01-04,宜春,207.56,1.92,54.46,53.23,227.84,159.17,57.52
2017-01-05,宜春,227.97,2.16,57.98,23.3,249.7,178.07,44.61
2017-01-06,宜春,93.67,2.7,37.92,11.23,92.03,69.17,17.07
2017-01-07,宜春,46.61,2.61,34.09,9.48,39.87,32.25,15.82
2017-01-08,宜春,70.77,1.85,34.53,10.93,65.69,51.31,17.42
2017-01-09,宜春,77.23,1.02,26.97,39.3,74.47,56.48,18.3
2017-01-10,宜春,110.93,0.98,26.33,55.27,109.05,83.43,23.82
2017-01-11,宜春,90.21,0.92,22.44,40.82,79.95,66.86,11.03
2017-01-12,宜春,63.21,1.0,26.24,30.57,51.06,45.3,8.8
2017-01-13,宜春,63.27,0.82,24.75,41.82,56.42,45.27,12.52
2017-01-14,宜春,91.41,0.8,33.01,42.51,91.33,67.81,29.2
2017-01-15,宜春,98.38,0.82,30.23,51.49,104.72,73.38,24.35
2017-01-16,宜春,94.53,0.94,33.13,44.52,110.11,70.29,27.77
2017-01-17,宜春,89.9,0.76,29.1,52.92,90.47,66.58,15.76
2017-01-18,宜春,76.5,0.65,28.91,34.63,67.0,55.88,8.04
2017-01-19,宜春,66.18,0.67,30.23,20.94,54.75,47.62,6.74
2017-01-20,宜春,118.88,1.17,32.32,51.97,121.53,89.78,13.38
2017-01-21,宜春,102.22,0.9,30.47,63.96,122.08,76.38,18.77
2017-01-22,宜春,99.09,1.0,31.7,53.52,122.08,73.62,29.05
2017-01-23,宜春,89.72,0.8,29.44,62.73,109.51,66.26,23.82
2017-01-24,宜春,97.58,0.8,32.51,59.59,106.84,72.75,21.32
2017-01-25,宜春,108.79,1.01,25.03,54.34,117.85,81.28,15.4
2017-01-26,宜春,80.95,0.95,22.65,43.78,84.29,59.39,17.88
2017-01-27,宜春,111.27,0.84,17.97,63.66,113.47,84.89,31.27
2017-01-28,宜春,263.52,1.14,20.06,66.61,285.66,219.64,86.86
2017-01-29,宜春,167.47,1.06,15.13,56.97,162.31,128.04,17.05
2017-01-30,宜春,118.28,1.05,13.53,52.88,116.67,89.12,9.56
2017-01-31,宜春,90.75,0.92,12.75,79.44,97.93,67.3,12.72
2017-02-01,宜春,92.41,0.75,13.2,58.74,96.24,68.53,10.47
2017-02-02,宜春,86.84,0.66,11.84,50.36,82.88,66.15,6.65
2017-02-03,宜春,105.92,1.04,20.57,28.39,101.06,80.08,12.22
2017-02-04,宜春,107.64,2.35,26.64,12.18,105.08,80.75,17.8
2017-02-05,宜春,67.86,1.33,22.08,18.14,58.99,48.9,9.19
2017-02-06,宜春,65.74,1.11,19.36,37.52,66.08,46.73,11.34
2017-02-07,宜春,90.37,0.98,22.43,50.66,88.64,66.97,10.68
2017-02-08,宜春,48.6,0.8,18.27,35.44,46.17,32.97,8.22
2017-02-09,宜春,80.89,0.86,20.37,57.44,73.49,59.36,16.93
2017-02-10,宜春,105.38,0.83,25.42,71.5,95.84,78.96,21.66
2017-02-11,宜春,93.82,0.8,29.0,65.66,93.61,69.68,28.72
2017-02-12,宜春,77.74,0.78,29.21,63.42,83.71,56.38,27.56
2017-02-13,宜春,78.33,0.93,33.58,65.19,86.96,56.97,29.8
2017-02-14,宜春,86.38,1.04,44.46,61.25,98.71,63.67,36.53
2017-02-15,宜春,108.01,1.26,52.27,57.34,127.31,81.05,40.39
2017-02-16,宜春,116.26,1.19,47.25,64.06,132.77,87.28,29.39
2017-02-17,宜春,98.51,1.29,38.66,60.86,106.02,73.32,24.93
2017-02-18,宜春,206.67,1.7,40.84,59.36,230.31,160.02,30.09
2017-02-19,宜春,155.74,1.22,45.01,57.97,161.85,118.38,37.13
2017-02-20,宜春,121.68,1.17,38.96,49.73,136.9,90.3,25.76
2017-02-21,宜春,84.65,1.04,28.06,36.39,112.27,56.17,23.03
2017-02-22,宜春,41.87,0.9,23.21,26.88,43.26,24.43,10.2
2017-02-23,宜春,55.98,0.85,19.14,57.88,51.92,37.35,13.75
2017-02-24,宜春,50.25,0.68,17.87,75.86,48.38,32.52,11.83
2017-02-25,宜春,68.92,0.91,23.52,69.88,70.26,48.87,22.33
2017-02-26,宜春,77.83,0.97,25.87,76.07,83.33,56.23,31.25
2017-02-27,宜春,90.47,1.04,35.53,84.03,104.4,65.86,33.38
2017-02-28,宜春,92.93,1.19,37.91,80.93,112.25,68.17,47.52
2017-03-01,宜春,85.28,1.01,28.14,63.77,100.89,58.04,24.38
2017-03-02,宜春,69.27,0.67,24.53,62.17,87.21,32.7,19.03
2017-03-03,宜春,77.22,0.86,38.61,56.61,100.64,49.78,43.37
2017-03-04,宜春,82.76,0.99,38.52,41.13,96.76,57.46,28.87
2017-03-05,宜春,66.47,0.98,30.37,34.04,67.31,46.42,10.34
2017-03-06,宜春,69.74,1.11,28.82,46.01,74.9,48.93,15.66
2017-03-07,宜春,111.6,1.78,35.95,34.51,115.69,84.05,27.85
2017-03-08,宜春,146.83,1.71,33.29,64.37,154.71,111.01,32.48
2017-03-09,宜春,101.44,1.17,30.37,69.58,110.71,75.5,29.15
2017-03-10,宜春,71.38,0.95,23.03,70.73,67.91,50.66,14.64
2017-03-11,宜春,63.62,1.0,23.73,38.11,64.4,43.37,16.3
2017-03-12,宜春,62.06,1.14,29.44,23.64,63.12,42.85,22.02
2017-03-13,宜春,33.21,1.12,20.55,45.42,31.69,18.67,9.67
2017-03-14,宜春,43.36,0.92,17.72,56.36,45.0,25.5,11.95
2017-03-15,宜春,70.73,1.17,35.76,36.24,78.0,49.58,31.34
2017-03-16,宜春,55.07,1.08,26.88,30.51,51.4,37.3,18.57
2017-03-17,宜春,61.72,1.26,38.05,29.57,60.31,42.9,17.22
2017-03-18,宜春,41.94,1.25,32.19,25.38,38.77,25.81,10.82
2017-03-19,宜春,64.6,1.49,35.58,16.75,64.86,44.98,29.77
2017-03-20,宜春,43.86,1.64,29.32,18.13,41.87,28.26,15.78
2017-03-21,宜春,62.45,1.17,30.38,36.64,56.97,44.55,18.97
