time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,抚州,142.64,1.45,45.85,35.44,149.07,108.18,34.81
2017-01-02,抚州,154.92,1.3,30.76,64.52,157.71,110.36,21.98
2017-01-03,抚州,192.47,1.58,30.09,78.4,187.25,147.8,19.62
2017-01-04,抚州,215.45,1.77,38.67,63.29,216.65,166.1,30.48
2017-01-05,抚州,195.68,1.9,54.28,17.6,197.59,153.78,21.85
2017-01-06,抚州,51.56,1.13,33.97,11.96,44.08,35.99,5.91
2017-01-07,抚州,29.38,0.86,26.5,8.27,24.06,20.02,5.87
2017-01-08,抚州,50.19,0.94,20.61,27.49,42.46,35.36,7.5
2017-01-09,抚州,75.71,1.04,15.1,59.55,64.61,55.24,9.6
2017-01-10,抚州,128.45,1.28,26.84,45.23,112.82,97.32,18.07
2017-01-11,抚州,108.52,1.33,25.98,23.38,93.75,81.52,11.08
2017-01-12,抚州,73.02,1.28,22.15,38.85,59.19,53.15,10.59
2017-01-13,抚州,89.32,1.1,22.68,53.67,76.52,66.15,23.7
2017-01-14,抚州,101.96,0.89,22.15,58.41,95.58,76.26,17.13
2017-01-15,抚州,83.96,0.79,20.02,51.58,80.09,61.84,15.29
2017-01-16,抚州,88.82,0.77,22.57,63.26,85.97,65.75,15.84
2017-01-17,抚州,84.22,0.93,26.16,32.68,77.11,62.07,12.87
2017-01-18,抚州,88.92,1.07,34.42,12.65,76.51,65.78,6.52
2017-01-19,抚州,98.21,1.23,45.85,7.75,85.7,73.21,6.69
2017-01-20,抚州,125.11,0.93,17.74,71.68,123.37,94.34,10.03
2017-01-21,抚州,76.64,0.98,26.7,54.48,89.58,54.8,20.61
2017-01-22,抚州,105.32,1.0,29.1,59.0,113.96,78.98,21.17
2017-01-23,抚州,101.91,0.94,20.75,72.81,105.32,76.23,14.6
2017-01-24,抚州,91.83,0.91,19.23,75.16,92.85,68.16,12.02
2017-01-25,抚州,93.49,0.94,15.5,59.58,86.26,69.47,8.61
2017-01-26,抚州,94.74,0.96,14.36,35.15,84.18,70.36,9.56
2017-01-27,抚州,129.56,0.99,13.31,53.53,124.87,98.02,34.68
2017-01-28,抚州,317.73,1.28,15.47,39.56,467.03,376.8,121.34
2017-01-29,抚州,85.52,0.91,11.4,53.95,80.75,61.98,10.11
2017-01-30,抚州,101.04,1.21,8.93,48.68,93.14,75.35,6.3
2017-01-31,抚州,93.05,1.05,6.17,61.25,92.77,68.81,7.41
2017-02-01,抚州,89.58,0.99,9.13,46.75,82.37,66.33,7.23
2017-02-02,抚州,92.65,0.89,7.48,40.98,80.68,68.8,6.76
2017-02-03,抚州,98.39,0.86,8.96,35.3,84.67,73.42,6.49
2017-02-04,抚州,101.0,1.19,12.62,26.86,84.49,75.5,6.2
2017-02-05,抚州,76.48,1.18,14.3,22.21,60.42,55.84,6.54
