time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,新余,144.2,1.51,52.29,37.16,167.63,111.88,48.03
2017-01-02,新余,148.72,1.72,56.64,36.59,169.51,112.89,50.76
2017-01-03,新余,147.31,1.36,46.63,55.28,161.26,111.67,49.39
2017-01-04,新余,212.65,1.77,55.1,53.15,227.59,164.78,56.85
2017-01-05,新余,216.18,1.91,59.57,17.01,244.8,167.92,53.39
2017-01-06,新余,57.16,1.73,46.16,6.59,58.67,38.61,18.0
2017-01-07,新余,42.83,2.23,32.77,5.51,43.15,24.93,12.54
2017-01-08,新余,48.94,1.65,31.49,13.35,46.49,32.23,14.74
2017-01-09,新余,73.39,1.4,27.57,46.39,73.19,52.03,23.08
2017-01-10,新余,113.04,1.45,26.62,47.48,112.24,84.68,27.69
2017-01-11,新余,98.91,1.36,26.94,28.32,99.5,73.1,15.83
2017-01-12,新余,59.01,1.27,26.28,30.97,58.29,40.12,11.26
2017-01-13,新余,55.98,0.99,27.48,36.76,54.86,38.23,14.63
2017-01-14,新余,91.6,0.98,33.77,46.26,96.95,67.86,27.18
2017-01-15,新余,81.18,0.86,32.05,45.02,88.93,59.12,24.44
2017-01-16,新余,89.58,0.97,37.37,43.14,100.31,66.01,28.33
2017-01-17,新余,78.56,0.72,32.52,41.16,82.47,57.14,20.21
2017-01-18,新余,75.72,1.02,37.02,23.22,72.53,55.26,17.82
2017-01-19,新余,70.5,1.12,35.68,16.42,67.07,51.18,14.14
2017-01-20,新余,102.88,0.95,28.55,56.62,109.17,77.17,19.08
2017-01-21,新余,78.48,0.83,33.65,52.88,94.57,54.84,24.68
2017-01-22,新余,92.14,1.04,41.86,45.77,112.93,67.55,23.82
2017-01-23,新余,83.36,0.78,35.82,57.82,96.96,59.33,19.09
2017-01-24,新余,93.09,0.75,31.93,59.07,102.17,68.9,24.74
2017-01-25,新余,82.37,0.73,26.99,59.67,89.38,60.38,17.5
2017-01-26,新余,86.3,1.04,28.94,27.02,92.42,63.0,15.82
2017-01-27,新余,102.3,0.77,22.52,53.8,104.49,77.61,23.48
2017-01-28,新余,288.35,0.86,22.42,52.12,352.89,263.69,94.94
2017-01-29,新余,168.51,1.05,20.78,44.97,167.18,128.61,34.97
2017-01-30,新余,105.64,0.87,13.17,52.61,111.97,78.91,12.07
2017-01-31,新余,82.28,0.77,15.21,64.19,90.05,60.23,17.43
2017-02-01,新余,83.1,0.73,15.37,54.62,83.91,61.17,13.99
2017-02-02,新余,79.77,0.58,13.97,46.63,77.6,58.49,12.06
2017-02-03,新余,96.28,0.74,19.63,28.46,95.15,71.73,14.82
2017-02-04,新余,107.38,0.97,24.16,15.7,105.11,81.2,14.37
2017-02-05,新余,69.21,1.02,22.35,17.15,73.84,48.75,13.38
2017-02-06,新余,61.02,0.91,20.56,37.06,61.37,42.43,14.61
2017-02-07,新余,85.48,0.89,23.15,52.16,84.8,63.03,15.03
2017-02-08,新余,36.08,0.58,17.38,36.37,34.81,23.39,9.17
2017-02-09,新余,78.75,0.72,20.07,55.34,74.19,57.02,15.61
2017-02-10,新余,102.2,0.73,24.71,65.87,98.2,76.42,22.92
2017-02-11,新余,98.74,0.75,27.27,73.68,96.9,74.16,34.48
2017-02-12,新余,98.98,1.41,38.77,52.25,110.47,73.19,36.48
2017-02-13,新余,87.58,1.03,40.84,52.52,98.02,64.24,34.08
2017-02-14,新余,93.97,0.97,48.26,51.55,109.38,69.49,49.05
2017-02-15,新余,103.12,1.11,51.48,47.67,127.67,75.16,42.51
2017-02-16,新余,106.48,1.31,49.86,58.48,118.13,79.69,37.03
2017-02-17,新余,113.36,1.7,51.66,45.77,140.85,84.58,39.08
2017-02-18,新余,143.0,0.89,33.35,39.84,168.57,108.58,34.62
2017-02-19,新余,144.85,1.62,44.6,50.64,169.75,109.68,47.67
2017-02-20,新余,99.13,1.29,36.45,69.25,118.71,72.47,37.45
2017-02-21,新余,76.28,0.56,27.64,41.8,100.38,44.41,31.08
2017-02-22,新余,40.02,0.65,22.66,18.69,43.51,23.12,9.28
