time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,景德镇,95.84,0.99,39.19,16.75,124.21,69.16,14.02
2017-01-02,景德镇,105.55,1.14,47.0,25.58,129.4,77.53,20.87
2017-01-03,景德镇,136.76,1.27,44.3,26.9,159.8,103.23,17.16
2017-01-04,景德镇,139.66,1.29,42.19,18.53,155.43,105.95,12.03
2017-01-05,景德镇,133.37,1.51,38.56,5.53,136.36,100.98,10.98
2017-01-06,景德镇,37.04,1.26,25.18,5.62,33.73,22.64,4.47
2017-01-07,景德镇,31.94,1.02,20.54,6.35,27.49,20.71,5.28
2017-01-08,景德镇,51.2,0.99,13.85,37.92,45.07,35.42,5.47
2017-01-09,景德镇,72.11,0.95,15.54,57.21,70.01,52.25,6.72
2017-01-10,景德镇,84.7,0.79,10.71,52.33,75.27,62.39,6.42
2017-01-11,景德镇,70.89,0.88,12.94,26.54,59.57,51.39,4.47
2017-01-12,景德镇,43.34,0.93,14.15,25.52,39.45,30.08,5.05
2017-01-13,景德镇,65.4,0.7,16.48,44.21,68.7,45.97,6.81
2017-01-14,景德镇,70.83,0.47,15.87,55.64,75.48,50.45,7.49
2017-01-15,景德镇,76.12,0.48,15.02,71.06,77.98,55.02,8.35
2017-01-16,景德镇,77.9,0.66,26.04,36.91,87.18,55.67,7.5
2017-01-17,景德镇,63.79,0.48,18.81,36.88,61.91,44.45,4.48
2017-01-18,景德镇,54.28,0.54,15.07,17.32,45.53,37.75,3.73
2017-01-19,景德镇,49.36,0.78,26.94,9.17,39.49,34.11,4.42
2017-01-20,景德镇,96.8,0.67,17.77,68.44,102.63,68.31,8.88
2017-01-21,景德镇,68.58,0.64,22.91,52.35,80.78,43.84,10.34
2017-01-22,景德镇,81.38,0.71,28.85,41.78,96.63,56.09,7.74
2017-01-23,景德镇,69.12,0.59,25.99,46.32,82.35,45.0,8.06
2017-01-24,景德镇,70.17,0.59,22.21,55.34,80.37,47.8,7.86
2017-01-25,景德镇,63.44,0.52,17.45,50.94,60.7,44.98,6.06
2017-01-26,景德镇,61.79,0.75,15.49,15.49,61.46,43.13,6.02
