time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,赣州,127.57,1.98,60.27,57.33,154.46,93.01,56.43
2017-01-02,赣州,137.16,1.86,36.89,68.01,156.66,103.03,59.02
2017-01-03,赣州,149.5,2.25,48.43,64.88,172.97,113.78,64.95
2017-01-04,赣州,180.0,2.69,72.77,55.3,221.06,133.84,70.72
2017-01-05,赣州,166.51,2.53,62.42,38.54,208.38,125.49,51.31
2017-01-06,赣州,138.6,2.25,40.82,27.55,144.03,104.94,36.75
2017-01-07,赣州,71.56,2.39,39.09,9.24,70.0,51.02,29.99
2017-01-08,赣州,37.6,2.39,31.85,13.0,33.39,24.82,21.8
2017-01-09,赣州,56.76,1.8,24.84,40.91,55.88,39.68,24.46
2017-01-10,赣州,88.43,1.94,31.44,42.78,98.03,65.11,47.03
2017-01-11,赣州,95.74,2.05,27.52,25.43,95.79,71.09,22.7
2017-01-12,赣州,36.74,2.04,25.02,26.58,30.36,25.22,12.88
2017-01-13,赣州,45.72,1.81,19.1,49.69,39.63,31.91,14.43
2017-01-14,赣州,86.62,1.77,20.69,53.13,75.85,63.98,21.02
2017-01-15,赣州,96.97,1.81,25.58,46.24,90.57,72.27,22.83
2017-01-16,赣州,98.16,1.79,28.89,39.72,97.97,73.08,28.79
2017-01-17,赣州,79.23,1.86,23.28,47.32,64.08,58.09,16.34
2017-01-18,赣州,49.92,1.7,23.67,29.68,38.06,34.83,14.47
2017-01-19,赣州,51.67,1.54,31.4,20.08,40.35,36.07,12.63
2017-01-20,赣州,88.03,1.33,21.37,69.72,82.92,65.14,18.23
2017-01-21,赣州,115.4,1.51,22.93,85.02,123.76,86.33,27.27
2017-01-22,赣州,87.45,1.44,25.08,68.2,94.87,64.53,27.89
2017-01-23,赣州,89.42,1.49,31.37,69.8,98.59,66.53,29.49
2017-01-24,赣州,91.97,1.56,30.28,65.66,98.22,68.13,25.03
2017-01-25,赣州,92.69,1.45,19.18,87.21,94.88,68.78,20.57
