time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,鹰潭,130.81,0.87,50.38,35.2,136.49,98.78,39.69
2017-01-02,鹰潭,140.04,0.96,51.09,45.03,138.83,105.69,30.79
2017-01-03,鹰潭,182.62,1.16,55.24,47.34,174.43,139.6,39.11
2017-01-04,鹰潭,233.34,1.46,69.96,54.9,225.98,183.38,53.27
2017-01-05,鹰潭,208.95,1.38,62.73,21.61,200.53,162.09,41.97
2017-01-06,鹰潭,44.37,1.01,48.72,5.03,38.16,30.2,12.84
2017-01-07,鹰潭,22.98,0.62,34.25,7.19,22.03,14.01,12.61
2017-01-08,鹰潭,46.21,0.72,31.75,19.49,42.87,29.54,11.68
2017-01-09,鹰潭,55.54,0.7,30.43,27.09,56.68,38.28,17.32
2017-01-10,鹰潭,107.17,0.88,34.27,39.02,95.81,80.42,39.97
2017-01-11,鹰潭,73.18,0.94,41.12,16.97,48.28,53.26,26.6
2017-01-12,鹰潭,43.18,0.87,31.56,30.38,37.97,30.18,13.69
2017-01-13,鹰潭,74.94,0.88,31.82,49.31,69.63,54.32,17.06
2017-01-14,鹰潭,94.03,0.86,49.15,50.48,105.63,69.56,48.39
2017-01-15,鹰潭,85.08,0.58,39.2,59.09,78.39,62.42,38.49
2017-01-16,鹰潭,80.81,0.64,37.94,54.63,85.91,58.03,26.8
2017-01-17,鹰潭,73.8,0.57,36.61,41.31,67.24,53.73,35.4
2017-01-18,鹰潭,59.33,0.61,41.42,9.74,39.54,42.4,28.23
2017-01-19,鹰潭,62.88,0.87,47.09,8.78,60.21,45.33,12.47
2017-01-20,鹰潭,105.63,0.76,25.93,61.85,103.39,79.2,17.86
2017-01-21,鹰潭,71.56,0.6,32.78,49.76,83.72,50.13,20.4
2017-01-22,鹰潭,77.84,0.68,33.7,57.26,87.91,56.22,23.04
2017-01-23,鹰潭,82.99,0.75,31.54,75.54,86.33,60.86,26.07
2017-01-24,鹰潭,71.85,0.58,23.92,93.92,71.38,51.88,27.98
2017-01-25,鹰潭,59.97,0.5,20.82,76.0,55.66,42.24,22.72
2017-01-26,鹰潭,74.39,0.56,21.21,34.47,66.61,54.31,17.47
2017-01-27,鹰潭,76.02,0.49,15.71,53.37,76.72,55.65,22.29
2017-01-28,鹰潭,164.48,0.56,16.12,63.91,149.18,127.07,33.86
2017-01-29,鹰潭,111.83,0.61,18.27,56.6,109.14,83.96,28.32
2017-01-30,鹰潭,67.76,0.75,15.97,41.8,50.63,48.92,12.64
