time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,保定,252.53,5.37,115.3,8.28,333.55,213.0,51.34
2017-01-02,保定,284.86,6.63,134.08,12.65,311.32,233.28,36.11
2017-01-03,保定,351.32,7.92,130.76,10.39,420.37,300.05,38.73
2017-01-04,保定,278.62,7.91,140.95,10.32,318.64,228.65,57.72
2017-01-05,保定,259.17,6.13,120.02,6.42,291.16,212.71,51.87
2017-01-06,保定,292.34,4.29,111.54,7.14,305.76,242.85,119.17
2017-01-07,保定,299.42,4.26,105.43,7.34,306.74,250.47,64.91
2017-01-08,保定,222.41,3.65,78.92,8.08,240.3,175.76,22.05
2017-01-09,保定,215.66,2.43,70.88,16.01,243.06,167.74,28.96
2017-01-10,保定,185.07,1.97,66.47,19.72,196.36,146.94,48.55
2017-01-11,保定,221.61,2.48,82.53,15.75,222.96,178.42,67.39
2017-01-12,保定,331.59,3.8,108.84,16.22,349.95,285.92,78.86
2017-01-13,保定,228.2,2.79,85.04,22.09,244.71,194.36,77.08
2017-01-14,保定,202.39,3.0,79.34,19.66,211.5,168.01,74.54
2017-01-15,保定,107.12,1.19,51.36,19.03,113.74,79.74,55.46
2017-01-16,保定,156.79,2.11,71.74,9.72,156.99,118.96,75.87
2017-01-17,保定,206.12,2.45,80.94,17.51,212.81,162.18,58.57
2017-01-18,保定,232.72,2.6,82.7,17.92,241.72,190.31,55.83
2017-01-19,保定,165.74,1.6,45.22,40.03,187.48,114.62,31.04
2017-01-20,保定,92.92,1.24,49.15,36.51,100.59,65.52,35.56
2017-01-21,保定,122.5,1.53,40.26,37.62,128.21,89.12,43.03
2017-01-22,保定,111.94,1.35,48.11,33.38,120.38,83.72,50.24
2017-01-23,保定,206.88,2.89,76.09,18.5,205.73,162.34,82.82
2017-01-24,保定,185.49,2.83,81.62,17.69,184.68,143.39,79.16
2017-01-25,保定,316.67,4.22,102.5,17.93,331.35,271.42,93.53
2017-01-26,保定,366.92,4.72,99.75,19.28,415.31,339.22,93.69
2017-01-27,保定,155.81,1.27,38.85,48.24,196.16,146.99,78.75
2017-01-28,保定,479.73,4.14,78.05,12.68,683.09,568.59,195.31
2017-01-29,保定,172.9,1.75,39.11,37.61,184.51,135.07,50.41
2017-01-30,保定,70.28,0.88,20.04,56.75,66.58,50.78,29.03
2017-01-31,保定,154.33,1.67,48.13,39.11,147.56,117.85,68.62
2017-02-01,保定,158.53,1.93,52.78,38.76,156.27,124.57,54.57
2017-02-02,保定,302.62,3.62,93.27,22.07,307.03,253.56,104.69
2017-02-03,保定,395.06,5.07,108.45,19.62,432.44,360.91,126.97
2017-02-04,保定,313.15,2.45,58.6,17.88,325.62,263.46,50.23
2017-02-05,保定,321.15,3.46,72.25,29.97,365.83,280.36,51.68
2017-02-06,保定,117.44,1.85,55.8,32.7,120.13,89.6,47.71
2017-02-07,保定,85.99,1.24,45.12,32.03,94.93,62.48,46.88
2017-02-08,保定,135.1,1.76,50.7,41.18,143.58,100.52,48.76
2017-02-09,保定,45.74,0.56,22.57,64.55,45.39,24.79,12.44
2017-02-10,保定,61.78,0.83,39.99,53.69,64.62,38.72,25.12
2017-02-11,保定,210.88,2.53,72.06,32.16,234.02,170.88,109.96
2017-02-12,保定,308.94,2.94,98.61,27.91,345.76,263.49,94.15
2017-02-13,保定,245.59,3.06,100.72,28.59,275.81,202.11,80.67
2017-02-14,保定,337.48,3.79,106.29,18.96,365.2,286.53,95.28
2017-02-15,保定,325.08,3.61,130.74,25.58,367.12,275.97,84.01
2017-02-16,保定,251.29,2.5,92.29,30.88,311.64,194.31,57.78
2017-02-17,保定,84.4,0.89,50.39,38.52,106.43,57.2,32.33
2017-02-18,保定,182.93,1.82,79.56,31.17,215.19,140.19,69.17
2017-02-19,保定,216.85,2.24,89.26,34.05,258.06,166.79,57.22
2017-02-20,保定,54.94,0.48,27.83,62.42,62.04,28.38,19.06
2017-02-21,保定,82.34,0.88,45.08,36.28,87.26,59.49,30.7
2017-02-22,保定,218.15,1.8,54.56,28.31,214.85,174.26,28.2
2017-02-23,保定,149.97,1.51,53.38,48.36,153.66,117.42,30.81
2017-02-24,保定,108.68,1.42,64.21,40.29,123.14,77.88,33.25
2017-02-25,保定,73.75,0.93,51.26,49.41,79.6,49.1,25.23
2017-02-26,保定,83.35,0.97,54.85,51.8,91.5,58.23,26.51
2017-02-27,保定,144.67,1.4,60.76,41.56,162.32,105.99,43.21
2017-02-28,保定,91.36,1.0,58.12,44.23,104.91,63.51,29.48
2017-03-01,保定,74.48,0.66,34.87,60.17,82.72,45.82,19.06
2017-03-02,保定,76.96,0.84,45.79,48.75,100.68,47.96,37.83
2017-03-03,保定,127.38,1.38,64.44,42.76,165.98,95.21,47.11
2017-03-04,保定,151.44,1.58,71.1,57.22,175.17,115.26,35.91
2017-03-05,保定,125.28,1.25,50.09,62.9,144.75,92.67,29.72
2017-03-06,保定,66.82,0.63,34.85,57.98,81.53,36.06,20.32
2017-03-07,保定,45.53,0.47,27.7,63.76,46.69,24.3,13.74
2017-03-08,保定,46.1,0.57,32.06,71.02,47.89,24.74,15.93
2017-03-09,保定,64.99,0.78,50.37,55.43,73.33,41.28,21.58
2017-03-10,保定,126.58,1.33,69.31,49.72,154.57,93.34,40.56
2017-03-11,保定,163.56,1.32,83.83,49.95,199.84,124.06,55.19
2017-03-12,保定,53.11,0.47,27.89,75.01,57.02,26.94,15.82
2017-03-13,保定,59.5,0.67,45.09,58.28,66.68,36.18,20.28
2017-03-14,保定,79.03,0.83,52.28,58.26,97.05,53.03,27.15
2017-03-15,保定,118.59,1.14,64.88,60.71,144.33,89.01,41.75
2017-03-16,保定,118.68,0.93,54.57,71.14,151.18,86.52,44.9
2017-03-17,保定,179.76,1.32,68.87,44.83,212.25,139.16,54.03
2017-03-18,保定,257.71,2.14,93.18,60.21,306.42,207.31,50.24
2017-03-19,保定,262.8,2.16,80.0,83.59,300.4,214.72,57.27
2017-03-20,保定,219.19,1.42,78.81,55.06,265.55,169.65,46.24
2017-03-21,保定,88.87,0.72,40.21,72.22,110.8,61.49,33.44
2017-03-22,保定,183.1,1.36,80.48,39.99,205.5,140.58,63.46
2017-03-23,保定,142.39,1.04,47.97,47.5,127.96,108.0,23.59
2017-03-24,保定,106.47,1.17,44.08,39.75,93.59,79.67,14.83
2017-03-25,保定,92.83,0.95,41.42,50.34,93.9,64.44,10.49
