time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,廊坊,290.04,5.15,97.33,2.86,371.02,257.04,14.09
2017-01-02,廊坊,319.2,5.67,124.95,16.63,345.78,272.51,22.57
2017-01-03,廊坊,409.97,7.72,130.28,8.23,501.36,355.8,27.74
2017-01-04,廊坊,342.14,8.71,141.62,4.21,406.8,289.8,14.95
2017-01-05,廊坊,228.05,5.98,102.74,6.84,271.19,178.67,31.98
2017-01-06,廊坊,218.22,5.15,104.54,8.81,222.94,170.42,38.9
2017-01-07,廊坊,261.17,5.22,101.53,1.93,260.04,211.18,30.43
2017-01-08,廊坊,180.91,3.93,72.0,13.17,180.23,139.0,19.83
2017-01-09,廊坊,54.41,1.11,31.33,45.51,55.21,35.67,9.95
2017-01-10,廊坊,65.37,0.86,36.47,43.76,69.07,43.14,11.36
2017-01-11,廊坊,164.83,2.16,84.53,11.2,165.14,126.23,50.67
2017-01-12,廊坊,132.04,2.3,85.82,11.29,135.45,100.4,28.81
2017-01-13,廊坊,33.97,0.43,27.26,55.07,33.96,15.29,4.8
2017-01-14,廊坊,40.14,0.72,44.01,33.8,41.84,23.47,10.76
2017-01-15,廊坊,79.81,1.34,52.74,20.29,88.03,56.82,19.81
2017-01-16,廊坊,116.54,2.34,68.78,4.23,121.6,87.54,29.11
2017-01-17,廊坊,155.42,2.4,67.43,8.99,165.55,119.64,30.19
2017-01-18,廊坊,110.07,1.91,70.35,15.0,118.04,83.41,24.69
2017-01-19,廊坊,85.38,1.52,45.29,36.42,97.91,51.04,19.69
2017-01-20,廊坊,43.24,0.67,37.92,46.49,44.63,27.7,11.42
2017-01-21,廊坊,76.5,0.97,40.25,41.19,80.89,48.06,16.86
2017-01-22,廊坊,46.4,0.88,46.59,35.06,46.77,30.48,15.17
2017-01-23,廊坊,135.99,2.93,82.91,8.64,142.02,103.49,44.69
2017-01-24,廊坊,165.82,3.86,90.74,15.47,166.79,126.05,52.94
2017-01-25,廊坊,244.84,4.24,101.61,9.27,252.42,198.73,51.93
2017-01-26,廊坊,284.22,4.39,76.6,24.54,315.66,240.16,36.5
2017-01-27,廊坊,118.0,1.17,38.18,56.47,141.31,94.86,32.26
2017-01-28,廊坊,315.26,3.17,62.5,7.28,343.98,270.38,74.99
2017-01-29,廊坊,110.52,1.6,25.92,52.51,120.1,74.29,12.96
2017-01-30,廊坊,34.28,0.68,20.98,65.67,31.02,21.43,8.98
2017-01-31,廊坊,105.43,1.53,37.92,56.06,105.52,78.75,32.89
2017-02-01,廊坊,46.65,0.75,25.72,65.96,48.35,28.85,10.75
2017-02-02,廊坊,212.03,2.76,69.99,32.15,214.93,166.21,76.28
2017-02-03,廊坊,305.24,4.22,90.21,30.08,320.88,255.24,74.79
2017-02-04,廊坊,312.01,2.79,61.5,29.16,321.08,262.01,36.88
2017-02-05,廊坊,65.55,1.14,35.98,56.35,62.52,45.11,11.55
2017-02-06,廊坊,36.32,0.86,30.07,64.83,35.95,20.82,8.1
2017-02-07,廊坊,80.2,1.67,61.0,25.78,88.23,57.65,26.83
2017-02-08,廊坊,68.62,1.31,42.34,52.39,70.23,43.22,11.93
2017-02-09,廊坊,31.09,0.63,23.99,74.29,28.69,11.95,2.86
2017-02-10,廊坊,29.6,0.67,27.54,74.09,28.79,11.7,3.23
2017-02-11,廊坊,70.37,1.31,64.8,39.07,73.69,48.61,19.63
2017-02-12,廊坊,233.37,3.48,113.64,19.6,259.19,183.17,71.71
2017-02-13,廊坊,194.15,3.46,99.12,34.05,216.84,152.74,45.81
2017-02-14,廊坊,179.05,3.03,104.69,16.68,191.23,138.62,39.0
2017-02-15,廊坊,273.32,4.29,132.73,16.49,309.81,232.7,58.32
2017-02-16,廊坊,186.1,2.64,87.35,42.92,212.31,143.86,38.16
2017-02-17,廊坊,42.03,0.56,39.97,64.95,47.0,22.08,7.64
2017-02-18,廊坊,114.2,1.61,80.85,33.89,142.85,85.04,36.39
2017-02-19,廊坊,145.45,2.17,74.16,39.89,184.6,102.38,28.81
2017-02-20,廊坊,41.07,0.94,37.24,68.95,41.97,16.46,4.78
2017-02-21,廊坊,75.94,1.66,65.82,28.26,88.06,53.71,24.88
2017-02-22,廊坊,133.04,1.63,44.82,52.52,121.59,99.93,11.3
2017-02-23,廊坊,41.55,0.98,44.46,63.58,41.3,23.44,9.06
2017-02-24,廊坊,94.24,1.56,67.12,39.83,100.51,68.4,16.62
2017-02-25,廊坊,37.16,0.86,47.86,57.74,36.57,18.85,6.49
2017-02-26,廊坊,59.79,1.55,67.47,42.56,70.36,38.25,23.14
2017-02-27,廊坊,117.04,1.71,81.51,44.32,138.75,86.59,26.59
2017-02-28,廊坊,61.06,1.07,72.29,38.88,68.76,37.49,12.65
2017-03-01,廊坊,48.25,0.39,38.1,66.51,53.39,18.07,8.38
2017-03-02,廊坊,57.25,0.74,49.25,50.2,67.28,30.16,15.67
2017-03-03,廊坊,101.68,1.31,62.64,35.53,139.11,71.94,28.57
2017-03-04,廊坊,116.67,2.04,82.78,48.0,134.01,86.62,36.31
2017-03-05,廊坊,83.11,1.27,48.97,53.21,98.13,53.83,15.62
2017-03-06,廊坊,48.62,0.71,42.12,53.0,52.57,23.99,8.46
2017-03-07,廊坊,32.49,0.37,26.62,69.44,31.99,11.28,2.99
2017-03-08,廊坊,36.32,0.53,39.06,63.13,34.7,14.01,5.44
2017-03-09,廊坊,39.25,0.57,39.67,64.58,40.63,18.57,6.46
2017-03-10,廊坊,78.79,1.14,70.51,46.21,95.96,52.15,23.72
2017-03-11,廊坊,101.57,1.15,74.31,40.04,125.4,71.97,31.21
2017-03-12,廊坊,44.17,0.43,31.6,73.1,44.69,13.42,4.03
2017-03-13,廊坊,35.4,0.53,41.69,61.68,33.03,13.71,5.61
2017-03-14,廊坊,54.42,0.86,57.77,46.68,61.99,26.81,13.0
2017-03-15,廊坊,93.48,1.37,71.99,46.92,113.88,66.74,25.36
2017-03-16,廊坊,129.61,1.27,68.44,62.68,170.57,94.71,37.67
2017-03-17,廊坊,145.1,1.21,55.84,64.51,171.03,110.01,29.38
2017-03-18,廊坊,216.06,2.17,80.46,68.06,253.85,169.46,27.12
2017-03-19,廊坊,245.57,2.04,86.09,80.37,272.99,195.73,43.84
2017-03-20,廊坊,134.78,1.65,69.35,48.58,161.23,99.55,27.35
2017-03-21,廊坊,95.89,0.97,38.79,72.36,126.26,68.47,13.86
2017-03-22,廊坊,163.83,1.77,80.45,49.06,200.33,127.69,45.72
2017-03-23,廊坊,147.76,1.18,49.35,54.92,150.42,114.78,12.78
2017-03-24,廊坊,85.51,1.12,47.35,49.51,82.58,59.25,4.65
2017-03-25,廊坊,73.71,1.19,52.1,38.23,72.01,52.68,3.75
2017-03-26,廊坊,32.96,0.31,26.22,75.36,32.07,15.82,2.74
2017-03-27,廊坊,40.54,0.34,39.7,67.68,39.93,17.72,3.67
2017-03-28,廊坊,66.35,0.6,38.21,90.9,72.57,43.35,17.59
2017-03-29,廊坊,118.61,0.77,38.94,73.18,134.74,89.06,14.35
2017-03-30,廊坊,117.58,1.19,50.68,52.51,144.7,84.35,16.97
2017-03-31,廊坊,60.47,0.65,40.92,67.71,70.29,36.79,10.59
2017-04-01,廊坊,65.34,0.74,50.94,65.81,80.9,38.18,9.19
2017-04-02,廊坊,98.61,1.8,78.78,58.55,126.28,70.76,36.39
2017-04-03,廊坊,182.6,2.02,87.87,82.1,220.0,139.5,33.47
2017-04-04,廊坊,147.1,1.38,57.28,65.04,176.35,111.57,33.86
2017-04-05,廊坊,91.66,1.0,34.8,75.28,92.01,66.29,8.38
2017-04-06,廊坊,109.76,1.17,43.64,81.06,126.7,82.11,11.4
2017-04-07,廊坊,99.63,1.03,52.57,67.13,130.03,68.41,10.74
2017-04-08,廊坊,103.58,1.14,61.73,35.68,132.77,67.58,12.66
2017-04-09,廊坊,80.58,1.06,46.39,54.51,104.96,51.22,15.22
2017-04-10,廊坊,78.85,0.91,41.33,65.86,104.71,46.98,28.74
2017-04-11,廊坊,70.43,0.73,39.73,64.07,87.57,30.52,10.24
2017-04-12,廊坊,86.75,0.75,43.39,73.49,116.99,44.18,12.52
2017-04-13,廊坊,100.45,1.92,67.89,48.0,144.18,62.6,35.95
2017-04-14,廊坊,81.76,0.82,42.18,68.28,109.64,41.83,10.16
2017-04-15,廊坊,75.91,0.68,47.62,70.34,100.16,36.46,10.25
2017-04-16,廊坊,136.27,1.3,65.55,59.62,192.02,95.99,36.06
2017-04-17,廊坊,171.37,1.25,45.15,67.33,239.99,106.73,10.99
2017-04-18,廊坊,73.65,0.51,25.22,88.35,96.83,22.26,2.62
2017-04-19,廊坊,78.61,1.03,60.83,33.18,106.47,38.1,8.87
2017-04-20,廊坊,89.41,0.98,53.93,51.49,118.34,53.43,14.76
2017-04-21,廊坊,52.57,0.41,27.68,85.14,56.38,18.64,2.74
2017-04-22,廊坊,81.33,0.62,32.18,96.72,112.08,34.95,16.3
2017-04-23,廊坊,66.34,0.53,28.39,98.33,79.69,30.42,6.97
2017-04-24,廊坊,83.18,0.93,44.85,75.72,113.12,40.05,11.92
2017-04-25,廊坊,42.13,0.37,37.02,61.09,42.1,17.03,2.22
2017-04-26,廊坊,57.05,0.43,53.01,59.89,64.47,25.28,2.98
