time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,张家口,75.91,1.11,37.53,39.19,104.38,49.26,32.09
2017-01-02,张家口,69.29,0.99,36.0,49.58,82.69,38.22,33.41
2017-01-03,张家口,80.11,1.16,37.88,47.5,101.2,49.17,33.88
2017-01-04,张家口,95.79,1.38,48.55,38.66,116.44,63.71,41.34
2017-01-05,张家口,139.81,2.11,55.37,31.43,160.03,103.12,38.58
2017-01-06,张家口,169.75,2.51,62.07,17.71,193.97,130.67,44.17
2017-01-07,张家口,61.55,0.77,24.39,52.45,69.88,38.77,18.14
2017-01-08,张家口,34.53,0.58,18.23,64.17,32.85,17.33,17.7
2017-01-09,张家口,39.34,0.57,23.27,62.76,41.93,18.07,20.45
2017-01-10,张家口,37.46,0.61,19.08,64.11,35.25,18.92,17.29
2017-01-11,张家口,48.6,0.8,26.44,55.49,50.25,26.4,24.96
2017-01-12,张家口,51.29,0.72,20.52,63.62,53.96,26.8,18.61
2017-01-13,张家口,36.87,0.63,14.61,72.4,31.45,20.2,12.18
2017-01-14,张家口,49.77,0.87,29.91,54.84,54.81,30.78,25.14
2017-01-15,张家口,111.0,1.69,52.82,22.19,127.96,78.46,39.27
2017-01-16,张家口,171.4,2.06,59.88,10.27,194.66,131.43,46.13
2017-01-17,张家口,115.88,1.35,40.07,38.07,139.96,80.59,30.98
2017-01-18,张家口,62.07,1.02,35.08,46.58,77.75,35.44,32.23
2017-01-19,张家口,66.24,0.72,21.18,63.26,84.43,29.97,17.22
2017-01-20,张家口,51.38,0.82,25.36,58.96,55.08,29.43,24.69
2017-01-21,张家口,48.22,0.58,13.97,74.91,51.75,21.65,13.7
2017-01-22,张家口,40.34,0.71,17.76,68.62,37.9,20.83,18.07
2017-01-23,张家口,51.18,0.88,29.08,60.81,52.03,28.76,24.22
2017-01-24,张家口,61.42,1.03,33.28,57.9,67.17,39.02,29.37
2017-01-25,张家口,103.03,1.68,53.55,37.63,127.37,73.53,50.58
2017-01-26,张家口,111.81,1.54,40.46,44.84,147.71,70.94,37.19
2017-01-27,张家口,54.7,0.84,21.76,64.22,63.65,30.41,29.44
2017-01-28,张家口,181.81,1.5,39.47,47.69,213.01,133.04,59.29
2017-01-29,张家口,52.1,0.55,8.49,78.84,62.76,17.85,10.02
2017-01-30,张家口,40.66,0.83,22.02,61.47,40.91,24.46,23.9
2017-01-31,张家口,46.07,0.66,17.39,62.21,45.54,24.1,21.97
2017-02-01,张家口,46.24,0.56,17.89,67.11,51.13,26.11,26.73
2017-02-02,张家口,68.84,0.95,35.49,53.95,82.75,43.29,38.61
2017-02-03,张家口,124.14,1.57,47.49,57.45,149.79,90.98,56.76
2017-02-04,张家口,81.2,1.05,27.51,61.56,87.72,56.32,21.03
2017-02-05,张家口,34.73,0.59,14.49,70.47,29.66,18.1,15.03
2017-02-06,张家口,48.19,0.75,22.09,71.47,55.39,29.39,19.98
2017-02-07,张家口,82.02,1.11,38.15,41.11,96.39,53.95,24.36
2017-02-08,张家口,35.36,0.46,11.53,78.98,33.94,15.76,15.02
2017-02-09,张家口,31.08,0.51,10.85,79.49,26.73,15.09,15.11
2017-02-10,张家口,32.75,0.57,14.0,76.93,27.77,15.18,14.98
2017-02-11,张家口,39.32,0.69,16.6,68.16,37.45,19.11,20.0
2017-02-12,张家口,53.87,0.78,22.12,66.88,58.51,29.32,22.44
2017-02-13,张家口,51.31,0.8,23.73,64.57,54.63,25.91,20.58
2017-02-14,张家口,104.56,1.81,50.42,48.82,128.96,74.17,53.24
2017-02-15,张家口,211.96,3.17,86.58,33.3,242.66,168.36,79.15
2017-02-16,张家口,72.84,0.8,20.97,78.76,93.37,36.25,16.64
2017-02-17,张家口,38.39,0.67,18.77,73.5,32.61,18.88,22.24
2017-02-18,张家口,58.31,0.89,23.85,72.29,68.67,30.43,23.39
2017-02-19,张家口,80.8,1.0,26.81,67.99,105.78,44.21,21.38
2017-02-20,张家口,39.4,0.65,18.24,75.61,39.43,21.96,15.63
2017-02-21,张家口,60.53,1.0,31.39,53.66,59.53,38.38,18.6
2017-02-22,张家口,52.94,0.85,22.09,73.08,46.07,34.53,15.77
2017-02-23,张家口,38.89,0.68,17.05,83.69,32.65,21.86,14.23
2017-02-24,张家口,39.48,0.69,16.85,77.58,33.36,23.1,14.05
2017-02-25,张家口,43.73,0.85,22.95,71.53,40.0,22.88,22.43
2017-02-26,张家口,44.52,0.8,21.63,71.89,40.97,25.5,18.18
2017-02-27,张家口,45.43,0.81,21.53,70.82,46.43,24.69,20.82
2017-02-28,张家口,40.36,0.73,18.71,75.85,36.58,20.06,14.39
2017-03-01,张家口,40.33,0.59,11.15,91.5,38.28,15.84,10.43
