time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,承德,129.26,3.17,72.25,7.96,194.39,95.32,59.22
2017-01-02,承德,84.71,1.72,55.52,29.95,109.46,53.53,24.7
2017-01-03,承德,103.4,2.27,70.94,11.15,144.67,68.75,46.54
2017-01-04,承德,111.1,2.41,70.84,11.97,154.35,75.48,34.56
2017-01-05,承德,123.71,2.43,75.63,8.97,170.97,87.96,35.27
2017-01-06,承德,149.36,3.45,80.18,11.83,205.58,110.72,42.92
2017-01-07,承德,150.02,3.09,82.07,7.79,188.86,113.98,34.17
2017-01-08,承德,58.6,0.92,37.57,43.2,61.35,38.94,17.64
2017-01-09,承德,38.01,0.73,29.69,51.11,39.34,20.92,18.02
2017-01-10,承德,39.55,0.56,23.79,62.17,42.21,20.05,12.79
2017-01-11,承德,66.57,1.31,50.95,24.54,82.44,35.02,27.02
2017-01-12,承德,59.91,1.23,42.85,34.45,71.38,32.2,26.97
2017-01-13,承德,30.21,0.35,9.17,76.58,27.24,12.92,9.03
2017-01-14,承德,48.47,0.81,35.55,37.56,52.54,26.84,17.77
2017-01-15,承德,75.92,1.5,51.59,15.87,93.48,48.91,33.2
2017-01-16,承德,96.34,1.56,52.55,12.13,116.75,70.28,36.64
2017-01-17,承德,118.04,1.76,55.46,19.88,135.41,87.46,36.57
2017-01-18,承德,57.34,0.94,40.19,28.48,65.63,31.78,20.23
2017-01-19,承德,56.08,0.8,31.19,42.59,65.59,30.22,23.59
2017-01-20,承德,41.85,0.64,27.26,55.98,45.62,24.46,21.91
2017-01-21,承德,52.58,0.74,26.44,48.12,58.62,27.18,15.78
2017-01-22,承德,39.77,0.63,24.52,50.3,39.08,23.15,15.48
2017-01-23,承德,53.6,0.95,38.62,33.16,59.48,30.62,26.12
2017-01-24,承德,71.04,1.41,48.73,24.96,84.6,44.14,35.12
2017-01-25,承德,114.08,2.15,64.97,20.33,139.92,82.28,52.09
2017-01-26,承德,129.32,2.15,58.2,30.29,156.21,94.86,35.95
2017-01-27,承德,55.27,0.97,31.61,48.32,57.74,34.96,30.96
2017-01-28,承德,238.12,1.52,49.76,22.33,258.13,200.05,66.01
2017-01-29,承德,65.7,0.64,18.31,60.44,74.1,36.71,16.66
2017-01-30,承德,39.42,0.67,21.31,59.24,38.85,22.44,20.5
2017-01-31,承德,58.92,1.02,29.36,44.75,67.62,34.4,27.06
2017-02-01,承德,48.63,0.69,24.45,57.43,50.1,30.05,23.57
2017-02-02,承德,77.38,1.74,49.27,24.4,92.31,50.64,61.36
2017-02-03,承德,95.78,1.94,58.67,24.21,118.66,64.81,48.25
2017-02-04,承德,134.67,2.07,55.71,48.58,165.65,98.83,43.13
2017-02-05,承德,38.17,0.59,19.18,68.19,36.61,17.0,13.97
2017-02-06,承德,39.45,0.68,28.91,56.64,42.21,20.17,17.98
2017-02-07,承德,65.24,1.26,50.28,22.13,77.57,38.64,33.2
2017-02-08,承德,56.73,0.74,22.28,64.48,66.2,26.15,15.28
2017-02-09,承德,36.31,0.37,7.18,88.56,34.69,11.92,9.83
2017-02-10,承德,36.53,0.37,7.86,90.2,35.51,11.93,8.87
2017-02-11,承德,69.74,0.76,30.05,57.59,77.53,43.64,21.74
2017-02-12,承德,83.29,1.46,49.38,31.9,101.93,53.15,37.38
2017-02-13,承德,71.43,1.35,46.42,29.91,92.43,41.42,27.98
2017-02-14,承德,104.42,1.94,64.62,25.77,128.84,70.44,39.82
2017-02-15,承德,203.96,2.89,91.58,34.32,257.2,156.95,44.31
2017-02-16,承德,117.85,1.59,56.35,47.58,142.33,85.92,22.77
2017-02-17,承德,41.48,0.74,31.48,54.94,44.59,20.3,16.18
2017-02-18,承德,70.01,1.31,51.59,34.51,87.58,36.73,33.52
2017-02-19,承德,103.23,1.33,48.01,49.5,149.82,54.96,27.49
2017-02-20,承德,44.11,0.55,20.73,72.51,46.77,17.98,11.86
2017-02-21,承德,62.62,1.15,48.18,29.72,74.39,32.37,27.34
2017-02-22,承德,53.1,0.78,27.18,66.15,53.99,35.28,18.55
2017-02-23,承德,38.32,0.75,27.08,63.59,37.61,20.83,12.45
2017-02-24,承德,37.38,0.79,26.07,63.85,34.46,17.63,13.52
2017-02-25,承德,40.88,0.84,31.34,55.15,41.61,19.19,14.72
2017-02-26,承德,53.5,1.12,41.74,41.56,60.55,27.82,24.95
2017-02-27,承德,63.3,1.36,43.71,43.13,76.82,36.04,29.05
2017-02-28,承德,49.57,0.94,36.42,49.11,53.06,22.96,17.82
2017-03-01,承德,41.85,0.65,17.88,79.81,42.08,16.34,11.78
2017-03-02,承德,58.9,0.98,41.97,42.24,70.76,26.17,25.22
2017-03-03,承德,81.75,1.2,54.94,37.82,110.22,46.6,23.44
2017-03-04,承德,87.52,1.41,50.8,54.57,121.79,54.75,28.74
2017-03-05,承德,42.93,0.37,13.05,85.41,44.19,14.88,11.4
2017-03-06,承德,46.43,0.53,20.52,63.91,49.11,17.51,11.99
2017-03-07,承德,35.79,0.33,9.05,85.32,33.56,11.75,9.45
2017-03-08,承德,43.84,0.38,11.23,91.08,44.6,12.18,10.7
2017-03-09,承德,48.67,0.7,31.28,55.58,52.87,20.03,15.35
2017-03-10,承德,57.05,0.96,41.12,42.87,65.01,25.78,25.33
2017-03-11,承德,59.67,0.87,36.38,52.76,70.9,29.63,24.12
2017-03-12,承德,34.73,0.28,8.42,94.74,29.76,12.68,8.64
2017-03-13,承德,42.79,0.46,26.57,62.95,43.43,16.63,13.44
2017-03-14,承德,51.28,0.66,38.2,49.57,57.89,22.94,19.15
2017-03-15,承德,70.33,0.99,47.95,58.11,88.62,37.01,26.14
2017-03-16,承德,95.24,1.23,61.53,61.24,131.02,63.66,30.73
2017-03-17,承德,112.43,1.23,67.24,51.91,158.55,78.38,29.17
2017-03-18,承德,90.22,0.94,55.48,57.24,117.16,57.71,20.03
2017-03-19,承德,123.95,1.34,64.06,82.07,171.92,88.22,28.89
2017-03-20,承德,99.21,0.92,48.83,59.52,119.62,69.65,20.57
2017-03-21,承德,56.56,0.84,40.32,39.87,63.84,28.66,19.87
2017-03-22,承德,96.38,0.99,53.12,63.91,130.62,60.77,24.27
2017-03-23,承德,105.9,1.21,47.74,68.97,126.94,78.21,22.23
2017-03-24,承德,86.26,1.55,46.49,48.93,87.77,63.55,20.88
2017-03-25,承德,59.35,0.9,31.64,61.93,59.93,39.59,23.39
2017-03-26,承德,39.07,0.49,27.99,60.14,36.08,18.98,12.35
2017-03-27,承德,43.66,0.59,31.49,59.28,43.55,20.93,14.66
2017-03-28,承德,63.54,0.83,46.38,56.43,74.99,33.66,20.79
2017-03-29,承德,78.05,0.91,50.05,63.1,101.51,47.64,23.47
2017-03-30,承德,50.42,0.45,23.78,77.52,54.26,28.77,12.62
2017-03-31,承德,53.06,0.45,24.76,70.53,60.14,19.0,10.7
2017-04-01,承德,58.02,0.58,29.93,61.36,68.13,19.41,16.59
2017-04-02,承德,73.04,0.97,43.08,56.38,95.47,30.43,27.68
