time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,沧州,177.51,2.93,69.28,7.4,272.63,140.04,35.82
2017-01-02,沧州,229.47,4.46,82.98,17.3,252.03,184.2,53.98
2017-01-03,沧州,225.22,4.7,71.1,8.07,272.46,179.65,42.18
2017-01-04,沧州,175.94,4.02,77.86,6.39,197.67,134.83,43.82
2017-01-05,沧州,115.31,2.01,62.92,12.0,157.83,83.01,42.54
2017-01-06,沧州,173.42,2.59,82.56,5.61,198.75,133.78,50.35
2017-01-07,沧州,239.25,3.1,94.17,6.54,259.35,191.28,63.07
2017-01-08,沧州,214.51,3.17,68.31,18.42,237.62,167.31,37.06
2017-01-09,沧州,93.8,1.64,51.94,26.28,110.19,67.12,31.96
2017-01-10,沧州,81.75,1.46,56.85,26.35,85.31,58.19,42.29
2017-01-11,沧州,151.1,2.0,68.82,20.47,167.29,116.18,68.21
2017-01-12,沧州,297.07,3.7,87.14,12.24,351.46,246.44,64.61
2017-01-13,沧州,120.35,2.04,59.07,25.89,137.83,88.04,40.83
2017-01-14,沧州,57.19,1.23,44.84,30.57,58.86,38.16,39.66
2017-01-15,沧州,61.49,0.99,43.21,29.62,63.11,41.57,47.81
2017-01-16,沧州,133.12,1.76,65.26,6.94,141.54,100.62,89.11
2017-01-17,沧州,237.18,2.61,81.46,6.54,245.83,189.35,94.56
2017-01-18,沧州,203.67,3.24,76.82,14.63,215.31,164.14,76.74
2017-01-19,沧州,155.59,1.9,50.4,33.46,179.66,108.1,55.81
2017-01-20,沧州,54.94,0.85,37.9,46.15,57.78,34.28,36.71
2017-01-21,沧州,73.06,1.0,39.79,41.75,81.07,48.12,41.68
2017-01-22,沧州,59.49,1.12,48.94,33.53,58.94,41.74,49.25
2017-01-23,沧州,90.62,1.38,61.68,24.54,91.51,67.1,86.73
2017-01-24,沧州,123.31,1.66,61.36,26.53,117.82,92.81,58.11
2017-01-25,沧州,277.42,3.11,85.4,22.74,281.59,227.18,119.75
2017-01-26,沧州,214.86,1.99,52.31,35.41,225.35,163.73,64.45
2017-01-27,沧州,65.57,0.91,28.61,60.5,59.48,44.51,50.01
2017-01-28,沧州,297.7,2.19,55.7,22.52,318.52,247.12,115.85
2017-01-29,沧州,139.33,1.5,30.87,43.81,156.06,94.58,39.12
2017-01-30,沧州,45.78,0.93,25.31,55.71,43.52,30.04,34.51
