time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,秦皇岛,375.49,8.5,137.58,5.27,464.33,333.74,66.89
2017-01-02,秦皇岛,137.74,3.64,86.6,21.89,154.48,103.88,51.33
2017-01-03,秦皇岛,190.61,4.5,113.97,14.88,210.44,148.04,72.31
2017-01-04,秦皇岛,133.03,2.51,74.92,20.27,149.61,99.64,39.31
2017-01-05,秦皇岛,72.36,1.16,56.23,33.77,78.45,49.78,44.65
2017-01-06,秦皇岛,120.37,3.83,88.63,13.98,150.25,88.37,90.59
2017-01-07,秦皇岛,115.82,2.21,67.63,24.06,131.08,86.43,45.9
2017-01-08,秦皇岛,83.32,1.36,55.07,31.52,84.52,60.66,30.25
2017-01-09,秦皇岛,41.77,0.87,36.01,46.37,41.34,24.41,22.59
2017-01-10,秦皇岛,46.14,1.32,48.96,35.38,49.36,27.51,28.78
2017-01-11,秦皇岛,107.8,3.07,84.32,12.8,122.12,77.45,65.39
2017-01-12,秦皇岛,75.12,1.26,59.96,26.25,82.33,51.35,53.74
2017-01-13,秦皇岛,42.61,0.83,42.78,39.92,42.71,23.22,24.18
2017-01-14,秦皇岛,51.6,0.66,38.08,38.67,57.75,20.12,28.34
2017-01-15,秦皇岛,85.08,2.38,61.44,14.9,101.63,57.11,61.29
2017-01-16,秦皇岛,76.24,1.46,51.28,24.39,86.53,53.37,51.36
2017-01-17,秦皇岛,141.3,3.01,72.22,8.1,165.7,106.53,78.52
2017-01-18,秦皇岛,78.86,1.52,48.5,35.53,87.27,52.58,36.48
2017-01-19,秦皇岛,66.88,1.0,46.1,32.46,76.8,39.11,32.54
2017-01-20,秦皇岛,43.28,1.0,39.0,52.54,41.83,25.9,34.37
2017-01-21,秦皇岛,58.98,2.31,52.88,41.38,64.1,39.24,52.85
2017-01-22,秦皇岛,42.35,1.09,41.33,44.98,42.82,25.64,30.8
2017-01-23,秦皇岛,55.92,1.57,53.1,34.4,59.7,37.09,43.56
2017-01-24,秦皇岛,121.77,4.03,86.2,19.65,134.98,92.48,85.12
2017-01-25,秦皇岛,216.92,5.92,113.4,17.69,225.22,169.51,113.43
2017-01-26,秦皇岛,217.33,4.3,92.02,22.59,232.29,175.49,105.07
