time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,衡水,180.82,2.97,51.98,9.79,298.35,127.61,20.96
2017-01-02,衡水,301.9,4.96,71.7,18.32,393.97,207.82,29.3
2017-01-03,衡水,219.36,4.41,59.2,11.49,307.13,151.29,22.96
2017-01-04,衡水,151.62,3.77,61.69,7.25,221.96,106.53,16.56
2017-01-05,衡水,219.36,4.95,79.01,3.29,314.32,145.57,21.69
2017-01-06,衡水,247.43,3.29,70.19,4.14,321.26,178.11,25.43
2017-01-07,衡水,330.29,3.17,86.67,5.46,409.8,242.45,37.77
2017-01-08,衡水,271.53,3.49,71.19,18.04,340.56,204.04,27.67
2017-01-09,衡水,161.07,2.54,48.84,27.74,234.55,109.32,27.25
2017-01-10,衡水,136.24,1.75,53.07,25.68,173.72,91.42,42.49
2017-01-11,衡水,236.71,2.28,66.4,16.94,295.41,176.71,54.93
2017-01-12,衡水,358.51,3.57,82.86,11.92,455.19,258.93,60.46
2017-01-13,衡水,163.08,1.76,58.0,22.72,211.38,107.9,35.64
2017-01-14,衡水,129.64,1.89,53.89,18.93,162.09,89.5,42.04
2017-01-15,衡水,124.61,1.49,46.0,15.52,167.13,88.13,45.52
2017-01-16,衡水,271.05,2.81,62.74,5.06,352.03,196.65,55.37
2017-01-17,衡水,301.75,3.15,63.88,8.94,366.07,222.03,69.42
2017-01-18,衡水,334.78,3.3,70.67,7.48,407.28,246.47,69.74
2017-01-19,衡水,332.49,2.23,51.31,31.54,460.29,209.71,45.21
2017-01-20,衡水,79.26,0.83,30.56,45.33,94.05,44.11,27.88
2017-01-21,衡水,116.0,1.31,39.04,38.24,161.65,78.65,42.24
2017-01-22,衡水,76.9,1.08,36.96,37.56,98.18,39.62,29.62
2017-01-23,衡水,177.75,2.04,72.58,18.92,231.73,127.1,74.5
2017-01-24,衡水,222.96,2.62,78.06,12.89,272.6,168.96,72.08
2017-01-25,衡水,377.67,3.87,89.39,21.42,422.85,327.24,77.17
2017-01-26,衡水,317.55,2.46,58.82,31.69,355.57,269.16,43.49
2017-01-27,衡水,113.46,0.88,26.97,56.87,133.23,81.72,31.19
2017-01-28,衡水,212.73,1.27,29.98,39.53,238.4,168.05,44.27
2017-01-29,衡水,192.43,1.47,27.94,37.7,222.6,121.46,23.74
2017-01-30,衡水,67.1,0.93,17.6,56.43,60.57,46.89,23.81
2017-01-31,衡水,95.21,1.15,22.62,57.72,107.72,66.43,33.31
2017-02-01,衡水,104.25,1.22,32.31,46.97,108.22,71.44,32.49
2017-02-02,衡水,125.64,1.32,28.99,62.85,142.38,93.67,40.79
2017-02-03,衡水,178.0,1.2,24.64,63.33,176.82,135.46,25.54
2017-02-04,衡水,199.0,1.32,32.29,31.01,202.09,152.33,15.14
2017-02-05,衡水,282.47,2.8,65.0,25.44,331.65,237.19,27.85
2017-02-06,衡水,107.54,1.08,50.94,32.32,115.74,73.49,25.76
2017-02-07,衡水,64.51,0.68,36.99,42.06,71.11,40.55,27.74
2017-02-08,衡水,100.83,1.23,56.36,30.88,121.04,73.8,32.1
2017-02-09,衡水,74.58,0.71,36.93,47.94,87.83,42.26,16.47
2017-02-10,衡水,61.17,0.6,38.4,51.81,63.67,36.56,16.69
2017-02-11,衡水,150.69,1.47,64.04,36.26,169.28,114.53,83.76
2017-02-12,衡水,247.85,1.82,71.14,36.21,275.19,201.03,93.1
2017-02-13,衡水,282.94,2.53,101.79,35.36,321.89,236.33,94.18
2017-02-14,衡水,258.75,2.08,96.31,31.83,296.4,208.51,60.75
2017-02-15,衡水,280.11,1.81,72.54,60.86,353.08,208.88,48.22
2017-02-16,衡水,242.57,1.71,67.96,41.38,307.91,154.21,34.06
2017-02-17,衡水,58.35,0.62,45.01,44.68,65.56,32.81,14.46
2017-02-18,衡水,125.79,1.08,57.75,39.97,168.14,89.51,23.46
2017-02-19,衡水,192.97,1.14,50.49,52.96,249.67,139.51,22.43
2017-02-20,衡水,65.72,0.44,24.49,64.58,82.08,23.94,10.49
2017-02-21,衡水,64.64,0.78,39.15,39.74,67.49,39.4,20.1
2017-02-22,衡水,182.74,1.72,46.3,44.36,170.95,142.81,28.67
2017-02-23,衡水,135.74,1.53,51.61,53.24,154.54,102.81,31.88
2017-02-24,衡水,118.32,1.34,55.3,42.13,138.38,83.34,45.57
2017-02-25,衡水,82.56,0.96,50.74,47.22,97.2,55.58,32.53
2017-02-26,衡水,115.01,1.23,65.08,40.56,128.86,82.72,42.47
2017-02-27,衡水,141.98,1.63,76.15,34.98,176.27,103.88,47.67
2017-02-28,衡水,119.22,1.13,55.0,45.94,152.53,83.76,31.39
2017-03-01,衡水,106.47,0.91,46.01,50.33,138.33,56.51,20.82
2017-03-02,衡水,76.75,0.76,43.25,52.96,101.22,35.43,16.9
2017-03-03,衡水,112.38,1.08,55.24,44.06,151.4,76.54,30.94
2017-03-04,衡水,184.99,1.56,78.08,41.01,217.81,140.94,38.11
2017-03-05,衡水,124.38,1.05,57.38,48.1,151.82,86.33,24.36
2017-03-06,衡水,82.26,0.86,44.76,51.86,106.17,44.92,22.38
2017-03-07,衡水,61.08,0.62,35.51,57.36,70.8,29.17,12.67
2017-03-08,衡水,64.74,0.55,33.83,65.22,77.6,36.42,21.41
2017-03-09,衡水,83.1,0.76,51.11,55.15,103.77,49.86,29.38
2017-03-10,衡水,93.9,0.84,65.99,55.1,123.38,63.29,31.99
2017-03-11,衡水,180.58,1.15,85.74,49.1,228.47,137.64,49.65
2017-03-12,衡水,106.62,0.57,42.07,63.57,144.76,49.47,13.78
2017-03-13,衡水,65.85,0.71,55.03,50.77,80.82,38.71,20.26
2017-03-14,衡水,96.42,1.17,61.86,56.42,126.16,64.62,44.22
2017-03-15,衡水,105.07,0.78,60.46,83.64,142.71,71.16,28.23
2017-03-16,衡水,98.21,0.65,44.53,85.72,133.93,63.11,17.76
2017-03-17,衡水,128.04,0.79,51.26,83.93,164.38,93.61,21.22
2017-03-18,衡水,173.07,1.02,72.1,87.51,200.82,131.14,26.11
2017-03-19,衡水,183.71,1.1,83.36,81.0,226.56,141.25,32.82
2017-03-20,衡水,116.88,0.84,47.69,81.38,152.19,80.35,27.19
2017-03-21,衡水,76.11,0.54,46.67,62.75,101.61,41.15,23.53
2017-03-22,衡水,144.07,0.96,55.56,59.38,169.86,107.51,32.99
2017-03-23,衡水,107.78,0.79,44.96,55.71,105.94,80.33,15.83
2017-03-24,衡水,159.0,1.1,47.71,34.51,152.22,120.58,18.24
2017-03-25,衡水,106.76,0.91,41.18,50.29,119.01,73.72,15.08
2017-03-26,衡水,61.75,0.46,31.63,66.07,68.44,34.48,13.78
2017-03-27,衡水,69.88,0.59,43.83,63.39,84.59,40.88,17.32
2017-03-28,衡水,65.67,0.64,29.26,76.1,70.19,44.63,11.57
2017-03-29,衡水,114.72,0.67,36.03,82.56,139.53,84.1,12.67
2017-03-30,衡水,166.39,0.94,44.4,61.28,206.18,124.22,18.35
2017-03-31,衡水,90.15,0.62,44.26,83.53,116.14,62.49,12.86
2017-04-01,衡水,91.07,0.73,41.53,73.49,122.24,51.99,26.53
2017-04-02,衡水,101.4,0.71,53.65,69.83,142.39,68.33,20.74
2017-04-03,衡水,141.17,0.87,53.16,91.63,188.71,104.44,25.21
2017-04-04,衡水,98.18,0.69,35.8,75.87,121.51,70.2,17.88
2017-04-05,衡水,96.74,0.72,31.57,68.5,88.07,70.96,10.97
2017-04-06,衡水,127.75,0.86,42.42,78.54,132.22,95.81,14.8
2017-04-07,衡水,200.99,1.04,52.24,84.1,212.81,154.4,20.83
2017-04-08,衡水,151.93,0.9,54.11,41.24,174.48,111.54,14.82
2017-04-09,衡水,75.0,0.6,40.08,45.79,98.96,35.68,16.78
2017-04-10,衡水,74.21,0.62,42.74,56.57,97.69,37.21,16.29
2017-04-11,衡水,110.06,1.03,43.5,66.06,156.88,62.93,17.75
2017-04-12,衡水,145.32,1.13,43.22,107.46,189.39,107.67,28.76
2017-04-13,衡水,149.78,1.06,42.61,57.19,194.89,108.22,18.51
2017-04-14,衡水,104.01,1.2,44.9,57.94,144.94,68.03,26.89
2017-04-15,衡水,117.96,0.93,37.38,72.03,155.79,79.04,28.72
2017-04-16,衡水,81.53,0.9,28.93,71.76,105.75,47.74,25.26
2017-04-17,衡水,178.01,0.77,30.08,66.19,266.83,62.57,24.0
2017-04-18,衡水,107.37,0.37,25.3,83.22,158.97,24.16,10.14
2017-04-19,衡水,89.38,0.75,54.37,37.88,119.35,49.03,25.82
2017-04-20,衡水,93.26,0.77,39.77,59.07,133.22,44.15,18.94
2017-04-21,衡水,83.53,0.51,30.72,74.57,116.57,31.88,11.96
2017-04-22,衡水,96.83,0.74,39.26,86.65,142.26,47.96,27.4
2017-04-23,衡水,96.51,0.53,32.44,102.49,141.72,50.47,19.06
2017-04-24,衡水,94.44,0.67,42.47,88.64,135.04,57.64,16.82
2017-04-25,衡水,74.89,0.43,26.76,70.89,99.31,26.97,9.35
2017-04-26,衡水,73.22,0.55,38.86,70.51,96.43,36.43,21.71
2017-04-27,衡水,82.68,0.54,33.19,83.92,114.38,32.94,28.61
2017-04-28,衡水,93.95,0.66,32.65,97.6,137.05,35.55,28.74
2017-04-29,衡水,102.1,0.67,45.24,80.76,164.12,51.41,42.78
2017-04-30,衡水,161.44,0.75,34.25,97.68,261.87,65.0,32.67
2017-05-01,衡水,127.22,0.75,40.45,98.17,201.77,53.57,24.16
2017-05-02,衡水,139.12,0.99,59.17,103.0,213.55,84.31,23.51
2017-05-03,衡水,70.56,0.54,19.04,92.85,93.21,40.52,11.01
2017-05-04,衡水,228.68,0.62,30.07,74.08,387.19,150.31,10.79
2017-05-05,衡水,327.52,0.53,28.55,77.68,713.62,120.55,10.43
2017-05-06,衡水,183.68,0.55,26.62,87.1,278.6,51.46,22.83
2017-05-07,衡水,140.76,0.86,42.28,99.11,230.99,69.41,20.69
2017-05-08,衡水,133.96,0.6,27.46,108.79,223.5,57.15,14.58
2017-05-09,衡水,83.22,0.51,19.46,118.3,112.01,38.62,8.48
2017-05-10,衡水,94.32,0.65,28.82,113.79,130.82,52.86,14.92
2017-05-11,衡水,116.06,0.82,33.8,103.68,181.47,53.38,26.57
2017-05-12,衡水,176.45,0.51,23.17,117.88,281.36,39.51,14.44
2017-05-13,衡水,123.87,0.54,29.04,98.58,191.66,37.71,12.42
2017-05-14,衡水,92.42,0.57,30.61,116.2,132.61,39.47,23.77
2017-05-15,衡水,85.15,0.67,30.08,115.83,116.51,40.11,14.25
2017-05-16,衡水,75.28,0.7,23.02,115.04,96.81,35.81,21.1
2017-05-17,衡水,95.94,0.75,20.47,139.68,138.98,56.18,15.17
2017-05-18,衡水,103.9,0.82,19.44,137.11,154.51,57.38,15.07
2017-05-19,衡水,98.06,0.74,18.31,139.9,147.49,50.49,14.99
2017-05-20,衡水,106.0,0.84,26.32,134.82,147.64,66.79,15.53
2017-05-21,衡水,103.91,0.82,29.74,136.21,141.43,63.09,17.27
2017-05-22,衡水,133.56,1.1,33.65,77.25,193.18,87.96,14.25
2017-05-23,衡水,47.81,0.58,16.55,105.12,50.58,23.55,9.19
2017-05-24,衡水,68.44,0.62,30.36,91.6,87.72,29.29,22.43
2017-05-25,衡水,106.28,0.79,28.28,95.14,153.01,37.99,23.19
2017-05-26,衡水,90.17,0.76,29.99,132.62,117.71,37.38,22.52
2017-05-27,衡水,114.68,0.92,26.11,166.4,160.71,57.43,23.65
2017-05-28,衡水,119.78,0.83,20.58,190.11,168.76,59.51,19.85
2017-05-29,衡水,122.09,0.69,27.61,110.24,185.5,61.67,14.5
2017-05-30,衡水,96.67,0.87,25.26,115.73,126.89,57.17,11.26
2017-05-31,衡水,80.35,0.71,20.32,130.03,77.72,47.21,10.56
2017-06-01,衡水,92.79,0.71,22.08,133.68,112.6,60.17,14.05
2017-06-02,衡水,99.69,0.63,27.71,106.29,150.44,41.83,17.69
2017-06-03,衡水,54.78,0.61,23.31,94.17,61.28,25.57,11.31
2017-06-04,衡水,74.32,0.57,31.38,119.92,92.46,33.83,15.35
2017-06-05,衡水,93.51,0.55,32.04,90.0,137.0,47.38,16.15
2017-06-06,衡水,47.94,0.44,19.26,81.22,43.83,31.69,4.71
2017-06-07,衡水,78.62,0.67,29.22,114.31,81.37,48.22,12.69
2017-06-08,衡水,92.85,0.61,25.19,137.92,124.77,48.1,14.07
2017-06-09,衡水,93.85,0.74,27.36,124.11,120.0,49.92,18.47
2017-06-10,衡水,126.3,0.59,33.38,111.7,194.59,61.77,16.11
2017-06-11,衡水,115.93,0.66,40.58,122.21,174.67,68.82,23.82
2017-06-12,衡水,142.62,0.88,36.62,123.23,202.57,100.21,16.52
2017-06-13,衡水,93.51,0.65,28.47,109.31,90.02,69.01,11.21
2017-06-14,衡水,136.49,0.86,35.3,143.83,139.06,89.68,18.25
2017-06-15,衡水,102.95,0.64,23.23,193.67,127.46,63.77,13.03
2017-06-16,衡水,111.9,0.64,24.39,162.49,135.5,69.24,12.69
2017-06-17,衡水,97.39,0.58,27.23,157.48,135.99,55.28,15.14
2017-06-18,衡水,89.21,0.57,19.82,169.31,114.32,47.87,13.49
2017-06-19,衡水,111.76,0.92,28.11,173.04,130.62,72.11,20.94
2017-06-20,衡水,116.54,0.89,27.96,159.74,151.79,75.07,18.88
2017-06-21,衡水,105.04,0.77,17.94,160.0,126.61,65.53,12.6
2017-06-22,衡水,64.46,0.78,20.47,91.76,54.86,44.63,5.71
2017-06-23,衡水,70.74,0.98,20.35,79.29,62.38,47.86,6.12
2017-06-24,衡水,68.35,0.79,19.68,92.64,58.41,47.5,6.19
2017-06-25,衡水,90.11,0.77,30.38,119.57,80.91,56.64,8.47
2017-06-26,衡水,82.91,0.63,30.69,130.77,77.78,44.68,13.32
2017-06-27,衡水,95.02,0.73,32.47,155.3,101.52,57.27,12.89
2017-06-28,衡水,96.33,0.69,21.32,166.62,107.11,57.72,9.15
2017-06-29,衡水,94.07,0.71,19.84,150.2,101.01,58.75,9.01
2017-06-30,衡水,99.44,0.77,17.08,149.89,101.54,67.38,9.5
2017-07-01,衡水,122.55,0.87,17.58,164.48,123.69,86.86,10.01
2017-07-02,衡水,119.88,0.86,29.07,164.56,131.67,84.97,15.5
2017-07-03,衡水,88.14,0.82,26.21,122.34,93.06,59.33,14.87
2017-07-04,衡水,99.82,0.85,24.39,109.06,114.36,73.15,18.41
2017-07-05,衡水,88.43,0.82,22.89,124.96,85.65,63.14,8.15
2017-07-06,衡水,106.11,0.91,23.54,73.44,91.19,79.11,8.47
2017-07-07,衡水,126.02,1.04,14.62,107.58,107.71,92.42,11.03
