time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,邢台,309.39,7.71,126.41,4.78,426.36,225.29,55.99
2017-01-02,邢台,364.91,6.79,131.92,10.65,465.25,301.78,67.13
2017-01-03,邢台,303.39,8.64,121.14,5.53,396.09,238.04,66.2
2017-01-04,邢台,227.53,5.67,114.94,5.55,310.4,177.31,44.38
2017-01-05,邢台,299.69,5.03,103.78,5.11,380.41,215.2,36.85
2017-01-06,邢台,270.75,3.61,97.66,6.12,361.37,219.24,71.98
2017-01-07,邢台,291.37,2.73,79.98,4.7,362.05,232.74,51.84
2017-01-08,邢台,292.6,3.97,106.25,5.22,354.45,244.71,60.16
2017-01-09,邢台,217.67,3.41,90.48,14.03,269.02,171.86,68.01
2017-01-10,邢台,180.26,2.09,78.17,17.67,215.2,138.9,66.41
2017-01-11,邢台,303.21,4.57,102.64,8.38,377.73,249.1,138.97
2017-01-12,邢台,163.99,3.18,73.11,21.73,208.12,122.34,82.49
2017-01-13,邢台,109.91,1.84,69.0,24.98,139.39,77.7,59.05
2017-01-14,邢台,169.72,2.53,79.57,15.23,211.8,131.65,83.7
2017-01-15,邢台,188.53,2.45,82.35,6.06,227.33,146.72,85.0
2017-01-16,邢台,223.7,1.94,76.28,8.42,252.76,175.48,58.14
2017-01-17,邢台,265.62,2.61,89.86,7.52,309.66,215.49,76.71
2017-01-18,邢台,312.05,3.07,93.47,5.28,362.48,262.05,90.88
2017-01-19,邢台,193.71,2.45,54.82,36.52,231.97,147.06,60.22
2017-01-20,邢台,82.25,1.21,58.5,28.83,107.54,53.15,69.9
2017-01-21,邢台,125.14,1.94,67.2,24.58,163.08,90.21,80.06
2017-01-22,邢台,130.57,1.96,74.79,16.8,156.8,97.72,79.83
2017-01-23,邢台,222.09,2.77,89.89,13.6,255.55,175.78,108.38
2017-01-24,邢台,210.26,2.45,81.6,20.14,229.74,164.11,94.91
2017-01-25,邢台,317.3,4.38,103.0,12.34,365.14,270.99,133.2
2017-01-26,邢台,451.12,6.48,127.33,6.75,557.82,435.15,154.3
2017-01-27,邢台,196.67,2.27,48.98,48.89,228.7,157.68,76.03
2017-01-28,邢台,292.33,2.43,67.1,12.55,334.0,242.85,124.07
2017-01-29,邢台,263.42,2.1,48.09,38.49,323.08,225.96,82.61
2017-01-30,邢台,65.96,0.99,27.46,58.1,72.82,42.45,44.55
2017-01-31,邢台,113.25,2.44,51.42,37.92,133.21,84.35,88.29
2017-02-01,邢台,152.09,2.31,56.72,38.46,171.16,112.16,94.18
2017-02-02,邢台,165.08,3.04,64.29,40.32,190.56,125.08,97.61
2017-02-03,邢台,221.43,2.25,60.64,44.02,233.16,172.71,66.23
2017-02-04,邢台,320.25,3.2,72.45,10.45,373.63,270.0,55.43
2017-02-05,邢台,323.74,3.49,77.73,40.74,371.26,273.64,78.76
2017-02-06,邢台,175.36,1.86,61.08,34.9,195.87,140.2,60.89
2017-02-07,邢台,80.74,1.09,49.3,33.07,93.77,55.42,51.77
2017-02-08,邢台,115.96,1.34,63.23,31.05,142.4,84.57,70.09
2017-02-09,邢台,64.78,0.88,49.55,48.49,78.82,37.25,45.23
2017-02-10,邢台,84.04,1.7,65.51,33.46,111.26,52.37,70.0
2017-02-11,邢台,119.45,2.37,77.91,27.95,152.82,86.64,107.2
2017-02-12,邢台,174.4,3.38,89.31,27.75,207.9,137.13,135.83
