time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,邯郸,323.33,6.84,106.41,3.55,459.14,220.1,64.23
2017-01-02,邯郸,358.32,7.03,129.95,8.71,471.38,277.18,93.06
2017-01-03,邯郸,243.92,6.67,108.07,4.94,314.07,185.66,35.52
2017-01-04,邯郸,265.56,6.63,108.47,4.74,370.29,184.78,49.67
2017-01-05,邯郸,291.04,6.23,108.39,2.96,386.23,218.27,48.84
2017-01-06,邯郸,289.48,4.41,103.88,4.44,384.28,218.7,87.54
2017-01-07,邯郸,281.92,3.71,88.99,2.92,348.98,227.84,76.47
2017-01-08,邯郸,289.47,4.27,112.58,5.83,363.31,239.12,76.53
2017-01-09,邯郸,199.51,3.27,77.95,21.48,256.2,155.81,69.28
2017-01-10,邯郸,222.88,3.32,87.06,16.62,280.34,175.6,100.66
2017-01-11,邯郸,285.4,3.94,91.46,7.96,350.98,232.57,86.93
2017-01-12,邯郸,188.48,4.45,73.66,18.4,262.01,138.1,112.55
2017-01-13,邯郸,129.71,3.09,65.76,24.82,176.99,94.73,103.18
2017-01-14,邯郸,133.04,2.15,65.72,20.89,167.89,97.43,106.89
2017-01-15,邯郸,142.83,2.21,68.16,11.93,181.33,105.99,119.33
2017-01-16,邯郸,258.5,2.79,75.91,5.38,301.9,208.68,107.91
2017-01-17,邯郸,275.99,3.2,89.38,5.92,324.69,225.95,128.47
2017-01-18,邯郸,341.03,4.14,100.7,3.58,396.31,291.94,130.39
2017-01-19,邯郸,193.49,2.62,59.41,34.57,235.25,140.07,75.65
2017-01-20,邯郸,75.26,1.2,40.85,42.98,96.77,39.78,42.89
2017-01-21,邯郸,110.28,1.89,59.25,27.41,148.35,72.05,73.01
2017-01-22,邯郸,129.27,2.38,66.62,30.57,168.88,91.68,94.66
2017-01-23,邯郸,267.01,4.15,106.03,9.52,323.99,216.84,172.22
2017-01-24,邯郸,212.15,3.2,94.16,10.25,259.9,168.4,121.35
2017-01-25,邯郸,332.7,5.49,94.4,24.67,420.08,277.71,189.27
2017-01-26,邯郸,350.85,4.21,85.5,21.29,441.15,295.22,99.6
2017-01-27,邯郸,138.64,1.66,37.1,62.94,190.41,96.66,55.98
2017-01-28,邯郸,170.26,1.51,30.78,40.4,234.79,130.28,63.01
2017-01-29,邯郸,228.84,2.3,46.41,33.12,301.65,170.36,77.71
2017-01-30,邯郸,61.88,0.96,29.61,56.32,73.59,24.47,43.29
2017-01-31,邯郸,81.24,1.42,26.76,55.17,110.12,41.36,49.4
2017-02-01,邯郸,126.96,2.46,55.99,34.67,172.06,88.25,89.54
2017-02-02,邯郸,136.73,2.85,50.36,47.97,188.31,98.39,71.97
2017-02-03,邯郸,158.71,1.74,27.94,72.28,201.41,119.35,33.33
2017-02-04,邯郸,257.85,3.08,51.79,16.13,341.15,203.92,45.86
2017-02-05,邯郸,327.96,4.95,78.66,38.07,418.9,260.86,100.52
2017-02-06,邯郸,172.67,2.63,69.5,26.84,221.83,128.47,81.25
2017-02-07,邯郸,78.03,1.42,51.03,27.02,104.63,38.01,62.64
2017-02-08,邯郸,88.76,1.5,52.39,38.95,125.62,50.19,65.97
2017-02-09,邯郸,70.98,1.43,55.91,35.99,92.9,30.05,63.69
2017-02-10,邯郸,110.5,3.04,64.89,31.25,162.11,69.85,112.11
2017-02-11,邯郸,167.0,2.97,71.17,31.47,224.26,123.15,132.47
