time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,三门峡,350.86,3.64,83.9,8.19,382.93,308.41,60.15
2017-01-01,信阳,148.82,1.69,65.45,21.26,175.73,112.11,26.74
2017-01-01,南阳,271.1,2.35,56.94,17.89,346.57,210.12,24.73
2017-01-01,周口,204.04,2.53,68.25,15.13,233.99,155.87,36.26
2017-01-01,商丘,189.01,1.29,95.81,18.9,218.0,145.04,22.93
2017-01-01,安阳,289.95,5.65,69.64,6.09,342.91,236.82,38.67
2017-01-01,平顶山,303.25,2.8,73.96,7.02,317.75,253.0,44.99
2017-01-01,开封,241.85,2.83,75.03,9.8,234.16,192.12,40.7
2017-01-01,新乡,287.5,4.63,67.24,7.04,381.12,243.35,28.0
2017-01-01,洛阳,282.77,3.2,80.27,10.23,328.76,240.09,52.38
2017-01-01,漯河,209.47,1.55,74.61,19.75,225.71,160.91,14.94
2017-01-01,濮阳,248.89,2.38,54.42,29.89,248.03,200.58,36.84
2017-01-01,焦作,333.77,4.18,96.12,17.58,416.68,294.14,50.9
2017-01-01,许昌,262.67,3.01,83.37,5.55,246.25,212.67,54.05
2017-01-01,郑州,367.71,3.27,99.63,5.61,420.06,320.18,32.74
2017-01-01,驻马店,198.11,2.03,77.05,16.72,219.98,152.0,37.25
2017-01-01,鹤壁,249.51,5.96,63.79,11.81,277.76,212.31,47.93
2017-01-02,三门峡,324.05,3.42,83.29,24.49,357.99,272.82,46.92
2017-01-02,信阳,203.84,1.88,58.14,42.38,235.57,157.42,33.0
2017-01-02,南阳,205.6,2.2,54.95,30.17,263.91,154.86,22.43
2017-01-02,周口,210.54,3.04,55.2,14.32,232.16,165.91,15.3
2017-01-02,商丘,232.19,2.36,83.78,7.31,272.82,183.88,15.04
2017-01-02,安阳,365.56,10.29,126.59,10.55,438.28,301.36,81.34
2017-01-02,平顶山,232.9,2.29,68.96,29.2,235.64,187.45,59.1
2017-01-02,开封,201.39,4.83,82.76,10.25,229.24,156.3,24.74
2017-01-02,新乡,183.82,7.6,80.96,8.04,254.45,139.32,17.91
2017-01-02,洛阳,286.79,3.04,93.36,27.84,314.29,236.57,56.56
2017-01-02,漯河,278.19,2.62,77.61,15.16,322.86,234.19,21.79
2017-01-02,濮阳,207.9,4.67,73.42,9.89,217.39,163.24,35.33
2017-01-02,焦作,261.7,4.79,83.38,13.7,336.39,209.87,26.29
2017-01-02,许昌,242.93,3.91,86.35,14.0,248.96,197.28,33.78
2017-01-02,郑州,342.78,4.15,97.29,8.71,372.16,292.64,25.78
2017-01-02,驻马店,250.07,2.48,66.78,37.6,262.92,200.5,39.57
2017-01-02,鹤壁,274.38,12.31,125.18,14.67,320.0,228.33,75.87
2017-01-03,三门峡,300.88,3.03,83.34,24.44,325.5,249.95,40.0
2017-01-03,信阳,220.12,2.05,71.85,17.34,263.26,175.43,26.04
2017-01-03,南阳,214.75,2.05,50.53,38.81,274.24,164.7,26.86
2017-01-03,周口,153.91,3.26,56.4,19.48,190.96,113.46,19.64
2017-01-03,商丘,145.67,2.06,53.9,19.49,182.01,105.22,9.67
2017-01-03,安阳,263.29,5.96,91.8,7.82,284.79,214.98,33.23
2017-01-03,平顶山,269.66,3.18,80.06,15.56,289.29,221.09,30.88
2017-01-03,开封,186.47,3.84,75.82,19.31,173.3,146.59,19.52
2017-01-03,新乡,196.83,4.92,74.87,10.47,237.63,152.45,14.99
2017-01-03,洛阳,273.56,2.91,88.55,25.74,305.01,222.53,42.54
2017-01-03,漯河,204.72,3.2,74.55,19.25,249.28,159.45,7.57
2017-01-03,濮阳,215.96,3.84,57.33,22.77,208.0,172.02,24.74
2017-01-03,焦作,261.12,4.67,87.31,17.21,303.31,214.9,37.68
2017-01-03,许昌,191.12,3.99,81.19,23.77,192.63,149.92,20.36
2017-01-03,郑州,281.35,4.28,107.45,12.73,310.05,232.75,32.96
2017-01-03,驻马店,213.74,3.4,65.83,13.75,271.6,166.26,19.44
2017-01-03,鹤壁,215.9,5.78,79.75,12.78,234.88,171.28,34.76
2017-01-04,三门峡,283.13,3.02,69.58,33.35,305.6,232.91,38.14
2017-01-04,信阳,205.44,1.96,52.99,6.83,236.16,160.52,20.18
2017-01-04,南阳,183.86,2.24,43.67,20.43,225.47,139.68,14.33
2017-01-04,周口,115.83,2.88,34.11,28.35,130.04,79.15,12.89
2017-01-04,商丘,166.09,2.27,46.46,17.49,191.67,130.42,14.14
2017-01-04,安阳,245.31,6.1,93.19,5.78,276.41,197.55,44.95
2017-01-04,平顶山,178.39,2.75,57.67,8.31,181.08,137.1,26.64
2017-01-04,开封,99.07,2.65,44.74,25.96,112.66,68.83,13.14
2017-01-04,新乡,165.79,4.86,59.56,14.1,213.27,123.54,18.44
2017-01-04,洛阳,245.08,3.57,73.49,10.71,287.39,191.95,10.61
2017-01-04,漯河,104.85,1.85,37.91,29.03,131.64,72.24,5.46
2017-01-04,濮阳,135.72,3.58,49.39,13.98,173.39,100.41,14.25
2017-01-04,焦作,234.39,4.37,74.72,9.82,286.49,182.64,18.76
2017-01-04,许昌,98.08,2.58,44.26,23.39,109.22,70.56,15.65
2017-01-04,郑州,181.81,3.1,64.25,12.09,195.81,143.06,16.44
2017-01-04,驻马店,108.77,1.8,38.62,17.28,142.5,72.97,14.3
2017-01-04,鹤壁,201.81,6.76,84.68,13.46,234.21,158.39,46.12
2017-01-05,三门峡,86.48,3.11,47.2,44.71,77.8,63.78,19.98
2017-01-05,信阳,67.65,2.43,57.96,9.6,65.03,47.93,17.26
2017-01-05,南阳,71.79,2.39,38.09,44.83,75.19,50.2,15.04
2017-01-05,周口,112.41,3.62,52.56,10.43,112.04,84.07,14.13
2017-01-05,商丘,186.26,2.69,56.06,4.13,178.51,142.54,16.0
2017-01-05,安阳,318.88,7.05,103.59,5.32,352.02,269.42,55.55
2017-01-05,平顶山,113.16,3.33,60.96,20.38,92.8,85.52,21.19
2017-01-05,开封,147.95,5.02,72.08,5.45,144.31,112.25,24.2
2017-01-05,新乡,209.49,5.27,79.35,25.04,213.0,163.19,36.38
2017-01-05,洛阳,148.74,4.5,79.53,13.03,138.35,113.02,19.87
2017-01-05,漯河,92.47,3.18,58.79,8.38,90.12,68.56,5.92
2017-01-05,濮阳,134.93,5.14,61.93,4.89,139.57,101.56,16.69
2017-01-05,焦作,228.94,6.67,93.82,10.27,222.87,180.39,23.68
2017-01-05,许昌,128.0,4.76,75.5,7.72,105.42,95.94,23.89
2017-01-05,郑州,222.01,4.88,90.27,13.87,227.21,177.15,27.55
2017-01-05,驻马店,84.55,2.6,57.36,8.54,76.74,62.16,16.16
2017-01-05,鹤壁,260.14,6.84,101.67,13.79,278.76,210.69,64.83
2017-01-06,三门峡,68.33,2.41,36.06,35.64,67.96,49.42,16.05
