time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,三门峡,350.86,3.64,83.9,8.19,382.93,308.41,60.15
2017-01-02,三门峡,324.05,3.42,83.29,24.49,357.99,272.82,46.92
2017-01-03,三门峡,300.88,3.03,83.34,24.44,325.5,249.95,40.0
2017-01-04,三门峡,283.13,3.02,69.58,33.35,305.6,232.91,38.14
2017-01-05,三门峡,86.48,3.11,47.2,44.71,77.8,63.78,19.98
2017-01-06,三门峡,68.33,2.41,36.06,35.64,67.96,49.42,16.05
2017-01-07,三门峡,69.12,2.24,49.3,8.91,70.42,48.72,17.74
2017-01-08,三门峡,73.39,1.73,45.69,24.78,90.1,48.04,24.17
2017-01-09,三门峡,82.2,1.67,54.2,17.0,106.75,56.15,34.86
2017-01-10,三门峡,60.76,1.13,44.81,29.83,67.69,36.23,25.84
2017-01-11,三门峡,67.14,1.25,47.52,28.42,85.8,37.76,29.53
2017-01-12,三门峡,74.69,1.22,53.54,29.75,99.0,37.18,24.7
2017-01-13,三门峡,86.12,1.6,60.36,21.03,121.64,48.53,37.43
2017-01-14,三门峡,118.45,1.52,47.88,41.49,144.12,88.9,44.65
2017-01-15,三门峡,96.99,1.44,52.1,33.79,122.01,71.98,53.33
2017-01-16,三门峡,163.94,1.99,73.88,11.74,183.59,125.96,52.59
2017-01-17,三门峡,235.18,2.48,72.27,23.11,251.49,187.35,40.5
2017-01-18,三门峡,321.99,2.36,70.39,23.26,347.4,272.28,42.84
2017-01-19,三门峡,162.66,1.43,38.38,47.6,187.19,110.7,24.77
2017-01-20,三门峡,54.68,1.37,42.9,43.12,62.31,25.26,33.41
2017-01-21,三门峡,79.86,1.5,47.68,37.47,106.7,46.68,36.79
2017-01-22,三门峡,87.23,1.93,61.47,22.96,121.08,57.56,43.5
2017-01-23,三门峡,170.39,2.04,55.15,50.69,189.31,129.81,69.95
2017-01-24,三门峡,259.0,2.44,56.06,50.72,263.83,209.0,61.61
2017-01-25,三门峡,269.42,2.65,52.18,64.28,272.45,219.98,58.55
2017-01-26,三门峡,344.44,2.28,46.62,56.9,382.63,223.87,37.44
2017-01-27,三门峡,170.07,1.81,34.81,54.81,229.05,105.79,37.41
2017-01-28,三门峡,172.26,1.8,29.2,60.82,200.62,130.65,47.26
2017-01-29,三门峡,128.75,1.43,24.67,53.84,160.79,71.33,32.83
2017-01-30,三门峡,86.32,1.25,20.24,59.49,119.92,45.35,32.94
2017-01-31,三门峡,89.82,1.44,26.05,54.44,110.98,65.77,37.02
2017-02-01,三门峡,151.03,1.95,35.57,46.77,170.39,114.51,43.8
2017-02-02,三门峡,159.0,1.58,28.45,76.19,163.08,120.91,47.39
2017-02-03,三门峡,172.28,1.98,51.62,52.46,174.93,130.61,43.27
2017-02-04,三门峡,199.21,2.35,73.16,33.86,202.23,152.17,37.61
2017-02-05,三门峡,246.32,2.64,47.79,70.95,253.55,198.96,50.68
2017-02-06,三门峡,250.05,2.23,38.98,54.85,272.7,203.72,30.92
2017-02-07,三门峡,122.63,1.69,38.8,34.09,127.93,93.74,34.79
2017-02-08,三门峡,71.18,1.33,31.12,33.08,59.62,51.69,16.69
2017-02-09,三门峡,38.78,1.03,31.44,58.06,39.36,18.89,19.22
2017-02-10,三门峡,56.66,1.46,49.64,36.4,66.46,34.17,23.26
2017-02-11,三门峡,68.04,1.52,58.05,33.82,76.77,45.89,29.55
2017-02-12,三门峡,67.2,1.47,48.98,39.54,73.6,46.79,34.07
2017-02-13,三门峡,114.99,1.68,46.91,57.47,118.19,86.09,51.56
2017-02-14,三门峡,242.89,1.89,44.6,86.8,215.75,192.89,56.82
2017-02-15,三门峡,194.92,1.57,46.39,72.49,176.79,152.16,54.91
2017-02-16,三门峡,173.44,1.67,60.05,44.29,173.37,131.18,41.84
2017-02-17,三门峡,150.99,1.56,42.65,60.46,198.32,115.81,40.34
2017-02-18,三门峡,115.23,1.39,49.64,51.9,151.19,84.02,45.33
2017-02-19,三门峡,145.07,1.7,68.49,49.88,172.04,109.74,51.22
2017-02-20,三门峡,149.0,1.2,33.68,58.2,221.41,70.34,31.1
