time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,信阳,148.82,1.69,65.45,21.26,175.73,112.11,26.74
2017-01-02,信阳,203.84,1.88,58.14,42.38,235.57,157.42,33.0
2017-01-03,信阳,220.12,2.05,71.85,17.34,263.26,175.43,26.04
2017-01-04,信阳,205.44,1.96,52.99,6.83,236.16,160.52,20.18
2017-01-05,信阳,67.65,2.43,57.96,9.6,65.03,47.93,17.26
2017-01-06,信阳,53.27,1.0,38.03,26.53,49.14,36.83,16.98
2017-01-07,信阳,66.07,0.96,36.66,35.73,68.32,46.82,17.28
2017-01-08,信阳,115.08,1.68,49.38,36.03,129.64,85.73,24.65
2017-01-09,信阳,120.9,1.64,41.95,52.32,135.74,89.6,24.43
2017-01-10,信阳,175.74,1.31,43.05,53.23,179.64,133.32,21.83
2017-01-11,信阳,175.87,1.35,46.09,44.54,203.91,133.46,21.11
2017-01-12,信阳,105.53,0.82,38.65,53.88,118.78,78.08,21.97
2017-01-13,信阳,79.6,0.83,42.84,44.12,100.96,52.72,23.71
2017-01-14,信阳,128.54,1.01,48.11,46.86,155.75,96.05,28.91
2017-01-15,信阳,65.6,0.47,36.01,47.44,70.19,44.33,20.74
2017-01-16,信阳,87.45,0.68,42.77,34.88,102.44,63.46,19.0
2017-01-17,信阳,97.25,0.65,46.28,37.52,114.96,71.65,20.58
2017-01-18,信阳,146.21,0.89,56.21,23.55,163.66,110.81,21.79
2017-01-19,信阳,147.56,0.81,41.4,52.17,170.5,108.99,25.46
2017-01-20,信阳,68.04,0.46,31.96,51.92,85.58,32.42,24.49
2017-01-21,信阳,82.39,0.88,41.38,54.82,102.79,56.34,24.65
2017-01-22,信阳,122.72,1.49,57.92,41.84,156.07,92.27,26.46
2017-01-23,信阳,135.33,1.23,52.37,48.05,163.75,101.74,26.54
2017-01-24,信阳,146.67,1.24,52.33,32.6,163.95,111.26,19.14
2017-01-25,信阳,198.09,1.53,52.3,51.18,216.21,153.2,23.83
2017-01-26,信阳,130.81,1.22,40.97,64.79,137.93,98.95,20.89
2017-01-27,信阳,144.52,1.01,24.91,72.21,187.01,106.67,25.6
2017-01-28,信阳,202.88,1.17,24.84,42.63,217.74,158.44,25.06
2017-01-29,信阳,190.56,1.31,23.95,35.08,194.6,146.69,17.74
2017-01-30,信阳,109.96,0.75,16.0,57.57,124.04,79.84,17.47
2017-01-31,信阳,85.27,0.59,16.0,49.0,87.77,62.59,11.83
2017-02-01,信阳,95.19,0.58,12.61,50.07,92.35,70.61,9.88
2017-02-02,信阳,154.83,0.93,22.12,41.63,154.0,117.49,10.8
2017-02-03,信阳,175.46,1.27,27.98,26.9,168.47,133.51,12.34
2017-02-04,信阳,80.7,0.87,20.35,43.93,78.72,58.71,12.99
2017-02-05,信阳,110.74,1.17,27.36,41.13,115.4,82.59,15.33
2017-02-06,信阳,161.54,1.1,30.06,54.0,169.56,122.39,15.87
2017-02-07,信阳,80.63,0.58,21.71,56.95,80.21,58.68,11.68
2017-02-08,信阳,102.11,0.75,26.65,47.5,97.84,75.9,10.44
2017-02-09,信阳,98.75,0.89,30.45,53.51,94.84,73.26,18.46
2017-02-10,信阳,67.62,0.77,30.42,52.49,73.28,46.05,20.85
2017-02-11,信阳,63.43,0.64,25.26,67.3,66.16,44.01,18.01
2017-02-12,信阳,86.99,0.6,25.73,100.3,86.49,63.89,20.22
2017-02-13,信阳,82.55,0.92,37.96,88.61,88.84,58.75,20.98
2017-02-14,信阳,97.1,1.07,49.2,58.09,117.04,70.1,19.66
2017-02-15,信阳,86.26,0.77,37.01,77.64,96.96,62.02,17.19
2017-02-16,信阳,104.2,0.96,34.44,93.67,115.03,76.42,17.5
2017-02-17,信阳,163.11,1.13,41.63,43.6,214.45,113.82,15.51
2017-02-18,信阳,90.64,0.68,32.47,60.79,106.14,62.87,10.75
2017-02-19,信阳,165.13,0.98,27.84,99.96,191.0,122.35,15.06
2017-02-20,信阳,147.74,1.0,36.03,58.67,205.76,97.14,17.49
2017-02-21,信阳,64.78,0.45,24.42,51.17,64.07,36.86,8.01
2017-02-22,信阳,102.77,1.03,36.65,39.45,109.76,73.66,15.2
2017-02-23,信阳,84.31,1.04,36.65,53.19,99.86,57.23,19.68
2017-02-24,信阳,84.36,0.88,37.16,67.61,105.48,55.28,19.49
2017-02-25,信阳,75.91,0.76,37.36,71.59,90.14,48.03,21.0
2017-02-26,信阳,81.81,0.89,42.17,64.67,104.68,50.94,24.99
2017-02-27,信阳,83.78,0.83,44.87,70.81,106.82,53.85,20.48
2017-02-28,信阳,82.17,0.8,38.87,97.03,93.77,56.14,23.91
