time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南阳,271.1,2.35,56.94,17.89,346.57,210.12,24.73
2017-01-02,南阳,205.6,2.2,54.95,30.17,263.91,154.86,22.43
2017-01-03,南阳,214.75,2.05,50.53,38.81,274.24,164.7,26.86
2017-01-04,南阳,183.86,2.24,43.67,20.43,225.47,139.68,14.33
2017-01-05,南阳,71.79,2.39,38.09,44.83,75.19,50.2,15.04
2017-01-06,南阳,45.73,2.51,38.72,28.55,44.01,29.61,12.98
2017-01-07,南阳,41.28,1.4,27.11,37.1,43.79,22.77,17.35
2017-01-08,南阳,93.52,1.99,35.81,31.09,116.85,65.49,26.44
2017-01-09,南阳,116.5,2.09,35.54,41.02,154.37,83.81,23.93
2017-01-10,南阳,230.11,2.37,44.46,35.0,281.25,176.15,24.87
2017-01-11,南阳,225.58,2.43,41.3,37.32,297.67,175.48,27.52
2017-01-12,南阳,120.7,1.78,40.8,35.97,167.02,80.45,22.17
2017-01-13,南阳,101.67,1.51,45.81,33.74,147.78,60.28,26.09
2017-01-14,南阳,145.01,1.6,38.15,55.52,184.04,104.99,32.11
2017-01-15,南阳,95.33,1.35,31.38,55.12,122.25,64.08,22.56
2017-01-16,南阳,84.99,1.1,28.61,59.74,110.96,56.99,17.45
2017-01-17,南阳,110.26,1.19,32.85,50.48,144.21,78.97,18.81
2017-01-18,南阳,142.38,1.27,33.57,50.91,177.8,106.88,22.43
2017-01-19,南阳,169.83,1.61,39.14,49.88,213.97,120.9,25.43
2017-01-20,南阳,63.83,1.19,25.08,68.82,79.54,21.93,23.24
2017-01-21,南阳,128.07,1.63,46.16,43.66,176.38,89.37,28.41
2017-01-22,南阳,145.11,1.82,46.74,44.46,197.28,102.82,31.3
2017-01-23,南阳,182.65,2.05,48.09,54.29,237.94,137.23,26.63
2017-01-24,南阳,191.85,2.08,39.48,51.94,235.72,144.98,25.54
2017-01-25,南阳,230.47,2.4,42.27,59.57,265.64,179.97,34.24
2017-01-26,南阳,222.72,2.59,46.69,45.47,271.33,168.04,19.64
2017-01-27,南阳,188.54,2.26,25.48,65.52,257.61,138.25,30.43
2017-01-28,南阳,218.93,2.1,18.71,60.2,264.63,170.38,32.08
2017-01-29,南阳,256.97,2.37,22.91,34.36,280.52,206.08,18.27
2017-01-30,南阳,99.19,1.65,11.5,76.62,129.8,54.91,16.32
2017-01-31,南阳,82.33,1.75,14.71,71.32,94.39,56.7,12.28
2017-02-01,南阳,115.75,1.84,15.34,66.7,126.9,86.82,10.12
2017-02-02,南阳,147.67,1.91,20.87,66.88,165.14,111.53,13.01
2017-02-03,南阳,167.41,1.82,21.25,61.64,179.47,125.89,15.28
2017-02-04,南阳,155.26,2.11,29.63,44.23,181.01,115.6,15.85
2017-02-05,南阳,200.24,2.61,32.12,45.06,237.46,155.38,17.93
2017-02-06,南阳,200.32,2.14,21.4,59.19,224.73,154.5,14.3
2017-02-07,南阳,112.3,1.59,26.24,50.07,138.72,82.47,18.71
2017-02-08,南阳,112.26,1.62,27.29,47.66,118.06,83.99,13.98
2017-02-09,南阳,106.71,1.63,29.83,47.55,120.34,77.7,11.79
2017-02-10,南阳,89.56,1.71,38.09,51.36,117.22,59.89,14.69
2017-02-11,南阳,81.3,1.51,38.91,61.49,105.77,52.94,19.08
