time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,商丘,189.01,1.29,95.81,18.9,218.0,145.04,22.93
2017-01-02,商丘,232.19,2.36,83.78,7.31,272.82,183.88,15.04
2017-01-03,商丘,145.67,2.06,53.9,19.49,182.01,105.22,9.67
2017-01-04,商丘,166.09,2.27,46.46,17.49,191.67,130.42,14.14
2017-01-05,商丘,186.26,2.69,56.06,4.13,178.51,142.54,16.0
2017-01-06,商丘,162.66,3.03,44.19,7.46,189.87,123.21,15.0
2017-01-07,商丘,184.85,1.81,44.27,19.91,186.33,140.77,16.2
2017-01-08,商丘,216.04,1.53,52.01,24.52,211.61,167.68,21.89
2017-01-09,商丘,176.18,1.97,47.93,13.91,198.06,133.84,10.21
2017-01-10,商丘,174.84,2.04,52.3,15.23,213.64,134.71,15.41
2017-01-11,商丘,212.24,1.95,47.66,33.48,237.19,164.73,21.67
2017-01-12,商丘,171.99,1.64,49.06,23.52,221.58,124.97,22.26
2017-01-13,商丘,147.94,1.27,55.66,25.92,191.12,108.05,27.92
2017-01-14,商丘,85.04,0.77,41.91,34.57,105.0,54.35,21.32
2017-01-15,商丘,82.33,0.67,38.44,32.91,104.07,54.94,15.83
2017-01-16,商丘,80.36,0.52,29.3,40.75,96.08,54.89,10.18
2017-01-17,商丘,96.69,0.73,37.16,35.7,122.26,69.17,11.89
2017-01-18,商丘,145.39,1.03,39.46,36.43,168.04,111.69,20.73
2017-01-19,商丘,205.35,1.19,42.35,35.56,248.32,153.43,19.94
2017-01-20,商丘,71.79,0.33,22.25,47.71,91.31,29.32,13.06
2017-01-21,商丘,86.86,0.53,28.1,43.9,119.0,55.74,21.36
2017-01-22,商丘,112.94,0.95,48.11,31.56,139.2,83.12,34.32
2017-01-23,商丘,104.25,0.84,38.03,40.48,132.4,74.59,22.16
2017-01-24,商丘,102.59,0.85,35.48,37.52,123.87,75.86,17.89
2017-01-25,商丘,121.71,0.95,35.31,45.68,140.67,91.04,17.45
2017-01-26,商丘,159.7,1.01,22.97,67.88,202.53,119.47,16.62
2017-01-27,商丘,131.01,1.08,21.46,64.59,173.22,92.06,21.8
2017-01-28,商丘,88.3,0.57,11.71,44.51,105.9,61.71,10.9
2017-01-29,商丘,137.46,0.98,15.83,26.28,141.65,101.7,7.63
2017-01-30,商丘,61.11,0.5,13.57,55.15,70.9,33.51,11.06
2017-01-31,商丘,65.56,0.49,16.51,56.52,70.32,43.45,9.18
2017-02-01,商丘,107.17,0.71,15.74,56.32,108.67,79.58,5.52
