time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,安阳,289.95,5.65,69.64,6.09,342.91,236.82,38.67
2017-01-02,安阳,365.56,10.29,126.59,10.55,438.28,301.36,81.34
2017-01-03,安阳,263.29,5.96,91.8,7.82,284.79,214.98,33.23
2017-01-04,安阳,245.31,6.1,93.19,5.78,276.41,197.55,44.95
2017-01-05,安阳,318.88,7.05,103.59,5.32,352.02,269.42,55.55
2017-01-06,安阳,264.9,5.22,83.83,6.68,317.43,214.19,64.07
2017-01-07,安阳,302.15,4.84,80.26,5.54,317.84,252.05,70.96
2017-01-08,安阳,320.73,5.11,94.17,12.07,343.25,271.32,67.19
2017-01-09,安阳,211.1,4.58,76.75,16.28,256.78,164.66,49.39
2017-01-10,安阳,257.46,4.49,79.08,17.62,282.75,206.88,72.72
2017-01-11,安阳,279.55,3.77,83.81,9.91,311.28,229.55,63.04
2017-01-12,安阳,185.42,4.02,68.31,21.77,232.18,142.36,68.62
2017-01-13,安阳,122.19,2.48,64.84,27.85,140.93,90.34,66.08
2017-01-14,安阳,124.08,2.58,61.72,26.37,147.85,92.38,50.93
2017-01-15,安阳,131.04,2.47,61.85,21.58,152.39,98.51,57.25
2017-01-16,安阳,277.89,3.12,81.03,9.71,293.34,231.89,83.03
2017-01-17,安阳,325.05,3.45,93.25,12.12,341.54,276.24,105.43
2017-01-18,安阳,372.48,4.47,96.06,8.17,409.5,325.33,116.01
2017-01-19,安阳,204.22,2.85,55.58,36.19,226.64,154.77,58.38
2017-01-20,安阳,72.4,1.41,34.59,45.14,92.79,40.2,36.02
2017-01-21,安阳,128.03,2.34,60.35,27.42,161.29,94.83,67.03
2017-01-22,安阳,199.86,3.48,68.31,29.86,214.06,157.32,74.12
2017-01-23,安阳,295.4,4.44,85.69,22.27,315.95,246.53,134.89
2017-01-24,安阳,286.72,4.25,91.08,15.15,300.11,236.97,123.03
2017-01-25,安阳,389.2,5.27,81.99,28.65,409.86,345.85,84.47
2017-01-26,安阳,379.51,3.96,73.58,33.52,438.55,354.55,74.93
2017-01-27,安阳,207.01,2.32,42.59,58.72,249.17,167.32,55.18
2017-01-28,安阳,167.17,1.5,27.89,42.65,199.39,127.61,35.65
2017-01-29,安阳,270.34,2.5,43.75,34.44,296.94,226.99,63.39
2017-01-30,安阳,61.99,1.24,23.91,57.73,70.04,40.83,31.43
2017-01-31,安阳,80.24,1.44,25.58,58.8,91.83,57.98,33.57
2017-02-01,安阳,151.47,2.62,47.92,41.33,155.62,116.92,61.76
2017-02-02,安阳,158.22,2.73,45.23,52.89,163.39,120.18,48.2
2017-02-03,安阳,205.05,1.73,29.68,66.98,190.46,159.29,27.37
2017-02-04,安阳,306.31,2.99,49.31,21.43,320.97,256.28,24.5
2017-02-05,安阳,377.72,5.45,81.08,36.27,471.49,367.33,76.93
2017-02-06,安阳,220.97,2.96,67.78,26.12,232.72,181.13,73.84
2017-02-07,安阳,90.64,1.47,51.17,28.04,108.81,65.1,68.41
2017-02-08,安阳,123.73,1.95,56.55,30.04,131.44,93.79,66.16
