time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,新乡,287.5,4.63,67.24,7.04,381.12,243.35,28.0
2017-01-02,新乡,183.82,7.6,80.96,8.04,254.45,139.32,17.91
2017-01-03,新乡,196.83,4.92,74.87,10.47,237.63,152.45,14.99
2017-01-04,新乡,165.79,4.86,59.56,14.1,213.27,123.54,18.44
2017-01-05,新乡,209.49,5.27,79.35,25.04,213.0,163.19,36.38
2017-01-06,新乡,205.34,4.93,68.7,8.16,212.17,157.23,45.93
2017-01-07,新乡,197.42,4.37,65.66,7.38,207.87,155.93,40.24
2017-01-08,新乡,245.62,3.68,74.77,14.95,260.55,195.99,57.9
2017-01-09,新乡,192.75,3.87,68.02,8.87,229.85,148.84,30.55
2017-01-10,新乡,221.29,3.63,73.4,15.75,250.05,172.59,51.7
2017-01-11,新乡,195.18,3.05,69.84,11.18,232.81,150.76,44.3
2017-01-12,新乡,75.23,1.72,48.07,25.17,97.2,47.76,65.32
2017-01-13,新乡,90.2,1.81,51.04,32.84,113.48,61.42,55.9
2017-01-14,新乡,75.51,1.4,54.81,27.48,89.57,53.35,36.78
2017-01-15,新乡,82.67,1.42,58.41,22.23,101.2,60.03,43.98
2017-01-16,新乡,174.39,2.01,64.78,11.1,193.48,136.45,38.3
2017-01-17,新乡,264.6,2.82,79.57,9.25,283.84,214.6,56.46
2017-01-18,新乡,294.38,3.28,80.21,12.77,315.51,244.38,60.88
2017-01-19,新乡,173.8,2.0,53.21,37.12,195.59,131.81,39.17
2017-01-20,新乡,62.78,0.95,34.59,46.73,74.99,31.62,27.77
2017-01-21,新乡,92.57,1.61,54.71,25.71,121.36,66.4,57.15
2017-01-22,新乡,121.76,2.04,65.18,24.39,147.66,91.28,56.26
2017-01-23,新乡,190.46,3.09,72.59,21.99,212.56,145.25,69.75
2017-01-24,新乡,220.41,3.24,80.16,17.44,242.25,170.94,88.72
2017-01-25,新乡,305.26,4.18,89.84,18.89,344.38,256.99,69.34
2017-01-26,新乡,310.57,3.29,57.33,37.58,353.27,257.6,45.37
2017-01-27,新乡,186.4,2.22,37.0,67.08,204.27,144.64,41.33
2017-01-28,新乡,172.58,1.57,25.28,47.19,187.02,132.28,36.8
2017-01-29,新乡,178.3,2.12,31.63,37.54,200.36,138.28,37.59
2017-01-30,新乡,49.43,1.05,15.89,65.51,53.71,29.56,15.91
2017-01-31,新乡,73.69,1.26,20.51,58.4,79.1,52.12,25.39
2017-02-01,新乡,117.95,1.79,28.83,55.42,123.42,88.56,27.15
2017-02-02,新乡,140.57,2.5,46.85,46.16,150.12,106.4,37.53
2017-02-03,新乡,181.0,1.83,31.91,68.88,178.0,137.36,37.53
2017-02-04,新乡,244.08,2.56,48.78,24.19,264.79,197.78,24.99
2017-02-05,新乡,332.01,4.4,74.79,19.75,388.05,282.67,53.93
