time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,漯河,209.47,1.55,74.61,19.75,225.71,160.91,14.94
2017-01-02,漯河,278.19,2.62,77.61,15.16,322.86,234.19,21.79
2017-01-03,漯河,204.72,3.2,74.55,19.25,249.28,159.45,7.57
2017-01-04,漯河,104.85,1.85,37.91,29.03,131.64,72.24,5.46
2017-01-05,漯河,92.47,3.18,58.79,8.38,90.12,68.56,5.92
2017-01-06,漯河,115.45,3.16,62.68,12.98,142.44,86.66,6.35
2017-01-07,漯河,68.08,1.28,53.67,24.15,76.54,46.78,7.82
2017-01-08,漯河,214.89,2.27,67.52,29.98,235.85,170.03,16.51
2017-01-09,漯河,208.46,2.11,67.59,28.34,247.14,161.18,17.89
2017-01-10,漯河,241.76,2.26,49.03,27.76,301.75,191.7,10.93
2017-01-11,漯河,208.77,2.05,59.73,28.06,266.74,161.79,15.46
2017-01-12,漯河,125.77,1.12,49.27,39.09,155.45,86.38,14.9
2017-01-13,漯河,89.5,0.98,52.67,37.08,127.71,53.48,33.01
2017-01-14,漯河,163.28,1.36,58.51,36.1,205.77,123.21,30.32
2017-01-15,漯河,81.56,0.89,47.93,38.51,110.41,51.74,28.77
2017-01-16,漯河,84.48,0.81,44.46,36.02,112.77,56.38,13.75
2017-01-17,漯河,108.17,1.01,55.31,26.3,149.39,79.42,18.93
2017-01-18,漯河,179.43,1.21,51.23,29.65,212.18,139.84,13.23
2017-01-19,漯河,237.0,1.52,54.78,37.32,304.26,178.23,22.19
2017-01-20,漯河,85.17,0.67,31.26,51.46,119.82,30.37,16.35
2017-01-21,漯河,94.5,0.9,45.74,38.18,137.38,55.57,22.37
2017-01-22,漯河,156.26,1.35,61.15,33.64,210.18,118.4,46.85
2017-01-23,漯河,202.62,1.43,56.49,40.39,252.38,156.57,25.02
2017-01-24,漯河,180.23,1.4,46.64,40.83,208.0,139.85,20.55
2017-01-25,漯河,283.51,2.02,54.83,55.11,317.47,234.47,25.08
2017-01-26,漯河,213.46,1.29,39.67,61.0,247.54,135.7,12.86
2017-01-27,漯河,215.99,1.49,29.2,66.13,279.85,147.52,21.87
2017-01-28,漯河,224.22,1.21,24.83,38.18,242.31,176.45,17.09
2017-01-29,漯河,249.74,1.51,24.62,27.83,248.94,200.15,9.06
2017-01-30,漯河,89.35,0.88,15.82,62.66,121.99,51.15,12.42
2017-01-31,漯河,89.22,0.89,17.82,52.0,99.15,65.51,9.85
2017-02-01,漯河,117.42,0.95,19.34,54.12,113.65,88.59,5.77
2017-02-02,漯河,183.67,1.39,34.56,50.67,187.27,139.54,11.28
2017-02-03,漯河,205.26,1.51,28.56,44.65,202.81,159.88,9.23
2017-02-04,漯河,150.08,1.69,41.48,33.2,161.48,113.96,9.13
2017-02-05,漯河,277.77,2.26,44.44,16.4,325.11,230.37,8.18
2017-02-06,漯河,156.43,1.56,31.41,33.12,191.87,119.53,10.21
2017-02-07,漯河,121.82,1.26,30.56,34.46,144.41,92.0,9.33
2017-02-08,漯河,122.18,1.19,34.22,32.92,115.29,91.77,8.53
2017-02-09,漯河,106.64,1.2,41.16,35.5,117.51,77.3,20.67
2017-02-10,漯河,75.55,1.05,45.79,36.99,94.28,44.32,31.61
2017-02-11,漯河,75.68,0.93,41.35,50.44,93.53,51.86,18.08
2017-02-12,漯河,122.12,1.15,60.34,44.4,140.27,91.46,18.29
2017-02-13,漯河,123.59,1.44,62.07,49.59,149.28,92.89,17.25
2017-02-14,漯河,145.68,1.38,64.09,45.29,178.41,109.74,22.01
2017-02-15,漯河,143.47,1.24,51.34,69.54,171.71,106.98,19.27
2017-02-16,漯河,153.12,1.77,45.31,66.35,190.65,108.14,18.47
2017-02-17,漯河,148.29,1.15,32.68,49.12,199.35,74.42,15.94
2017-02-18,漯河,117.97,1.27,49.7,43.51,168.37,86.78,19.9
2017-02-19,漯河,159.33,1.56,53.38,51.24,196.63,119.82,13.79
2017-02-20,漯河,175.48,1.17,28.27,56.37,265.35,70.69,13.92
2017-02-21,漯河,77.18,0.88,25.06,45.63,90.09,39.17,8.24
2017-02-22,漯河,123.49,1.38,46.9,27.48,118.66,93.77,13.48
2017-02-23,漯河,134.27,1.42,56.24,45.58,152.51,101.89,16.82
2017-02-24,漯河,119.76,1.19,54.92,64.6,139.32,86.22,19.56
2017-02-25,漯河,102.32,1.33,63.36,44.53,140.24,73.71,34.62
2017-02-26,漯河,99.98,1.31,67.49,47.55,133.31,71.28,40.09
2017-02-27,漯河,97.47,1.23,58.39,63.63,129.0,68.46,24.73
2017-02-28,漯河,88.15,1.14,52.8,65.96,121.31,58.87,16.99
2017-03-01,漯河,96.72,0.93,30.76,61.06,132.45,38.84,16.88
2017-03-02,漯河,89.08,0.97,36.74,53.0,127.69,32.82,15.19
2017-03-03,漯河,87.57,1.05,49.28,51.53,124.59,48.94,18.35
2017-03-04,漯河,128.11,1.55,60.45,41.49,185.26,95.83,23.44
2017-03-05,漯河,176.69,1.7,54.92,42.22,245.44,136.14,16.81
2017-03-06,漯河,86.82,1.07,39.36,60.62,123.2,52.69,19.33
2017-03-07,漯河,111.12,1.19,38.33,60.36,154.05,62.63,18.89
2017-03-08,漯河,82.16,1.09,37.75,59.83,113.03,49.67,17.65
2017-03-09,漯河,112.7,1.48,67.61,57.15,158.85,83.17,23.33
2017-03-10,漯河,138.73,1.42,55.52,77.16,188.01,104.8,37.66
