time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,濮阳,248.89,2.38,54.42,29.89,248.03,200.58,36.84
2017-01-02,濮阳,207.9,4.67,73.42,9.89,217.39,163.24,35.33
2017-01-03,濮阳,215.96,3.84,57.33,22.77,208.0,172.02,24.74
2017-01-04,濮阳,135.72,3.58,49.39,13.98,173.39,100.41,14.25
2017-01-05,濮阳,134.93,5.14,61.93,4.89,139.57,101.56,16.69
2017-01-06,濮阳,252.93,4.83,71.4,5.33,308.1,204.23,20.75
2017-01-07,濮阳,275.58,3.95,67.02,9.31,267.94,226.62,26.27
2017-01-08,濮阳,304.98,3.32,80.05,16.52,291.89,257.67,42.19
2017-01-09,濮阳,173.84,3.01,58.44,15.32,190.08,134.14,28.83
2017-01-10,濮阳,193.93,2.88,52.82,18.41,211.25,149.84,22.56
2017-01-11,濮阳,223.18,2.87,63.69,17.75,239.62,174.43,40.71
2017-01-12,濮阳,213.74,3.73,78.23,12.98,263.98,169.69,49.74
2017-01-13,濮阳,113.57,2.21,60.22,23.74,133.27,84.18,43.21
2017-01-14,濮阳,78.01,1.67,53.17,31.53,94.11,52.1,37.74
2017-01-15,濮阳,94.25,1.76,57.5,23.66,122.0,67.61,49.15
2017-01-16,濮阳,162.04,1.83,49.49,23.4,177.45,127.12,33.59
2017-01-17,濮阳,349.8,3.46,85.76,11.42,388.57,301.21,52.26
2017-01-18,濮阳,364.39,3.5,82.82,9.69,386.99,315.44,47.94
2017-01-19,濮阳,231.71,2.46,54.98,32.59,268.3,175.93,35.34
2017-01-20,濮阳,75.1,1.22,35.83,44.7,98.0,39.66,27.36
2017-01-21,濮阳,96.33,1.41,42.4,38.43,130.71,68.48,42.36
2017-01-22,濮阳,120.62,1.83,65.66,30.22,147.24,90.32,50.82
2017-01-23,濮阳,158.11,2.0,63.76,25.14,188.83,120.18,44.36
2017-01-24,濮阳,265.67,3.0,67.77,23.01,269.69,220.19,49.02
2017-01-25,濮阳,251.85,2.8,61.53,36.25,268.56,205.62,41.58
2017-01-26,濮阳,229.1,2.25,35.74,57.53,244.55,184.88,31.56
2017-01-27,濮阳,220.34,2.52,35.03,58.7,253.81,183.88,37.05
2017-01-28,濮阳,124.56,1.64,23.59,43.8,144.85,93.36,20.77
2017-01-29,濮阳,165.97,1.94,25.23,37.81,185.6,117.26,25.25
2017-01-30,濮阳,52.46,1.42,17.6,60.22,57.72,32.09,16.57
2017-01-31,濮阳,76.08,1.57,21.16,62.52,86.27,55.36,16.08
2017-02-01,濮阳,117.36,1.97,28.17,52.75,120.38,87.86,20.82
2017-02-02,濮阳,148.54,2.25,37.95,67.8,150.43,112.47,33.48
2017-02-03,濮阳,140.59,1.8,24.15,73.17,133.89,107.0,12.4
2017-02-04,濮阳,218.49,2.1,34.13,30.11,227.34,177.01,22.93
2017-02-05,濮阳,276.14,2.86,56.64,27.14,297.78,226.0,23.39
2017-02-06,濮阳,140.84,2.33,58.8,32.94,155.5,105.8,39.05
2017-02-07,濮阳,70.34,1.72,36.97,35.39,84.76,45.14,31.09
2017-02-08,濮阳,105.78,2.06,46.55,34.71,114.75,79.28,39.7
2017-02-09,濮阳,110.0,2.16,54.44,39.72,119.23,78.58,36.86
2017-02-10,濮阳,107.05,2.29,65.92,36.96,115.16,79.86,49.2
2017-02-11,濮阳,143.61,1.95,56.24,44.97,161.95,108.38,54.25
2017-02-12,濮阳,298.76,1.87,59.71,49.79,325.46,249.47,58.4
2017-02-13,濮阳,224.07,2.04,63.23,65.0,214.37,177.17,39.2
2017-02-14,濮阳,256.62,2.49,78.2,53.64,260.54,211.47,62.64
