time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,驻马店,198.11,2.03,77.05,16.72,219.98,152.0,37.25
2017-01-02,驻马店,250.07,2.48,66.78,37.6,262.92,200.5,39.57
2017-01-03,驻马店,213.74,3.4,65.83,13.75,271.6,166.26,19.44
2017-01-04,驻马店,108.77,1.8,38.62,17.28,142.5,72.97,14.3
2017-01-05,驻马店,84.55,2.6,57.36,8.54,76.74,62.16,16.16
2017-01-06,驻马店,85.86,2.53,62.58,11.89,87.57,62.94,14.44
2017-01-07,驻马店,64.39,0.92,41.39,39.12,61.04,45.81,16.12
2017-01-08,驻马店,154.67,1.85,62.07,35.74,155.93,117.3,29.0
2017-01-09,驻马店,161.65,1.78,60.89,38.95,176.82,122.79,32.23
2017-01-10,驻马店,248.87,2.44,57.62,20.41,257.83,198.42,18.17
2017-01-11,驻马店,195.55,2.0,61.59,32.99,228.16,150.32,26.42
2017-01-12,驻马店,107.99,1.09,51.82,48.42,123.79,76.01,22.46
2017-01-13,驻马店,76.16,0.97,47.81,50.38,95.7,49.2,28.36
2017-01-14,驻马店,162.47,1.46,55.43,40.78,175.58,122.82,29.46
2017-01-15,驻马店,74.92,1.0,40.06,43.28,86.15,52.99,26.6
2017-01-16,驻马店,100.17,1.07,47.35,31.08,119.56,73.97,23.15
2017-01-17,驻马店,109.96,1.13,53.46,26.28,127.81,81.86,21.14
2017-01-18,驻马店,166.22,1.25,58.44,21.83,177.65,125.36,21.85
2017-01-19,驻马店,201.48,1.36,50.25,39.39,231.55,152.46,26.51
2017-01-20,驻马店,69.28,0.69,33.26,48.72,87.68,31.32,33.3
2017-01-21,驻马店,81.39,0.93,40.31,50.04,111.91,51.28,27.49
2017-01-22,驻马店,151.15,1.65,60.22,34.92,191.72,112.39,36.96
2017-01-23,驻马店,175.88,1.69,62.1,40.49,204.72,134.79,30.87
2017-01-24,驻马店,161.2,1.62,49.46,31.22,177.38,123.06,21.55
2017-01-25,驻马店,239.96,1.94,53.42,46.31,256.68,193.25,29.12
2017-01-26,驻马店,146.14,1.31,40.71,72.76,163.92,106.98,20.8
2017-01-27,驻马店,160.92,1.53,27.43,68.51,210.29,112.35,31.86
2017-01-28,驻马店,210.13,1.41,25.49,38.18,212.73,162.04,27.76
2017-01-29,驻马店,242.09,1.74,26.9,27.28,228.75,192.1,20.52
2017-01-30,驻马店,89.43,0.93,15.65,59.9,106.97,55.28,18.0
2017-01-31,驻马店,83.24,1.02,18.86,49.78,85.99,61.11,16.9
2017-02-01,驻马店,103.04,0.94,16.96,54.65,97.62,77.07,11.17
2017-02-02,驻马店,166.32,1.42,29.62,46.09,160.99,127.07,15.29
2017-02-03,驻马店,182.83,1.52,32.88,41.08,174.76,139.64,21.24
2017-02-04,驻马店,114.9,1.4,36.51,40.12,120.03,86.19,26.22
2017-02-05,驻马店,169.75,1.64,41.47,26.43,176.76,131.54,16.16
2017-02-06,驻马店,177.24,1.6,34.38,43.45,190.12,135.69,14.43
2017-02-07,驻马店,96.86,1.14,27.68,53.23,99.82,71.78,14.93
2017-02-08,驻马店,119.79,1.2,29.24,41.11,110.46,89.96,16.29
2017-02-09,驻马店,91.18,1.17,34.42,49.06,91.88,65.49,27.6
2017-02-10,驻马店,56.31,0.96,30.26,59.54,63.38,35.0,33.64
2017-02-11,驻马店,74.65,1.17,42.97,55.33,91.72,49.15,31.0
2017-02-12,驻马店,99.15,1.23,52.14,57.69,122.36,69.19,34.08
2017-02-13,驻马店,106.53,1.54,60.18,62.38,136.58,77.97,54.25
2017-02-14,驻马店,109.86,1.64,61.58,60.16,139.55,79.57,44.65
2017-02-15,驻马店,130.26,1.38,68.72,70.78,163.06,96.01,53.57
2017-02-16,驻马店,113.94,1.31,40.97,80.69,136.17,84.44,18.19
2017-02-17,驻马店,137.68,1.31,40.93,42.08,183.54,98.15,18.0
2017-02-18,驻马店,115.79,1.23,53.5,44.0,162.19,80.9,34.38
2017-02-19,驻马店,150.85,1.39,46.69,74.92,178.93,113.57,23.56
2017-02-20,驻马店,140.96,1.34,39.01,51.9,205.1,87.92,19.86
2017-02-21,驻马店,71.74,0.89,25.55,48.88,78.15,41.25,11.77
2017-02-22,驻马店,100.72,1.35,43.83,38.22,102.75,74.75,24.04
2017-02-23,驻马店,105.24,1.31,45.01,55.06,118.57,77.88,26.01
2017-02-24,驻马店,121.38,1.18,52.4,79.22,144.46,89.24,33.28
2017-02-25,驻马店,89.29,1.14,50.62,60.88,116.96,57.78,35.51
2017-02-26,驻马店,96.92,1.14,56.39,62.6,126.0,67.68,45.28
