time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临安,145.21,1.29,42.81,35.91,,110.58,14.91
2017-01-01,丽水,67.86,0.68,39.18,27.16,69.25,46.47,14.05
2017-01-01,义乌,120.11,1.62,71.0,17.13,138.82,89.89,27.76
2017-01-01,台州,66.88,1.12,47.12,12.82,81.53,39.95,10.11
2017-01-01,嘉兴,80.56,1.19,65.93,20.71,91.37,56.58,11.54
2017-01-01,宁波,95.36,1.13,62.23,18.91,111.29,69.24,13.03
2017-01-01,富阳,180.89,1.54,60.11,18.21,201.16,137.26,9.21
2017-01-01,杭州,184.67,1.65,86.73,18.73,207.46,142.37,18.77
2017-01-01,温州,67.16,0.72,55.37,19.29,79.72,38.74,11.16
2017-01-01,湖州,154.37,1.45,84.04,34.27,140.44,116.1,24.87
2017-01-01,绍兴,161.05,1.34,77.96,31.57,191.52,104.85,17.17
2017-01-01,舟山,31.41,0.64,30.77,33.13,31.55,18.42,10.32
2017-01-01,衢州,126.68,1.41,70.72,23.3,147.67,95.51,19.68
2017-01-01,金华,176.0,1.37,84.14,18.78,161.31,133.98,26.19
2017-01-02,临安,177.24,1.6,67.08,32.4,199.52,136.28,23.24
2017-01-02,丽水,84.37,0.95,48.2,27.07,90.88,60.58,28.08
2017-01-02,义乌,108.83,1.65,58.95,35.5,125.1,81.8,32.6
2017-01-02,台州,79.68,1.09,46.27,22.6,98.65,54.2,11.6
2017-01-02,嘉兴,143.4,1.79,93.88,7.33,164.9,108.97,32.27
2017-01-02,宁波,94.62,1.14,67.28,21.93,109.22,69.49,18.96
2017-01-02,富阳,185.05,1.6,67.2,18.0,212.55,141.0,16.9
2017-01-02,杭州,198.19,1.68,86.49,19.78,216.23,154.36,28.84
2017-01-02,温州,73.4,0.79,59.59,23.35,95.12,47.51,14.88
2017-01-02,湖州,174.8,1.54,82.04,32.09,151.22,133.32,30.4
2017-01-02,绍兴,176.03,1.47,85.84,42.93,213.03,117.18,24.38
2017-01-02,舟山,52.43,0.74,30.33,49.6,57.57,34.22,12.3
2017-01-02,衢州,133.05,1.43,73.15,24.87,159.27,100.48,30.1
2017-01-02,金华,172.67,1.52,76.33,31.18,175.83,131.52,31.5
2017-01-03,临安,182.41,1.61,55.95,34.03,220.59,135.92,15.15
2017-01-03,丽水,110.0,0.89,33.78,56.06,106.94,81.68,14.74
2017-01-03,义乌,186.54,1.89,85.4,24.17,184.27,140.83,30.42
2017-01-03,台州,102.6,1.19,45.04,40.44,125.86,72.89,11.65
2017-01-03,嘉兴,104.03,1.32,54.12,45.71,115.49,77.81,12.57
2017-01-03,宁波,91.01,0.92,58.86,43.99,102.97,67.14,12.37
2017-01-03,富阳,180.38,1.3,62.83,23.79,195.92,137.62,13.08
2017-01-03,杭州,176.06,1.39,79.88,26.21,183.7,134.95,23.3
2017-01-03,温州,113.96,1.06,77.94,36.69,150.35,84.07,22.8
2017-01-03,湖州,149.85,1.37,69.88,39.79,132.18,112.69,22.88
2017-01-03,绍兴,147.61,1.05,64.68,42.65,178.88,95.29,20.64
2017-01-03,舟山,56.72,0.72,24.64,69.11,63.08,37.88,9.4
2017-01-03,衢州,193.47,1.6,74.57,47.21,219.79,148.1,35.36
2017-01-03,金华,220.3,1.49,83.46,34.61,202.19,170.9,27.01
2017-01-04,临安,166.39,1.21,64.17,30.83,224.25,125.83,14.94
2017-01-04,丽水,102.0,0.86,48.99,52.54,114.21,76.04,20.42
2017-01-04,义乌,163.27,1.61,79.44,10.35,173.19,123.96,31.21
2017-01-04,台州,78.78,1.11,46.57,42.46,98.67,52.38,15.62
2017-01-04,嘉兴,84.5,1.27,57.28,28.15,94.68,60.96,10.43
2017-01-04,宁波,83.81,1.01,64.18,36.07,98.73,60.11,13.29
2017-01-04,富阳,170.96,1.31,74.12,13.04,202.54,130.12,9.17
2017-01-04,杭州,164.48,1.31,81.2,10.8,183.27,126.16,18.57
2017-01-04,温州,104.39,1.0,74.17,35.24,133.81,74.02,21.38
2017-01-04,湖州,138.93,1.35,76.24,27.88,125.79,104.12,25.05
2017-01-04,绍兴,156.14,1.1,72.06,31.88,186.34,102.1,21.39
2017-01-04,舟山,46.29,0.74,27.31,61.87,48.61,30.6,9.68
2017-01-04,衢州,200.85,1.5,76.49,37.39,231.1,153.14,34.69
2017-01-04,金华,192.17,1.26,78.42,18.97,179.22,146.51,25.0
2017-01-05,临安,93.62,1.06,42.71,35.45,120.41,60.47,7.94
2017-01-05,丽水,102.06,0.78,41.61,40.64,108.72,74.13,15.39
2017-01-05,义乌,134.75,1.46,75.0,11.47,138.15,100.31,24.81
2017-01-05,台州,78.44,1.13,39.53,47.57,98.74,51.68,9.29
2017-01-05,嘉兴,33.62,1.06,33.21,69.0,29.39,20.28,4.0
2017-01-05,宁波,50.28,0.83,51.76,51.72,51.23,32.43,8.71
2017-01-05,富阳,115.58,1.1,58.71,13.0,147.17,86.08,8.71
2017-01-05,杭州,89.49,1.05,61.03,19.93,101.11,64.59,11.42
2017-01-05,温州,84.1,1.07,76.71,32.58,111.52,56.04,19.2
2017-01-05,湖州,71.45,0.99,49.84,56.88,80.75,51.69,13.92
2017-01-05,绍兴,105.04,0.95,52.67,38.24,138.82,60.54,12.69
2017-01-05,舟山,32.26,0.69,14.69,93.54,25.67,17.08,7.78
2017-01-05,衢州,172.6,1.49,85.68,19.79,200.78,130.31,19.83
2017-01-05,金华,171.43,1.27,89.88,12.13,185.08,129.51,24.69
2017-01-06,临安,33.0,0.77,32.85,38.61,32.76,16.7,7.3
2017-01-06,丽水,37.16,0.69,39.25,18.61,32.93,24.52,6.46
2017-01-06,义乌,31.17,1.11,39.4,17.0,27.85,20.83,10.02
2017-01-06,台州,38.15,1.05,35.92,24.99,39.58,18.93,5.21
2017-01-06,嘉兴,39.72,1.21,49.25,30.86,39.13,26.14,5.0
2017-01-06,宁波,44.43,0.96,53.64,22.39,44.41,28.51,8.43
2017-01-06,富阳,27.08,0.68,33.88,17.62,24.04,18.12,2.17
2017-01-06,杭州,35.21,0.89,46.18,18.71,30.6,22.43,9.02
2017-01-06,温州,65.68,0.91,61.9,18.59,81.43,36.91,12.61
2017-01-06,湖州,65.92,0.99,52.52,42.26,64.12,47.26,13.43
2017-01-06,绍兴,77.58,0.96,49.96,32.22,104.31,33.47,10.01
2017-01-06,舟山,28.06,0.64,12.79,76.06,20.88,10.54,7.89
2017-01-06,衢州,31.94,0.9,40.9,19.28,30.23,18.06,7.78
2017-01-06,金华,29.04,0.79,40.99,15.42,28.58,19.01,8.49
2017-01-07,临安,35.12,1.2,36.92,39.77,35.15,18.92,4.77
2017-01-07,丽水,41.29,0.77,33.96,14.97,38.72,27.7,11.55
2017-01-07,义乌,43.04,1.63,50.46,3.83,38.26,29.57,14.91
