time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临安,145.21,1.29,42.81,35.91,,110.58,14.91
2017-01-02,临安,177.24,1.6,67.08,32.4,199.52,136.28,23.24
2017-01-03,临安,182.41,1.61,55.95,34.03,220.59,135.92,15.15
2017-01-04,临安,166.39,1.21,64.17,30.83,224.25,125.83,14.94
2017-01-05,临安,93.62,1.06,42.71,35.45,120.41,60.47,7.94
2017-01-06,临安,33.0,0.77,32.85,38.61,32.76,16.7,7.3
2017-01-07,临安,35.12,1.2,36.92,39.77,35.15,18.92,4.77
2017-01-08,临安,38.71,0.99,18.04,51.96,37.87,25.46,3.04
2017-01-09,临安,91.0,1.28,25.43,54.0,90.87,67.39,8.48
2017-01-10,临安,138.04,1.44,43.83,44.88,147.08,104.75,10.42
2017-01-11,临安,99.15,0.96,33.7,50.85,129.81,60.33,9.78
2017-01-12,临安,50.11,0.6,29.17,39.58,51.63,32.5,7.83
2017-01-13,临安,63.47,0.74,27.61,45.61,72.69,42.97,11.75
2017-01-14,临安,83.39,0.89,34.75,43.47,102.06,55.5,11.67
2017-01-15,临安,58.59,0.54,36.46,41.36,63.38,31.33,10.85
2017-01-16,临安,72.1,0.71,39.65,37.05,82.15,48.73,10.3
2017-01-17,临安,86.78,0.94,45.8,33.25,100.67,63.95,10.78
2017-01-18,临安,59.29,0.95,40.0,37.13,59.13,39.55,7.63
2017-01-19,临安,67.92,0.91,25.92,52.69,65.94,48.61,9.58
2017-01-20,临安,81.4,0.81,21.37,57.63,99.47,44.51,11.94
2017-01-21,临安,62.44,0.84,29.5,49.21,69.03,34.97,8.91
2017-01-22,临安,79.83,0.89,25.09,52.46,91.94,57.14,13.46
2017-01-23,临安,89.0,0.93,29.9,50.58,101.65,63.13,10.81
2017-01-24,临安,66.38,0.73,23.9,57.31,75.29,42.17,8.45
2017-01-25,临安,75.85,0.77,26.26,51.32,79.84,53.59,9.21
2017-01-26,临安,135.52,0.91,16.48,51.62,219.31,71.81,5.1
2017-01-27,临安,102.3,0.95,13.2,59.53,103.85,74.47,7.23
2017-01-28,临安,95.68,0.82,11.79,59.29,115.96,61.82,6.21
2017-01-29,临安,104.42,0.8,13.39,47.75,91.45,76.53,6.83
2017-01-30,临安,56.35,0.81,9.35,57.09,63.12,33.06,6.59
2017-01-31,临安,44.0,0.72,7.43,69.71,43.68,20.36,4.21
2017-02-01,临安,58.25,0.91,7.29,69.46,60.04,39.75,3.68
2017-02-02,临安,77.23,1.11,14.32,64.97,82.74,55.87,7.42
2017-02-03,临安,71.33,0.96,17.73,45.8,76.2,51.33,5.03
2017-02-04,临安,86.21,0.93,19.62,28.28,78.72,63.62,3.72
2017-02-05,临安,78.55,1.21,24.19,27.77,81.23,56.52,5.03
2017-02-06,临安,97.18,1.08,16.18,41.39,106.52,69.21,6.39
2017-02-07,临安,45.88,0.33,13.77,45.27,47.27,16.62,4.88
2017-02-08,临安,27.85,0.49,14.04,42.59,27.5,14.26,3.07
2017-02-09,临安,74.52,0.71,13.42,50.39,74.52,54.23,9.03
2017-02-10,临安,78.66,0.74,18.76,44.86,86.69,49.62,11.07
2017-02-11,临安,59.12,0.61,19.47,37.69,63.0,37.0,10.84
2017-02-12,临安,61.62,0.63,26.31,36.09,67.41,40.88,11.03
2017-02-13,临安,75.41,0.71,31.73,34.66,83.24,52.95,12.85
2017-02-14,临安,78.25,0.7,29.73,40.29,89.26,54.94,16.58
2017-02-15,临安,81.1,0.82,31.96,37.44,97.29,56.73,13.83
2017-02-16,临安,78.48,0.86,29.62,31.21,86.3,55.02,11.12
2017-02-17,临安,109.75,0.91,29.35,19.12,119.26,78.81,10.58
2017-02-18,临安,76.92,0.76,33.52,23.44,92.56,47.5,10.83
2017-02-19,临安,74.4,0.92,23.31,28.21,86.0,53.08,7.81
2017-02-20,临安,91.33,0.9,25.94,21.98,96.89,55.71,9.98
2017-02-21,临安,64.24,0.54,26.12,29.82,73.9,30.21,12.03
2017-02-22,临安,40.58,0.74,25.83,21.78,37.95,27.67,6.72
2017-02-23,临安,78.65,0.82,20.02,31.1,75.14,57.67,13.23
2017-02-24,临安,103.44,1.02,25.33,31.65,108.02,77.42,14.75
2017-02-25,临安,105.02,1.04,30.42,42.42,119.17,78.19,15.62
2017-02-26,临安,109.98,1.08,29.19,50.62,126.83,82.62,18.23
2017-02-27,临安,123.58,1.09,29.85,55.06,138.96,93.25,22.4
2017-02-28,临安,108.23,1.03,34.31,46.06,136.15,77.58,17.31
2017-03-01,临安,86.4,0.81,22.79,40.96,110.83,50.04,14.83
2017-03-02,临安,65.02,0.48,18.65,43.65,75.73,28.74,12.09
2017-03-03,临安,73.1,0.67,34.96,32.33,86.11,47.08,14.15
2017-03-04,临安,74.94,0.66,32.1,32.5,90.94,47.77,11.58
2017-03-05,临安,67.85,0.64,28.23,31.83,69.55,47.69,7.88
2017-03-06,临安,83.23,0.75,21.71,38.79,95.62,51.92,10.06
2017-03-07,临安,70.52,0.71,27.96,36.21,86.15,47.08,12.52
2017-03-08,临安,91.41,0.66,27.5,39.83,110.22,59.26,13.89
2017-03-09,临安,78.23,0.68,32.12,38.21,98.98,53.75,15.19
2017-03-10,临安,78.52,0.68,30.77,32.56,92.23,54.19,14.04
2017-03-11,临安,63.81,0.58,31.06,25.85,69.94,37.17,7.06
2017-03-12,临安,73.17,0.75,34.04,21.88,87.69,49.12,9.65
2017-03-13,临安,27.71,0.54,17.04,47.4,27.54,13.25,7.75
2017-03-14,临安,50.8,0.65,22.2,44.67,55.0,27.39,11.13
2017-03-15,临安,72.09,0.63,32.52,35.65,89.89,47.78,15.46
2017-03-16,临安,103.34,0.67,38.57,22.26,90.43,77.05,9.73
2017-03-17,临安,85.11,0.56,44.43,35.26,106.3,56.3,15.52
2017-03-18,临安,105.31,0.58,49.27,23.67,123.98,78.6,17.04
2017-03-19,临安,81.15,0.57,43.85,28.19,96.65,55.65,13.75
2017-03-20,临安,32.96,0.69,29.88,34.44,32.52,14.67,11.9
2017-03-21,临安,66.21,0.75,20.52,51.25,68.35,44.75,13.02
2017-03-22,临安,98.33,0.78,27.5,43.35,105.36,72.9,12.15
2017-03-23,临安,62.67,0.78,25.9,27.71,68.98,40.04,11.33
2017-03-24,临安,56.77,0.65,30.69,29.35,61.77,34.17,10.46
2017-03-25,临安,66.85,0.75,20.94,36.02,82.77,36.77,11.6
2017-03-26,临安,70.15,0.66,20.35,42.38,88.98,36.44,15.0
2017-03-27,临安,65.66,0.66,24.68,43.16,80.18,35.02,17.68
2017-03-28,临安,63.65,0.59,23.67,43.33,76.44,35.48,18.0
2017-03-29,临安,130.33,0.81,28.04,43.71,158.84,96.96,18.67
2017-03-30,临安,98.66,0.76,27.89,32.29,124.39,66.45,14.0
2017-03-31,临安,40.79,0.67,18.52,48.85,42.89,23.19,13.27
2017-04-01,临安,74.39,0.76,22.3,43.48,81.48,53.57,15.0
