time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,丽水,67.86,0.68,39.18,27.16,69.25,46.47,14.05
2017-01-02,丽水,84.37,0.95,48.2,27.07,90.88,60.58,28.08
2017-01-03,丽水,110.0,0.89,33.78,56.06,106.94,81.68,14.74
2017-01-04,丽水,102.0,0.86,48.99,52.54,114.21,76.04,20.42
2017-01-05,丽水,102.06,0.78,41.61,40.64,108.72,74.13,15.39
2017-01-06,丽水,37.16,0.69,39.25,18.61,32.93,24.52,6.46
2017-01-07,丽水,41.29,0.77,33.96,14.97,38.72,27.7,11.55
2017-01-08,丽水,23.67,0.78,22.69,31.69,22.74,14.0,6.54
2017-01-09,丽水,57.84,0.7,20.13,57.1,54.64,40.67,9.42
2017-01-10,丽水,109.63,0.94,28.13,44.32,107.25,82.38,15.13
2017-01-11,丽水,40.47,0.92,31.18,29.39,41.57,26.79,7.19
2017-01-12,丽水,19.1,0.76,33.94,18.32,16.61,9.61,5.99
2017-01-13,丽水,40.79,0.72,26.81,47.12,40.98,25.4,9.76
2017-01-14,丽水,71.89,0.69,26.56,72.62,73.78,51.68,15.32
2017-01-15,丽水,47.68,0.41,18.68,72.82,50.99,25.99,10.44
2017-01-16,丽水,47.91,0.38,22.23,58.95,48.66,27.74,10.41
2017-01-17,丽水,47.11,0.55,35.04,39.19,48.43,29.25,7.64
2017-01-18,丽水,31.76,0.65,32.39,18.93,28.08,20.58,6.1
2017-01-19,丽水,22.62,0.75,43.47,15.15,15.97,10.9,5.75
2017-01-20,丽水,52.21,0.65,17.39,68.64,58.61,33.22,9.93
2017-01-21,丽水,51.14,0.57,20.6,55.38,54.0,27.75,9.67
2017-01-22,丽水,53.43,0.64,18.69,60.51,55.3,35.94,8.75
2017-01-23,丽水,55.93,0.66,17.38,72.11,57.51,37.5,10.04
2017-01-24,丽水,51.4,0.62,14.86,76.58,51.03,33.06,10.08
2017-01-25,丽水,42.88,0.57,18.83,47.25,38.38,27.74,7.65
2017-01-26,丽水,43.0,0.52,15.04,36.39,37.28,29.14,6.61
2017-01-27,丽水,50.65,0.52,9.92,51.1,44.92,33.97,7.99
2017-01-28,丽水,145.63,0.58,10.37,54.42,159.6,114.27,13.7
2017-01-29,丽水,42.9,0.59,11.49,55.04,37.49,28.7,7.58
2017-01-30,丽水,57.58,0.8,10.96,47.5,49.83,41.0,6.24
2017-01-31,丽水,64.36,0.63,8.46,64.58,66.92,45.08,7.36
2017-02-01,丽水,42.78,0.48,8.89,58.18,39.37,27.68,6.15
2017-02-02,丽水,57.65,0.59,9.42,56.72,51.78,40.69,6.07
2017-02-03,丽水,48.42,0.79,17.51,45.32,47.3,31.68,7.11
2017-02-04,丽水,41.62,0.72,14.78,43.94,37.72,26.78,6.94
2017-02-05,丽水,49.57,0.76,14.15,33.26,40.27,34.07,6.79
2017-02-06,丽水,48.49,0.61,11.67,72.16,46.84,32.7,8.17
2017-02-07,丽水,66.71,0.5,11.06,86.29,63.76,45.78,7.29
2017-02-08,丽水,31.29,0.26,13.96,62.69,31.45,11.17,5.88
2017-02-09,丽水,46.03,0.45,12.52,64.0,44.19,26.61,7.01
2017-02-10,丽水,66.28,0.51,19.0,60.45,68.1,44.45,14.22
2017-02-11,丽水,55.79,0.49,20.83,70.14,54.84,37.65,14.62
2017-02-12,丽水,48.81,0.43,22.48,60.15,46.9,32.48,8.85
2017-02-13,丽水,57.49,0.51,29.06,68.29,60.05,38.93,14.12
2017-02-14,丽水,52.43,0.5,28.65,78.33,50.66,34.49,14.88
2017-02-15,丽水,59.46,0.61,31.04,88.85,56.91,39.35,18.26
2017-02-16,丽水,70.68,0.93,44.66,48.51,77.85,47.31,18.52
2017-02-17,丽水,92.07,0.75,33.53,59.61,79.08,66.89,13.69
2017-02-18,丽水,82.0,0.66,21.5,40.96,73.36,60.29,6.68
2017-02-19,丽水,65.88,0.81,31.1,51.06,68.65,45.43,11.1
2017-02-20,丽水,77.15,0.72,31.21,50.78,80.19,54.01,11.53
2017-02-21,丽水,54.15,0.39,15.89,67.14,60.28,24.39,8.33
