time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,义乌,120.11,1.62,71.0,17.13,138.82,89.89,27.76
2017-01-02,义乌,108.83,1.65,58.95,35.5,125.1,81.8,32.6
2017-01-03,义乌,186.54,1.89,85.4,24.17,184.27,140.83,30.42
2017-01-04,义乌,163.27,1.61,79.44,10.35,173.19,123.96,31.21
2017-01-05,义乌,134.75,1.46,75.0,11.47,138.15,100.31,24.81
2017-01-06,义乌,31.17,1.11,39.4,17.0,27.85,20.83,10.02
2017-01-07,义乌,43.04,1.63,50.46,3.83,38.26,29.57,14.91
2017-01-08,义乌,31.73,1.46,36.48,20.2,28.12,21.12,11.85
2017-01-09,义乌,72.13,1.47,31.5,58.74,65.3,52.41,18.52
2017-01-10,义乌,113.92,1.83,51.17,21.0,107.92,85.83,24.48
2017-01-11,义乌,68.83,1.64,46.08,23.1,62.69,49.73,12.69
2017-01-12,义乌,35.85,1.39,48.73,11.6,30.4,23.27,9.58
2017-01-13,义乌,50.02,1.26,53.25,35.59,46.71,34.77,22.85
2017-01-14,义乌,88.98,0.98,51.67,41.92,95.96,65.88,27.65
2017-01-15,义乌,46.56,0.6,31.6,42.35,46.15,31.04,15.31
2017-01-16,义乌,46.85,0.57,35.17,45.29,46.29,30.92,13.83
2017-01-17,义乌,52.52,0.71,47.48,19.93,47.58,36.67,12.12
2017-01-18,义乌,51.52,1.14,61.46,4.34,41.1,34.67,10.62
2017-01-19,义乌,37.96,0.87,26.92,40.04,34.92,24.9,9.67
2017-01-20,义乌,62.0,0.99,18.24,56.68,60.84,42.68,14.76
2017-01-21,义乌,61.9,0.99,34.21,43.92,72.58,36.58,14.85
2017-01-22,义乌,67.52,1.14,32.62,47.12,80.4,46.9,15.71
2017-01-23,义乌,74.46,1.24,27.23,58.1,83.12,53.96,19.44
2017-01-24,义乌,50.75,1.04,17.54,68.81,52.19,33.85,14.1
2017-01-25,义乌,55.08,1.03,24.75,48.25,55.83,36.79,10.81
2017-01-26,义乌,67.0,1.14,25.15,20.68,66.35,47.91,7.82
2017-01-27,义乌,95.1,1.3,18.65,60.42,92.06,70.31,12.54
2017-01-28,义乌,125.93,1.2,13.84,63.68,131.55,94.55,13.73
